wavelength,Back_SicRaim,Belly_SicRaim,Breast_SicRaim,Crissum_SicRaim,Crown_SicRaim,DorTail_SicRaim,Patch10_SicRaim,Rump_SicRaim,Throat_SicRaim,WingTip_SicRaim
193.23,90.1516666667,149.999666667,105.303,12.8786666667,81.0603333333,126.515,118.939333333,33.3333333333,105.303,222.7275
193.61,130.0,185.0,150.0,58.3333333333,100.0,177.5,153.333333333,75.0,149.166666667,276.25
193.99,166.666666667,201.111,188.889,53.3333333333,133.333,224.444333333,189.999666667,73.3333333333,177.777666667,325.0
194.37,178.261,208.695666667,160.869666667,-11.594,142.029333333,249.275333333,157.971,44.9276666667,176.811333333,332.609
194.75,228.889,280.0,273.333333333,28.889,264.444333333,373.333333333,286.666666667,84.4446666667,320.0,500.0
195.13,140.277666667,187.500333333,190.277666667,63.889,113.888666667,222.222333333,161.111,38.889,240.277666667,310.4165
195.51,73.3336666667,112.222,118.888666667,10.0,48.8886666667,152.222,91.111,-15.5556666667,177.777666667,218.3335
195.89,45.5283333333,78.862,80.488,-24.39,24.3903333333,87.8046666667,53.6586666667,-26.8293333333,139.024333333,124.3905
196.27,34.409,106.451333333,120.430333333,-37.6343333333,8.602,113.978666667,52.6883333333,-38.71,179.569666667,140.3225
196.65,48.148,65.1853333333,84.4446666667,-49.6296666667,-12.593,67.4073333333,37.037,-29.63,114.074,78.889
197.03,63.3803333333,61.9716666667,77.9346666667,-1.878,19.7186666667,52.582,52.5823333333,15.0236666667,111.267666667,71.127
197.40,66.169,50.7466666667,59.7016666667,-4.47766666667,3.48233333333,38.3083333333,38.3083333333,9.45266666667,117.413,61.9405
197.78,53.846,28.718,57.9486666667,-12.308,-17.9486666667,16.9233333333,15.8973333333,-6.66666666667,106.154,46.923
198.16,33.3333333333,13.675,58.12,-7.69233333333,-26.0683333333,13.248,7.69233333333,-11.9656666667,82.906,31.4105
198.54,34.815,15.1853333333,67.037,11.4816666667,-21.852,15.5553333333,13.7036666667,-4.815,74.8146666667,32.778
198.92,29.9626666667,13.1086666667,65.5426666667,13.1083333333,-26.9663333333,-0.749,7.865,-12.3596666667,67.4156666667,24.157
199.30,23.9316666667,-7.265,52.9913333333,1.70933333333,-32.906,-7.69233333333,5.98266666667,-18.376,65.3846666667,12.8205
199.68,29.9143333333,-5.12833333333,72.6493333333,9.40166666667,-21.795,9.40166666667,13.2476666667,-5.12833333333,65.8116666667,27.5645
200.06,47.8066666667,14.4736666667,95.175,25.0,5.26333333333,34.6493333333,36.8423333333,8.772,89.4733333333,55.921
200.44,49.104,21.8636666667,93.9066666667,34.0503333333,17.9213333333,27.957,45.8783333333,9.67766666667,82.0786666667,54.8385
200.82,41.3463333333,24.0383333333,77.564,38.4616666667,21.795,27.2436666667,40.0643333333,9.93566666667,87.1793333333,56.7305
201.19,52.0833333333,12.5,83.75,27.0833333333,9.16666666667,29.1666666667,37.9166666667,-3.75,99.1666666667,62.5
201.57,53.8153333333,10.442,87.1483333333,25.7026666667,23.293,30.924,43.775,-0.401666666667,97.189,54.819
201.95,75.8333333333,25.8333333333,103.333333333,37.5,42.9166666667,35.8333333333,58.75,3.33333333333,115.0,61.25
202.33,84.8103333333,32.4893333333,87.342,33.7553333333,56.118,24.0506666667,49.367,1.26566666667,114.346,57.595
202.71,75.6096666667,25.203,71.951,24.7966666667,52.0323333333,13.4146666667,39.8373333333,-6.91033333333,108.943,53.659
203.09,77.6593333333,20.213,68.4396666667,20.2126666667,43.6166666667,18.085,42.1986666667,-1.064,105.673666667,48.404
203.47,77.663,25.086,67.3543333333,18.557,50.5153333333,15.1203333333,46.3916666667,-4.46733333333,102.405333333,48.4535
203.85,78.3506666667,34.3643333333,65.636,34.0206666667,49.1406666667,14.0893333333,44.6736666667,-2.062,109.278666667,44.8455
204.22,57.9543333333,2.65133333333,47.3483333333,20.833,17.4243333333,-7.95466666667,20.4546666667,-20.8333333333,87.8786666667,16.4775
204.60,41.9913333333,-23.8096666667,33.7663333333,1.29866666667,-4.76166666667,-28.5713333333,6.92666666667,-41.1256666667,82.2513333333,-6.4935
204.98,38.2883333333,-42.3426666667,46.847,-3.60333333333,-16.2163333333,-41.8916666667,1.80166666667,-45.9456666667,73.4233333333,-14.189
205.36,23.3333333333,-35.1853333333,41.111,11.852,-17.4073333333,-34.8146666667,-8.88866666667,-34.074,63.333,-12.7775
205.74,21.6866666667,-37.3493333333,40.1606666667,18.8753333333,-34.94,-41.3653333333,-19.6786666667,-43.3736666667,63.4536666667,-13.8555
206.12,17.0,-22.3333333333,34.0,19.0,-28.3333333333,-24.6666666667,-8.66666666667,-28.0,68.3333333333,-5.5
206.50,14.5833333333,-25.3473333333,36.8056666667,22.9166666667,-37.5003333333,-15.6253333333,-6.94433333333,-19.7916666667,79.1666666667,5.2085
206.87,24.4186666667,-31.0076666667,53.101,32.9456666667,-37.9846666667,-12.7906666667,-6.20166666667,-12.7906666667,96.899,15.116
207.25,4.32933333333,-48.485,51.082,30.303,-46.3203333333,-35.0646666667,-27.2726666667,-17.749,85.2816666667,0.6495
207.63,-1.18423789293e-15,-64.352,62.0373333333,22.2223333333,-68.5186666667,-39.815,-51.389,-28.2406666667,81.9443333333,-8.3335
208.01,-1.984,-67.0636666667,50.794,-0.793666666667,-53.968,-39.2856666667,-40.079,-36.508,59.9206666667,-21.4285
208.39,6.29633333333,-47.7776666667,58.8893333333,6.296,-43.7033333333,-31.8516666667,-35.9256666667,-31.4813333333,63.7036666667,-0.5555
208.77,23.2556666667,-38.7596666667,66.667,17.0543333333,-26.7443333333,-15.1163333333,-28.6823333333,-18.992,75.5816666667,6.9765
209.14,29.386,-40.3506666667,68.421,24.9996666667,-19.7366666667,-21.0526666667,-24.1226666667,-15.351,84.649,5.263
209.52,44.2786666667,-37.3133333333,79.1046666667,23.8806666667,-17.4126666667,-24.8753333333,-13.4326666667,-14.9253333333,83.582,3.7315
209.90,45.4953333333,-27.0273333333,75.225,16.2163333333,-6.75666666667,-24.3243333333,-8.55866666667,-8.108,79.2793333333,9.4595
210.28,42.9166666667,-25.8333333333,65.0,12.5,-10.8333333333,-31.25,-16.6666666667,-10.8333333333,62.5,6.875
210.66,44.8276666667,-18.008,74.3293333333,14.5593333333,-1.91533333333,-32.1836666667,-8.046,-11.8776666667,54.0226666667,7.471
211.03,41.3463333333,-7.05133333333,51.6026666667,16.346,5.76933333333,-23.077,3.52566666667,-4.808,50.9613333333,9.615
211.41,57.7776666667,12.698,59.365,24.1266666667,8.57166666667,-7.619,12.3813333333,3.17433333333,67.3016666667,20.952
211.79,58.9946666667,24.3383333333,58.9943333333,39.1536666667,21.4286666667,8.201,29.6296666667,13.7566666667,68.7833333333,30.5555
212.17,65.2776666667,33.611,61.389,53.6113333333,26.6663333333,16.389,37.4996666667,21.1113333333,81.9446666667,42.5
212.55,71.6146666667,39.844,66.6666666667,64.8436666667,36.4583333333,26.5623333333,48.9583333333,27.604,81.5103333333,43.75
212.92,78.899,39.1436666667,84.4036666667,76.4526666667,41.59,28.1346666667,54.434,33.3333333333,90.52,47.248
213.30,74.214,30.503,82.7043333333,75.1573333333,30.8176666667,27.673,50.629,27.6726666667,85.5346666667,45.755
213.68,62.681,18.1156666667,77.5363333333,70.652,22.1016666667,16.3043333333,39.855,13.768,84.058,46.739
214.06,76.305,20.482,92.3693333333,81.9276666667,31.3253333333,22.8916666667,48.5943333333,20.482,94.3776666667,56.6265
214.44,91.08,27.2303333333,114.554,101.878,49.7653333333,32.864,65.258,25.3523333333,100.469333333,73.2395
214.81,100.0,40.86,129.57,107.526666667,58.602,32.2576666667,75.8063333333,32.7953333333,120.43,84.6775
215.19,102.732333333,47.541,151.912666667,93.4426666667,59.5626666667,30.0546666667,75.4096666667,30.601,121.857666667,70.492
215.57,92.121,26.6663333333,134.545666667,78.788,60.606,20.606,82.4243333333,15.1516666667,121.212333333,83.6365
