wavelength,Back_TanMexm,Belly_TanMexm,Breast_TanMexm,Crissum_TanMexm,Crown_TanMexm,DorTail_TanMexm,Patch10_TanMexm,Patch11_TanMexm,Rump_TanMexm,Throat_TanMexm,WingTip_TanMexm
808.05,6.15273333334,63.6275666667,16.7817333333,54.5253064327,5.51333333333,8.33526666667,7.59126666668,15.2411333333,18.7466666667,16.8416666667,12.389
808.35,5.86306666667,63.7932,16.3945333333,54.5236245614,4.7644,8.17769999999,7.18459999999,15.1534666667,18.4892666667,16.6341333333,12.2674666667
808.66,5.9962,63.7455333333,16.6622666667,54.6614226121,5.21686666667,8.4303,7.39346666666,15.2948666667,18.4738666667,16.7255333333,12.1946
808.97,5.79353333333,65.0787333333,16.9484666667,55.3987777778,5.6434,8.64223333334,7.21253333333,15.6138,18.0416,17.2155333333,12.0844666667
809.27,6.06986666666,65.229,17.308,55.1188493177,6.22953333333,8.90980000001,7.38580000001,15.3521333333,17.8138,17.4026666667,12.4374
809.58,6.47206666666,66.2242666667,17.6323333333,56.014974269,6.5166,9.03263333335,7.63746666666,15.5726666667,17.9990666667,17.6673333333,12.6507333333
809.88,6.2482,65.4385333333,17.0261333333,55.287137232,6.75920000001,9.00376666667,7.59686666667,15.4463333333,17.3208666667,17.1561333333,12.9521333333
810.19,6.75673333333,65.8766666667,16.9054666666,55.672411501,7.33606666668,9.44433333333,8.1804,16.1925333333,17.4594,17.6651333333,13.6713333333
810.49,6.44733333333,65.9213666667,16.8592,55.559971345,7.24546666667,9.24796666665,7.73753333334,15.7688666667,17.2511333333,16.9802,13.1944
810.80,5.94846666667,65.9884333333,16.6215333333,55.3751167642,6.91713333334,8.48393333332,7.39740000001,15.226,17.235,16.8324666667,13.0022666667
811.10,6.97293333333,66.0988333333,17.4229333333,55.0085027291,7.65466666665,8.90560000001,8.227,15.4974666667,17.9809333333,17.3339333333,13.6978666667
811.41,7.221,66.4743666667,17.7103333333,55.1725138402,7.69779999999,8.78133333333,8.06113333332,15.4044666667,18.0432666667,17.4768666666,13.4752
811.71,6.69113333332,66.5373333333,17.3578,55.3733380117,7.00986666665,7.99933333333,7.24639999999,14.9231333333,17.5837333333,17.1222666667,12.662
812.02,5.9904,66.6446666667,17.0176666667,55.2421442495,6.13066666667,7.01246666668,6.32440000001,14.3242666667,17.1466666667,16.377,12.2752666667
812.32,6.1126,65.6676,16.8335333333,54.4577818713,6.34760000001,6.99909999999,6.88660000001,13.9639333333,17.6372,15.9173333333,12.7072
812.63,6.89313333333,65.4627,17.4859333333,54.7538319688,6.61226666666,7.44073333334,7.3732,14.6794666667,18.5998666667,16.2240666667,13.3042666667
812.93,7.04779999999,64.6789,17.8460666667,54.3906785575,6.83199999999,8.10026666667,7.70906666666,14.7628,18.9739333333,16.6090666667,13.7028666667
813.24,7.16300000001,64.2340333333,18.2792,54.4067339181,6.35299999999,8.11360000001,7.7028,14.4188,18.7538,16.7268,13.0418666667
813.54,6.93213333334,63.5248333333,18.2554,54.3135483431,6.11013333334,7.86283333331,7.55886666667,13.8618666667,18.5640666667,16.4434666667,12.4414666667
813.85,6.14426666667,62.9017,17.4027333333,54.0952208577,5.12313333333,6.94060000001,7.35426666667,13.0830666667,18.0357333333,16.216,11.7710666667
814.15,5.50273333333,62.3649,16.6667333333,53.4967204678,4.29706666666,6.64149999999,6.59986666667,12.4567333333,17.2531333333,15.3508,11.1102666666
814.46,4.8372,61.9231333333,16.2212666667,53.0973220273,4.09086666667,6.2733,6.22473333333,12.2448666667,17.1267333333,14.8399333333,10.5444666667
814.76,4.4538,60.8648,15.722,52.4660727096,4.18500000001,6.26363333333,6.46099999999,12.3724666667,17.1054,14.467,10.8258666667
815.07,4.5368,61.3440333333,15.8988666667,53.0130362573,4.87653333334,6.45276666667,7.22560000001,12.7591333333,17.5004,14.5250666667,11.8046666667
815.37,4.52593333333,60.2896666667,15.3362666667,52.4153881092,4.92193333333,6.56160000001,7.44206666668,12.8137333333,17.4476666667,14.5346,12.1474
815.68,3.91606666667,60.1062,14.7554666667,51.7159105263,3.95153333333,5.66036666667,6.40313333334,12.3118,16.4407333333,13.9297333333,11.3544
815.98,3.3294,60.3509666667,14.1536666667,51.479154386,3.78706666667,5.38813333333,6.23619999999,12.1564,15.7962,13.4421333333,10.6156666667
816.29,1.75646666667,60.6040333333,12.9234,51.2829189084,2.5458,3.58559999999,4.862,11.2344666667,14.6645333333,12.201,8.98460000001
816.59,1.8468,61.1075,12.4539333333,50.7126376218,2.43246666667,3.1017,4.6802,11.1584666667,14.709,11.8616,9.21106666665
816.89,1.06353333334,60.6934666667,11.5215333333,50.1413309941,1.523,2.12153333333,3.8054,10.5587333333,14.0958,10.9961333333,8.48773333333
817.20,2.12966666667,61.6521333333,12.2029333333,50.9499842105,2.63773333333,3.11716666667,4.38686666667,11.3853333333,14.8424,11.6906666667,8.7842
817.50,2.72546666667,61.7549666667,12.6192666667,51.1553072125,3.33186666666,3.62949999999,4.7644,12.0393333333,15.3222666667,12.23,8.96213333334
817.81,3.60493333333,61.8344666667,13.5665333333,51.8655091618,3.80333333333,4.34843333333,5.36526666666,12.4658666666,15.5794666667,13.0480666667,9.24313333333
818.11,4.37846666667,62.5048333333,14.2522666667,52.7228692008,4.03833333333,5.02520000001,5.78873333333,12.8010666667,15.9804,13.8129333333,9.56900000001
