wavelength,Back_HapUnif,Belly_HapUnif,Breast_HapUnif,Crissum_HapUnif,Crown_HapUnif,DorTail_HapUnif,Patch10_HapUnif,Rump_HapUnif,Throat_HapUnif,WingTip_HapUnif
795.16,17.1325333333,38.1400666667,35.8468666667,35.9986666667,17.2986,23.5138,25.771,20.1516666667,32.2426,22.1668
795.47,18.0953333333,39.0871,36.5199333333,37.2502,18.0809333333,24.1460666667,26.8098666667,20.8736666667,33.0612666667,23.6161333333
795.78,18.6868,39.3110333333,37.1932666667,37.4385333333,18.2468666667,24.7872666667,27.3808666666,20.9019333333,33.7588666667,24.1919333333
796.09,19.1508666667,39.4808333333,36.9544,37.7124,18.7016666667,24.6561666667,27.7332666666,20.9719666667,33.8316,24.5404666667
796.40,19.3831333333,39.4497,36.9365333333,37.3152,18.2264666667,24.3253333333,27.3255333333,20.5432666667,33.6418666667,24.4305333333
796.70,19.8052,39.3770666667,36.5204666667,36.9937333333,18.3994,24.4121,27.3556,20.4593666667,33.5908,24.5928
797.01,20.2219333334,40.0207666667,36.5868666667,37.4539333333,18.4808,24.4744666667,28.0124666667,20.8671333333,34.2976,24.9879333333
797.32,20.7580666667,40.5859,36.7158666667,37.4948,18.7507333333,24.3719666667,28.0773333333,20.8561,34.6035333333,25.5158
797.63,21.6158,41.4085,37.1759333333,37.9626666667,19.2484666667,25.0508,28.7462,21.5385,35.2370666667,26.0696
797.93,22.0348666667,41.5509333333,37.3888,38.7050666667,19.7865333333,25.2116,28.8084,21.8854,35.5958666667,26.1544
798.24,23.1024666667,42.1067333333,38.2972666667,39.1774,20.5267333333,25.9704,29.5165333333,22.8319333333,36.2987333333,26.5729333333
798.55,23.9139333333,42.5699333333,39.2042666667,39.9713333333,21.3262666667,26.3476666667,30.3440666667,23.8674666667,36.9678,27.4408666667
798.85,23.2422666667,41.4026666667,38.3606666667,39.1911333333,20.6631333333,25.2458666667,29.5446666667,23.4717666667,36.0946666667,26.3316666667
799.16,23.3078666667,41.4976333333,38.2406666667,39.7817333333,21.2504,25.3798666667,29.5964,23.8785,36.0742,26.5358666667
799.47,23.3144666666,41.8306,38.3879333333,39.8419333333,21.0546,25.7174666667,29.4312,23.3409,35.9020666667,26.0717333333
799.78,22.6592,40.8502666667,37.4530666667,39.2357333333,20.5168666667,25.2396666667,29.0711333333,22.8840666667,35.0936,25.0636
800.08,21.8820666667,40.2229666667,36.9009333333,39.1383333333,19.8716,24.7353666667,28.7603333333,22.4792666667,34.3914666667,24.6635333333
800.39,22.1181333333,40.0725,37.1656666666,39.4972666667,19.9848,24.7657666667,28.9600666667,22.4456666667,34.4914,24.9295333333
800.70,21.6281333333,39.3093333333,36.7823333334,39.4522666667,19.8148,24.6027,28.912,22.2454,33.6806,24.3981333333
