wavelength,Back_ButAurm,Belly_ButAurm,Breast_ButAurm,Crissum_ButAurm,Crown_ButAurm,DorTail_ButAurm,Patch10_ButAurm,Patch11_ButAurm,Patch12_ButAurm,Rump_ButAurm,Throat_ButAurm,WingTip_ButAurm
203.85,-92.8570666667,-206.666666667,-102.857133333,-77.6190666666,-153.333333333,-144.762,-124.285733334,-137.619,-144.761933333,-117.619133333,-203.333333333,-128.5714
204.22,-109.0476,-204.5238,-101.309466667,-88.5714000001,-155.833333333,-162.5,-138.3334,-160.595333333,-153.571466667,-140.357133333,-208.4524,-132.7382
204.60,-115.544933333,-161.730733333,-66.2500666667,-77.5641333333,-124.775666667,-144.455133333,-103.2052,-112.564133333,-138.269266667,-127.467933333,-173.0128,-88.9743333334
204.98,-67.7831333333,-94.5772666668,-32.0096666666,-49.5214666667,-74.5614666667,-87.7352666667,-56.0605999999,-57.161,-86.8580666667,-73.8914666666,-105.1356,-47.5118666667
205.36,-58.4000000001,-76.9333333333,-26.1999999999,-42.7333333333,-59.6666666667,-82.4666666667,-39.2,-46.8,-81.3333333333,-59.2,-90.9333333333,-29.1333333333
205.74,-72.6948666668,-91.3792666666,-27.1903333333,-60.6258,-74.0100666665,-96.9094,-43.1800000001,-51.9924666666,-99.8978000001,-70.6768666666,-102.234933333,-31.2006
206.12,-122.291666667,-139.2262,-67.9761333334,-104.494,-116.756,-143.303533333,-84.5536,-92.9762000001,-161.994133333,-116.3096,-158.244133333,-60.6250666665
206.50,-123.1976,-139.08,-72.2776000001,-106.742,-111.357466667,-141.252,-85.2639999999,-103.981933333,-178.627466667,-110.4374,-161.870266667,-68.1598666667
206.87,-321.3674,-370.4274,-189.743533333,-302.1368,-282.478666667,-329.4872,-238.119733333,-277.606933333,-430.940266667,-321.282133333,-393.5042,-224.1026
207.25,-375.555533333,-463.259266667,-231.703733333,-369.037,-367.111133333,-356.0,-283.4074,-342.666666667,-503.259266667,-398.074066667,-456.5926,-259.555533333
207.63,-142.0136,-188.816266667,-69.9048000001,-146.693866667,-147.374133333,-130.857066667,-74.4353999999,-128.462533333,-199.768733333,-136.816333333,-172.462533333,-77.4693999999
208.01,-149.037,-192.790133333,-76.0247333335,-152.197466667,-167.5802,-114.938266667,-61.6543333333,-134.271666667,-197.2346,-127.209933333,-180.444466667,-80.4691333334
208.39,-283.675866667,-313.5672,-159.866466667,-265.480466667,-293.817866667,-214.269,-125.580733333,-244.511266667,-331.278266667,-215.973266667,-313.4502,-178.596533333
208.77,-244.042666667,-256.459466667,-130.433266667,-230.596333333,-253.571866667,-175.204,-116.170666666,-209.441333333,-279.008266667,-177.551866667,-261.192666667,-148.437066667
209.14,4.84846666666,-2.78786666666,-7.63633333334,-1.81813333333,1.697,-3.63633333334,-3.15153333334,-4.96966666666,-4.84853333334,4.84853333334,5.8182,6.4242
209.52,1571.22806667,1736.84213333,980.935666666,1385.96486667,1710.40933333,1088.7134,978.245600001,1450.93566667,1643.15793333,1265.49706667,1639.88306667,1226.54973333
209.90,-2923.33333333,-3229.88093333,-1733.33326667,-2527.61906667,-3122.9762,-2021.30953333,-1742.14286667,-2827.14286667,-3117.26193333,-2261.19046667,-2987.73806667,-2300.9524
210.28,-954.868733333,-1014.90913333,-525.6968,-812.363600001,-973.293000001,-656.1618,-563.4344,-963.555533333,-1012.88893333,-709.616266667,-940.606066667,-800.000000001
210.66,-410.970733333,-438.608133333,-210.457866667,-336.996333333,-415.384533333,-274.7986,-239.194066667,-416.4652,-438.717933333,-305.6042,-406.4836,-326.0988
211.03,-247.649666667,-241.7094,-122.008533333,-182.393066667,-239.017066666,-137.265,-136.9658,-237.094066667,-250.1282,-160.7692,-224.6154,-174.401666667
211.41,-210.916666667,-190.861133333,-108.166666667,-143.222133333,-182.166733333,-122.055533333,-118.0278,-197.555533333,-209.9444,-133.972133333,-188.25,-150.833333333
