wavelength,Back_ChlRief,Belly_ChlRief,Breast_ChlRief,Crissum_ChlRief,Crown_ChlRief,DorTail_ChlRief,Patch10_ChlRief,Patch11_ChlRief,Patch12_ChlRief,Rump_ChlRief,Throat_ChlRief,WingTip_ChlRief
339.77,7.48906666667,20.0379333333,13.4824666667,5.86953333334,6.22553333333,5.831,42.0064666667,0.564,24.3197333333,15.1247333333,1.56766666667,4.37586666667
340.14,7.58713333333,20.0771,13.474,5.881,6.246,5.91686666667,42.1710666667,0.574599999999,24.212,15.217,1.57133333333,4.3813
340.50,7.42593333333,19.945,13.3605333333,5.69406666666,6.03766666667,5.6172,42.2056666667,0.322133333334,23.9209333333,15.103,1.38826666667,4.23
340.87,7.39286666667,20.0442666667,13.4112666667,5.62759999999,6.01953333333,5.56853333333,42.4499333333,0.303533333333,23.9237333334,15.1256,1.33546666667,4.203
341.23,7.39466666667,20.0835,13.4864,5.65126666667,6.01453333333,5.56353333333,42.6504,0.314266666666,23.848,15.1937333333,1.36613333333,4.16763333333
341.60,7.26366666667,20.0283666667,13.4583333333,5.51193333333,5.91913333333,5.5304,42.7918,0.237066666667,23.6457333333,15.1984666667,1.3364,4.02823333333
341.96,7.23626666667,20.0824666667,13.5006666667,5.41566666667,5.90886666667,5.42506666666,43.0209333333,0.1914,23.6364666667,15.2605333333,1.3104,3.91693333333
342.33,7.3698,20.2417666667,13.7187333333,5.44140000001,6.01893333333,5.5386,43.383,0.319933333333,23.7087333333,15.4437333333,1.34066666667,4.0517
342.70,7.29786666667,20.3389333333,13.7524666667,5.34100000001,5.89613333333,5.43573333333,43.5835333333,0.2464,23.6750666667,15.3916666666,1.26,4.01573333333
343.06,7.38233333333,20.4623666667,13.8433333333,5.48046666666,6.00126666667,5.50446666667,43.8280666667,0.2844,23.6606666667,15.5098666667,1.3022,4.07743333333
343.43,7.5692,20.7602333334,14.0888,5.5536,6.15646666667,5.5786,44.2566,0.325,23.7938,15.6654,1.40006666667,4.11356666667
343.79,7.73333333333,21.1015333333,14.3024666667,5.68566666667,6.35713333334,5.7458,44.7646,0.415533333333,23.9356666667,15.8662,1.5346,4.18656666667
344.16,7.85206666667,21.4219,14.5847333333,5.8222,6.45526666667,5.89233333333,45.273,0.479133333334,24.1650666667,16.0823333333,1.64346666667,4.38183333333
344.52,8.12506666667,21.7833666667,14.9122,6.12479999999,6.77046666667,6.16446666667,45.6884666667,0.765333333335,24.3822,16.3965333333,1.93006666667,4.6681
