wavelength,Back_DacAlbm,Belly_DacAlbm,Breast_DacAlbm,Crissum_DacAlbm,Crown_DacAlbm,DorTail_DacAlbm,Patch10_DacAlbm,Rump_DacAlbm,Throat_DacAlbm,WingTip_DacAlbm
248.29,17.2766666667,6.36091666667,4.941,5.84920833333,15.5855,3.84991666666,1.88075,15.6431666666,17.4085833333,3.23983333333
248.67,17.6648333333,6.68758333333,5.32516666667,6.070375,16.0664166666,4.22583333334,2.12466666667,15.9415833333,17.766,3.55116666667
249.04,18.0826666666,7.00741666667,5.60866666667,6.35658333333,16.4760833334,4.54916666667,2.34383333333,16.4035,18.1069166667,3.78416666667
249.42,18.6354166667,7.61658333333,6.12816666666,6.9525,17.1615,5.10558333333,2.85675,17.0015833333,18.7154166667,4.36308333333
249.79,19.2894166667,8.54449999999,7.05075,7.61708333334,17.7918333333,5.89866666667,3.69808333333,17.7995833333,19.36625,5.12291666667
250.17,19.7430833334,9.18341666668,7.51191666667,8.19570833332,18.404,6.366,4.34516666667,18.3505,19.8454166666,5.61025
250.54,20.1305833333,9.71716666666,7.8485,8.49412499999,18.9585,6.78225,4.61841666666,18.7423333333,19.97175,5.98441666667
250.92,20.824,10.564,8.45950000001,8.96229166665,19.8325,7.501,5.19091666667,19.295,20.4451666666,6.64516666667
251.29,20.9386666667,10.9054166667,8.65675,8.97033333334,20.1254166667,7.69158333332,5.35466666667,19.5228333334,20.6054166667,6.7215
251.66,21.2666666667,11.5225,9.38125,9.53758333335,20.6721666667,8.40391666666,5.71341666668,20.1229166667,20.8485,7.1745
252.04,21.6116666667,11.9344166667,9.89516666665,9.71870833332,21.1601666667,8.764,6.07608333333,20.797,21.5129166666,7.44083333333
252.41,21.84075,11.8721666667,9.86291666668,9.69666666667,20.9440833334,8.48108333334,6.11291666666,20.8228333333,21.3819166666,7.2045
252.79,21.70575,11.7198333333,9.53616666667,9.53883333332,20.649,8.00808333333,5.80841666667,20.5679166667,21.2234166667,6.7405
253.16,21.5414166667,11.4735,9.04708333333,9.11845833335,20.2951666666,7.63066666667,5.71475,20.1086666667,21.07475,6.43941666667
253.54,21.3059166666,11.17525,8.64116666667,8.84733333335,19.8219166667,7.23941666667,5.53541666667,19.6955833334,20.7455,6.10691666667
253.91,21.1329166667,10.8774166667,7.96591666667,8.62445833334,19.6178333333,6.722,4.99766666666,19.2955833333,20.5165833333,5.65358333333
254.28,20.71625,10.0363333333,7.26241666667,7.98224999999,19.2064166667,6.09775,3.77449999999,18.5628333333,19.7858333333,5.02691666667
254.66,20.316,9.37425000002,6.95358333333,7.86137499999,19.0995833333,5.622,3.07433333333,17.8285,19.5534166667,4.321
255.03,20.0178333334,8.83033333334,6.51758333333,7.82058333333,18.9983333334,5.10333333333,2.22991666667,17.38025,19.4764166667,3.63166666667
255.41,20.0173333333,8.8355,6.77358333333,8.34320833333,19.2771666667,5.20741666667,2.29975,17.5389166666,19.52825,3.6215
255.78,19.8126666666,8.3805,6.50775,8.38058333334,19.3884166667,5.13333333333,1.98725,17.2931666667,19.321,3.4965
256.15,19.0256666667,7.48641666666,5.9475,7.45295833334,18.5484166666,4.47575,0.900583333332,16.16925,18.0441666667,2.80916666667
256.53,19.5395833333,7.71641666667,6.31641666666,7.98833333333,19.2875,4.96283333333,1.18758333334,16.7198333333,18.6370833333,3.03191666666
256.90,20.178,8.03250000001,6.55883333333,8.21104166666,19.7769166667,5.53041666667,1.49858333333,17.2371666667,18.8299166667,3.27941666667
257.28,20.3586666666,7.85291666667,6.78041666667,8.05491666667,20.0888333333,5.43233333333,1.26,17.2233333333,18.7001666667,3.34616666666
257.65,20.3305833333,7.56483333333,6.83816666667,7.662,19.92525,5.09058333333,1.49508333333,17.151,18.8250833333,3.33241666667
258.02,20.20525,7.1185,6.709,7.25891666667,19.98425,4.79483333333,1.58766666667,17.1130833333,18.9674166666,3.359
258.40,20.5783333333,7.34858333333,6.84225,7.35825,20.3133333333,4.97541666666,2.25033333333,17.5961666667,19.73975,3.83241666667
258.77,20.8091666667,7.70908333334,6.83633333333,7.24516666666,20.4539166667,4.99433333333,2.74558333333,17.9878333334,20.1056666667,4.33583333333
259.15,21.0954166666,8.00225,7.06141666667,7.42154166667,20.6325,5.35733333334,3.35908333333,18.3676666667,20.54675,4.76908333333
