wavelength,Back_TriMelm,Belly_TriMelm,Breast_TriMelm,Crissum_TriMelm,Crown_TriMelm,DorTail_TriMelm,Patch10_TriMelm,Rump_TriMelm,Throat_TriMelm,WingTip_TriMelm
805.30,12.9445333333,54.5923333333,46.7764666667,50.5788666667,79.6534666667,13.1727333333,8.49173333333,14.2204,57.9974666667,16.9157333333
805.60,15.1475333333,56.5340666667,49.465,52.8283333333,82.2508,14.7539333333,10.1155333333,15.8408666667,60.5134666667,18.7506
805.91,15.6679333333,56.8697333333,50.2290666667,53.8261333333,83.061,14.7686666667,9.90913333334,16.2559333333,61.1068,19.0488666667
806.21,15.2468666667,56.1555333333,49.4800666666,53.7790666667,83.067,14.504,9.72473333333,15.5001333333,61.0658666667,18.8291333333
806.52,14.7790666667,54.8052666667,48.5713333333,52.9178,82.0866,14.4242666667,9.25546666667,15.0823333334,60.2770666667,18.6407333333
806.83,14.8466666667,54.4401333333,47.9031333333,52.2611333333,81.5218,14.0509333334,8.93206666665,15.0281333334,59.6108666666,18.8672666667
807.13,15.1698,54.8476666667,48.2681333333,52.7588666667,81.4707333333,14.5169333333,9.01666666667,15.6398,59.7128,18.999
807.44,14.5850666667,54.5141333333,48.2201333333,52.7297333333,81.4204,13.8304,8.49533333333,15.0554666667,59.8846666667,18.7927333333
807.74,14.1085333333,54.8288666667,48.3904,52.932,82.1067333333,12.9410666667,8.09866666667,15.0660666667,60.2005333333,18.6046666667
808.05,15.3004,55.2736666666,48.162,52.9774,80.9968666667,14.1522666667,9.65726666667,16.4396,59.8931333333,19.8397333333
808.35,13.9553333334,53.7712,46.0709333333,50.4160666667,77.5909333333,13.237,8.8656,15.3044,57.3192666667,18.721
808.66,13.5815333333,53.7057333333,45.4965333333,49.6897333333,76.782,12.828,8.72340000001,14.4592,56.312,18.0762666666
808.97,15.0737333333,55.4394666667,46.9522666667,50.9058,76.9388,14.4311333333,10.0222666667,16.1356666667,56.8406666667,18.9915333333
809.27,16.6174666667,56.7249333333,48.2818666667,51.5568666667,77.7837333333,15.7648666666,11.7093333333,17.6132666667,57.2991333333,19.9014
809.58,17.6248,57.292,48.7898666667,52.1368666667,78.2005333333,16.9500666667,12.7396666667,18.2906666667,57.9487333333,20.4228666667
809.88,19.5340666667,58.5842666667,50.2150666667,53.2528,79.2204,18.6918666667,14.6685333333,20.0268666666,59.2830666666,22.3386666667
810.19,20.941,59.2011333333,50.7944666667,53.786,78.8458666667,19.92,16.3249333333,21.5535333334,59.6094666667,23.32
810.49,21.3598,59.4173333333,50.8432666667,54.0839333333,78.7286,21.0419333333,17.1302,22.2691333333,59.9293333333,23.9205333333
810.80,21.592,59.9367333333,51.4247333333,54.6177333333,79.7828666667,20.9498,17.1957333333,22.3156666667,60.7598,23.8714666667
811.10,22.696,60.5318666667,52.3338,55.6534,81.403,21.6046666667,18.1658666667,23.3562,62.1364,24.9334666667
811.41,23.6812666667,61.0256666667,53.0221333333,55.6686,81.7674,22.8663333333,19.2032666667,24.7894,62.9579333333,26.1722666667
811.71,23.8842,61.2137333333,53.3519333333,55.8916666667,82.7825333333,22.9692,19.0942666667,24.8272666667,64.1362666667,26.5172666667
812.02,23.6000666667,61.2285333333,53.2000666667,55.4762,82.5905333333,22.7237333333,18.3618666667,24.3238666667,64.7523333333,26.4666666667
812.32,23.7341333333,62.1799333333,54.2619333333,56.6373333333,83.8417333333,23.1964666667,18.3774666667,24.8289333333,66.0802,27.2239333333
812.63,24.0483333333,63.0413333333,54.9345333333,57.4824666667,85.0152,22.9506,18.4794,24.8336666667,66.9887333333,27.6033333333
812.93,23.1956666667,63.6297333333,54.7196666666,57.5767333333,86.8676666667,21.8095333333,16.7090666667,23.4180666666,67.5660666667,27.0264
813.24,22.9774,64.2395333333,55.2319333334,57.3462,87.001,21.3483333333,16.5587333333,23.1068666667,67.8748,27.109
813.54,22.4046,62.7376,54.6430666667,56.4144666667,85.357,20.9554,16.0386,22.8125333333,66.2694666667,26.774
813.85,22.6291333333,63.4873333333,55.9625333333,58.0638,87.1396666667,21.2651333333,16.2375333333,22.8162666667,67.4916666667,27.0737333333
814.15,22.1854,63.0021333333,55.4526,58.0022666667,86.5231333334,20.2316666667,15.6512,21.788,67.1744666667,26.6225333333
