wavelength,Back_GeoMagm,Belly_GeoMagm,Breast_GeoMagm,Crissum_GeoMagm,Crown_GeoMagm,DorTail_GeoMagm,Patch10_GeoMagm,Rump_GeoMagm,Throat_GeoMagm,WingTip_GeoMagm
201.95,54.1666666667,-41.5625000001,-63.3333333333,21.875,-54.375,18.9583333335,38.5416666667,13.5416666667,74.8958333333,29.2708333335
202.33,17.3912666667,-99.1303666667,-125.507266667,-22.8986666666,-130.724666667,-38.2608666666,4.63766666686,-25.2174,40.2899,-30.7247333333
202.71,-93.3333333333,-245.0,-280.0,-178.75,-287.083333333,-147.916666667,-93.3333333333,-153.75,-45.4166666666,-174.375
203.09,320.0,529.333333333,608.666666667,418.0,606.0,384.0,308.666666667,350.0,226.0,435.666666667
203.47,282.916666667,393.958333334,449.583333333,311.25,422.916666667,297.5,284.166666667,238.75,215.625,333.75
203.85,227.3016,334.603166667,360.0,285.7144,343.1746,246.984133333,263.809466667,202.222266667,186.190566667,291.269666667
204.22,271.333333333,372.0,408.0,338.666666667,420.333333333,289.333333333,342.333333333,253.0,257.833333333,367.666666667
204.60,826.666666666,1072.2222,1273.3334,1012.22233333,1339.99993333,924.444399999,1093.3334,746.666600001,845.555600001,1168.33336667
204.98,332.083333333,437.708333333,547.916666667,409.166666667,544.583333333,380.416666666,436.25,285.416666667,354.375,496.25
205.36,-620.952333333,-799.047700001,-1056.19053333,-728.571466667,-1073.33333333,-667.619066667,-844.761733333,-444.761866667,-543.3333,-966.666533333
205.74,398.9744,515.3847,662.051266667,490.769333333,663.589666667,423.076933333,509.230666667,299.487133333,374.3591,600.512733333
206.12,198.933333333,266.533333333,326.133333333,248.0,326.933333333,212.0,246.666666667,140.0,202.666666667,307.733333333
206.50,197.204333333,252.903266667,293.763466667,227.0966,291.397866667,193.763333333,225.806466667,141.505333333,200.537533333,277.8497
206.87,266.3636,354.999833333,412.424266667,292.7272,382.7272,265.151466667,310.0002,185.4546,269.696866667,377.2727
207.25,649.090933333,832.727166667,915.757466668,729.697,896.969533333,672.727266667,714.545533334,481.818333333,628.787766666,865.151700001
207.63,490.222333333,622.6666,676.888866667,567.555533333,691.110933333,540.888933334,527.5556,396.888933333,523.333366667,656.888966667
208.01,785.185266666,970.370366665,1051.8518,837.777733333,1093.33333333,841.481400001,813.333333334,591.111066666,837.777900001,1034.81473333
208.39,289.2856,341.0714,375.0,301.1904,372.380933333,320.000133333,287.3808,215.2382,285.9524,351.9048
208.77,201.8518,257.500033333,262.037133333,208.333466667,262.037,225.185066667,197.037066667,141.6666,187.037133333,239.351966667
