wavelength,Back_SicLebm,Belly_SicLebm,Breast_SicLebm,Crissum_SicLebm,Crown_SicLebm,DorTail_SicLebm,Rump_SicLebm,Throat_SicLebm,WingTip_SicLebm
246.05,5.22366666667,2.05233333333,4.16633333333,7.33866666667,8.209,16.4176666667,7.02733333333,2.052,12.4065
246.42,5.82383333333,3.38333333333,3.77166666667,8.20833333333,9.15133333333,18.2476666667,8.264,2.662,12.6455
246.79,5.53016666667,3.84033333333,2.407,7.98766666667,9.114,17.409,7.42466666667,2.765,11.828
247.17,5.65816666667,3.97733333333,0.852333333333,7.57566666667,10.038,16.761,6.86533333333,4.2615,11.0085
247.54,6.55816666667,5.06566666667,1.493,8.32233333333,11.3976666667,18.4533333333,7.46266666667,5.0205,12.822
247.92,9.1365,7.85633333333,4.21,10.2863333333,13.932,19.0973333333,9.809,6.641,14.8435
248.29,8.7095,7.57,4.47333333333,9.84933333333,14.0213333333,17.5483333333,9.89233333333,6.3225,15.161
248.67,7.82083333333,8.41866666667,4.70133333333,9.06,13.077,16.0253333333,9.40166666667,5.833,15.128
249.04,7.43633333333,8.66133333333,6.43033333333,9.44866666667,15.223,15.6603333333,11.7236666667,6.299,16.3385
249.42,8.13716666667,9.59,7.93,10.189,15.722,16.3206666667,12.0336666667,6.0165,17.0125
249.79,10.0286666667,10.1716666667,8.78733333333,11.4613333333,16.38,16.5713333333,11.7956666667,7.808,17.192
250.17,11.3658333333,9.58233333333,9.12333333333,13.4046666667,17.1766666667,17.431,12.997,8.639,17.661
250.54,11.423,8.77466666667,8.72133333333,12.8946666667,16.4796666667,17.0143333333,12.199,8.106,16.774
250.92,11.9045,9.30233333333,10.0776666667,13.566,16.556,16.5006666667,13.3446666667,8.5545,18.3555
251.29,12.5586666667,9.155,12.2653333333,15.5516666667,16.1383333333,16.6083333333,14.3776666667,7.9225,19.63
251.66,11.5476666667,8.09533333333,13.8096666667,15.1786666667,13.1546666667,16.4283333333,12.4406666667,8.8395,16.7855
252.04,10.894,8.46633333333,12.7886666667,14.1506666667,10.8346666667,16.4596666667,11.0716666667,9.5915,16.43
252.41,11.602,9.01066666667,13.133,14.6053333333,11.1896666667,17.609,12.3086666667,9.8055,17.0495
252.79,12.1531666667,6.96166666667,13.215,15.811,11.6226666667,19.646,13.8053333333,9.292,16.1945
253.16,12.5513333333,6.81966666667,10.817,15.8726666667,9.23,21.223,12.581,8.2895,15.697
253.54,12.3056666667,5.675,10.5733333333,15.1133333333,7.40733333333,19.2353333333,11.1113333333,7.885,13.3515
253.91,13.1148333333,7.104,11.84,16.0293333333,7.58966666667,19.308,12.8113333333,7.195,13.7525
254.28,13.2035,8.47233333333,12.3683333333,15.8936666667,8.225,19.4183333333,12.492,7.7925,12.7085
254.66,12.7526666667,7.43633333333,12.7853333333,16.5686666667,7.306,18.5256666667,12.2636666667,6.36,12.133
255.03,11.4106666667,5.39433333333,12.2403333333,14.7303333333,6.29333333333,16.9436666667,11.7566666667,4.1495,10.27
255.41,10.823,6.43166666667,12.5173333333,13.9003333333,7.60733333333,15.9056666667,12.863,4.668,9.9585
255.78,13.6175,8.732,13.6523333333,17.0476666667,10.1176666667,15.3156666667,17.1866666667,5.0935,13.098
256.15,15.775,9.87666666667,16.6666666667,19.6156666667,13.7856666667,17.9696666667,20.096,6.5845,14.3005
256.53,14.9598333333,8.099,14.7923333333,19.2103333333,12.7846666667,18.072,19.3443333333,6.6265,13.253
256.90,13.4725,7.78,14.2946666667,16.7616666667,12.2076666667,17.3306666667,17.1413333333,6.6415,12.8085
257.28,11.8421666667,7.95333333333,14.62,16.842,13.6256666667,16.0816666667,16.374,8.07,13.421
257.65,10.4781666667,8.268,13.6246666667,15.341,14.0406666667,17.057,14.613,7.332,14.0405
258.02,10.3465,8.14233333333,13.2703333333,15.4296666667,14.1703333333,16.9586666667,13.5403333333,8.0975,14.5075
258.40,9.80533333333,8.142,11.8886666667,14.6026666667,13.5323333333,16.2083333333,12.8056666667,7.3395,14.1625
258.77,8.20716666667,7.77,10.1243333333,13.051,13.0843333333,14.699,11.6043333333,6.6095,13.3705
259.15,7.87766666667,7.29466666667,9.02833333333,12.7056666667,12.855,15.1273333333,10.7926666667,6.592,13.0495
259.52,7.49383333333,6.46666666667,7.79933333333,12.0456666667,11.9903333333,15.182,9.964,6.37,12.4895
259.89,6.48233333333,6.21866666667,6.21833333333,10.8036666667,12.2266666667,15.0726666667,9.14366666667,6.2845,12.1345
260.27,5.727,5.37966666667,5.148,10.013,11.7373333333,14.2086666667,8.64866666667,5.3285,11.9305
260.64,6.25333333333,6.36733333333,5.226,10.1976666667,11.999,14.003,8.77733333333,5.137,12.1765
261.01,6.07083333333,6.82533333333,4.54966666667,10.4806666667,11.6053333333,13.6246666667,8.38433333333,4.563,11.695
261.39,6.04783333333,6.734,4.66233333333,10.3343333333,11.422,13.2606666667,8.10666666667,3.7685,11.7715
261.76,6.17983333333,5.88566666667,3.665,10.353,11.2093333333,12.6273333333,8.37366666667,3.8125,11.6375
262.13,4.865,4.86466666667,2.82066666667,8.95233333333,10.1613333333,12.0036666667,7.62833333333,3.1955,10.622
262.51,4.96416666667,4.08433333333,2.262,8.828,10.5246666667,12.3786666667,7.76,2.875,11.1215
262.88,5.64883333333,3.32266666667,2.44833333333,8.709,10.843,12.9066666667,7.555,3.1475,11.752
263.25,5.83633333333,4.19133333333,2.38966666667,9.714,11.085,12.8866666667,8.539,2.9965,12.221
263.63,6.66233333333,5.372,3.55333333333,10.1946666667,12.1826666667,13.2406666667,9.30633333333,3.9975,13.388
264.00,7.059,5.77366666667,3.924,10.555,12.359,13.487,9.78833333333,4.3305,13.87
264.37,6.566,5.418,3.90233333333,9.87133333333,11.203,12.5346666667,8.67766666667,4.339,12.5345
264.75,5.873,3.43566666667,3.76066666667,9.053,10.0743333333,11.6993333333,6.732,4.596,12.3955
265.12,7.25633333333,3.17433333333,4.082,9.34266666667,10.7483333333,12.3356666667,7.392,6.0545,13.129
265.49,8.27783333333,3.872,3.872,9.56833333333,10.592,13.4396666667,8.98966666667,6.475,13.685
265.87,6.71383333333,3.34633333333,3.98933333333,8.108,9.48066666667,13.5136666667,8.02233333333,5.148,11.776
266.24,7.32183333333,4.32833333333,4.81366666667,8.53566666667,10.72,14.5226666667,8.61666666667,5.279,12.682
266.61,6.357,4.64833333333,4.887,7.549,9.09833333333,13.23,7.509,5.542,10.727
266.98,7.4895,6.56033333333,6.10566666667,8.91166666667,9.67,13.9553333333,8.684,6.8825,10.523
267.36,7.75466666667,6.24766666667,6.505,8.52633333333,9.84933333333,14.0386666667,8.122,8.5445,10.6395
