wavelength,Back_TerVirm,Belly_TerVirm,Breast_TerVirm,Crissum_TerVirm,Crown_TerVirm,DorTail_TerVirm,Rump_TerVirm,Throat_TerVirm,WingTip_TerVirm
383.77,44.2725666667,60.9200666667,62.855,50.2590666667,66.4711333333,7.972,46.9761333333,6.27513333333,8.14653333333
384.14,44.2058,60.9387333333,62.7061333333,50.2798666667,66.3550666667,7.9496,46.8256,6.2175,8.10743333333
384.50,44.0287666667,60.8872666667,62.5198666667,50.2277333333,66.184,7.8468,46.5860666667,6.0648,7.99106666667
384.86,43.9379333333,60.9519333333,62.4508666667,50.2240666667,66.1226,7.80146666667,46.4429333333,6.01503333333,7.93233333333
385.22,43.8514333333,61.0320666667,62.3622,50.3168666667,66.0264666667,7.80406666667,46.298,5.98506666667,7.9095
385.58,43.7663,61.0297333333,62.253,50.3952,65.9048,7.8692,46.1728666667,5.9939,7.9054
385.94,43.5848666667,61.0052,62.0404666667,50.3256666667,65.7187333333,7.93766666667,45.9662666667,6.03813333333,7.9252
386.30,43.5697666667,61.1636,62.0050666667,50.4043333333,65.723,7.81106666667,45.8639333333,5.9131,7.85746666667
386.66,43.5647666667,61.3423333333,62.0245333333,50.5894666666,65.7242,7.87206666667,45.7992,5.9827,7.931
387.03,43.5018,61.3964666667,61.9007333333,50.6702666667,65.5984666667,7.9036,45.6665333333,6.03673333333,7.99503333333
387.39,43.3504333333,61.4118666667,61.6897333333,50.6134,65.48,7.94673333333,45.5173333333,6.0696,8.0421
387.75,43.1979333334,61.3398666667,61.4996,50.5845333334,65.2464,7.94226666667,45.333,5.96386666667,8.01263333333
388.11,43.0226,61.28,61.2488666667,50.5503333334,65.0437333334,7.9738,45.1162,5.96246666667,8.00273333333
388.47,43.0123666667,61.4876666667,61.2314666667,50.7339333333,65.0262666667,8.13193333333,45.0994,6.1595,8.20106666667
388.83,42.9390666667,61.6113333333,61.0878666667,50.8006,64.9039333333,8.19706666667,45.0034666667,6.2388,8.26953333333
