wavelength,Back_LanAurm,Belly_LanAurm,Breast_LanAurm,Crissum_LanAurm,Crown_LanAurm,DorTail_LanAurm,Patch10_LanAurm,Patch11_LanAurm,Rump_LanAurm,Throat_LanAurm,WingTip_LanAurm
793.62,46.9649333333,53.1235333333,50.3402666667,44.5874666667,6.38686666666,14.0048,45.8974666667,31.4965333333,47.6644,6.12126666667,11.5618
793.93,46.8634666667,53.0896,50.3022666667,44.5489333333,5.88433333334,13.4224,45.7249666667,31.3563333333,47.3974,5.6642,11.0799333333
794.24,46.8710666667,52.9248,50.1626,44.8282666667,5.90533333333,13.3054666667,45.6499666667,31.272,47.1076666667,5.78926666667,11.1837333333
794.55,47.6242,53.5831333333,50.9137333333,45.6488666667,6.65740000001,13.8978666667,46.3844,31.7788666667,47.7354,6.43533333333,11.7325333333
794.86,47.3684,53.3108666667,50.8275333333,45.2541333333,6.79713333333,14.3275333333,46.0886333333,31.9973333333,47.4358666667,7.00413333333,12.1277333333
795.16,47.6825333333,53.5418,51.3063333333,45.4424666667,7.15906666666,14.8502,46.4160333333,32.6681333333,47.6159333333,7.72226666666,12.3176
795.47,46.7145333333,52.6374666667,50.3196666667,44.7618,6.78406666667,14.4031333333,45.4468333333,32.1418666667,46.5666,7.232,11.8372
795.78,46.0352,52.2337333334,49.6649333333,44.5789333333,6.3144,13.8961333333,44.9764,31.6494,45.7474666667,6.88566666667,11.3144
796.09,45.6404,52.3199333333,49.504,44.4716666667,5.52826666667,13.1006,44.5559333333,31.1472,45.2652666667,6.3088,10.7201333333
796.40,46.1722,52.8693333333,49.9110666666,44.9404666667,5.51293333334,13.277,44.9079333333,31.4985333333,45.7080666666,6.56266666667,10.978
796.70,45.9892,52.6858666667,49.895,45.0162,5.8564,13.8948,44.9494333333,31.5452666667,45.6804666667,7.12546666667,11.5840666667
797.01,46.5384,53.1753333333,50.1024666667,45.5086,6.24339999999,14.5170666666,45.3782,32.0598666667,46.1837333333,7.61553333333,12.3203333333
797.32,46.8474666667,53.4238,50.0882666667,45.5246666667,6.365,14.6563333333,45.4513,32.131,46.4640666667,7.65773333333,12.4068666667
797.63,47.1382,53.9578,50.6353333333,45.4966666667,6.67093333333,15.1624666667,45.8000666667,32.4601333333,46.8544,7.78433333333,12.5344
797.93,47.0298666667,53.9003333333,50.3742666667,45.2536,6.13953333333,14.7508666667,45.8582666667,32.1596,46.9190666666,7.0388,12.1904
798.24,47.5682,54.6674666667,50.8834,45.9244666667,6.52093333333,14.868,46.2704,32.5045333333,47.5455333333,6.93526666667,12.4226666667
798.55,46.7592666667,54.2401333333,50.0208,45.5979333333,6.10679999999,14.0134666667,45.6141666667,31.6494,47.12,6.12073333333,11.9268666667
798.85,47.123,54.8881333333,50.5468666667,45.4779333334,5.79180000001,13.8327333333,46.0507666667,31.9970666667,47.7887333333,6.08653333333,12.021
799.16,47.0377333333,54.7324,50.2784666667,44.8774666667,6.07193333333,14.0614666667,45.9338666667,32.0104,47.961,6.33826666666,12.4339333333
799.47,47.1006666667,54.1106,49.7949333333,44.7878666667,6.42826666667,14.5731333333,45.9917666667,31.9550666667,48.1259333333,6.68566666667,12.6515333333
799.78,46.0585333333,53.0698666667,48.913,43.8602666667,6.03440000001,13.8027333333,45.1294,31.2547333333,47.2316666667,6.22606666667,11.9062
800.08,45.6277333333,52.7966666666,48.6952666666,43.4366666667,5.15020000001,12.5946,44.6701333333,30.6549333333,47.1048666667,5.03186666667,10.6549333333
800.39,45.9718,52.9859333333,49.2548,43.8116,5.40279999999,12.6988666667,44.9672333333,30.8257333333,47.4975333333,4.96473333333,10.7151333333
800.70,46.0141333333,52.9134,49.4891333334,43.8493333333,5.67026666667,12.9843333333,45.0835666667,31.1077333333,47.5569333333,5.134,11.0369333333
801.00,44.8147333333,51.8975333333,48.3917333333,42.9730666667,5.03799999999,11.9888666667,44.1070666667,30.1826,46.763,4.5206,10.3602666667
801.31,44.9514666667,51.9661333333,48.4998,43.0414666667,5.23806666667,12.0481333333,44.2138666667,30.4404666667,46.9533333333,4.86953333333,10.5170666667
801.62,44.3675333333,51.4292666667,47.765,42.5096,4.74713333334,11.3266,43.5257666667,29.8076666667,46.3228666667,4.5368,10.1566
801.92,44.4632,51.3981333333,47.9051333333,42.6264,4.69046666667,11.4912666667,43.4106666667,30.0103333333,46.1764666667,4.81406666667,10.3561333333
802.23,43.8446666667,50.6645333333,47.0859333333,42.4386,4.91833333334,11.3191333333,42.7326,29.6370666667,45.4909333333,4.88753333333,10.3322
802.54,43.7406,50.3762,47.2945333333,42.6148666667,4.85593333334,11.0817333333,42.7678666667,29.7171333333,45.3748666667,4.9286,10.0234
802.84,43.5702,50.2684666667,47.2300666667,42.5802,4.43926666666,10.6951333333,42.3959333333,29.5102,45.3502,4.38653333333,9.73146666668
803.15,43.8056666667,50.4565333333,47.5956,42.9295333333,4.70826666666,10.9844,42.5364333333,29.7176666667,45.5687333334,4.34413333333,10.1768
803.46,43.9138,50.8359333333,47.5826,42.9392,4.6912,11.0491333333,42.6917,30.0054,45.3887333334,4.26513333333,10.4261333333
803.76,43.4840666667,50.5366,46.9364,42.6645333333,4.67339999999,10.8486666667,42.3393666667,29.6009333333,44.7423333333,4.08153333333,10.341
