wavelength,Back_PorCaef,Belly_PorCaef,Breast_PorCaef,Crissum_PorCaef,Crown_PorCaef,DorTail_PorCaef,Rump_PorCaef,Throat_PorCaef,WingTip_PorCaef
214.06,-395.833333333,-444.166666667,-581.666666667,-493.333333333,-781.666666667,-523.333333334,-522.5,-599.166666667,-795.833333333
214.44,-279.999866667,-327.272666667,-389.090866667,-346.060666667,-555.757666667,-395.7576,-382.1212,-425.454533333,-565.4546
214.81,-180.7842,-210.5884,-244.313733333,-210.196,-339.2158,-254.509733334,-246.2746,-265.4902,-341.568666667
215.19,-89.7222000001,-124.166733333,-146.6666,-113.8888,-223.055533333,-155.555533333,-143.7499,-167.499866666,-210.277733333
215.57,-65.1852666666,-85.6789333333,-114.321066667,-70.6174,-173.086266667,-116.790133333,-104.074033333,-127.654466667,-161.2346
215.95,-23.4042,-30.4964666667,-52.1986000001,-28.7942666667,-79.4326000001,-48.7943333333,-43.5460666667,-50.6385333333,-72.6241999999
216.32,-1.48146666666,-9.75313333333,-26.7901333334,-4.44453333332,-50.8642666667,-29.6295333333,-22.4691666667,-31.4816,-41.7284666666
216.70,8.39079999999,1.37933333332,-13.9080666667,8.85046666667,-28.7355333333,-19.0805333333,-12.8735333333,-14.4828666667,-26.8966
217.08,17.2548666667,4.41166666668,-1.56859999998,19.5098666667,-12.549,-4.90193333333,-3.33333333333,-0.196133333326,-12.5490666667
217.46,6.46780000001,-6.16906666667,-16.4178666667,9.15426666667,-23.9800666667,-13.5323333333,-16.2188,-9.85066666666,-28.3582
217.83,10.8944,1.78866666668,-8.86186666664,13.7399333333,-10.8129333333,-5.60979999999,-5.9756,-1.46340000001,-16.7479333333
218.21,8.39213333334,1.33326666667,-9.72546666667,12.1569333333,-11.8431333333,-4.7844,-3.21570000002,1.09806666665,-16.1568666667
218.59,11.6666666667,2.9544,-11.3637333333,14.0909333333,-11.8182,-3.40900000002,-1.70450000001,-0.530333333334,-15.0000666667
218.97,2.83113333334,-2.28306666667,-23.4702666667,4.29233333333,-24.3835333334,-14.8856666667,-8.85836666667,-10.7762666667,-30.1368666667
219.34,0.833466666674,-2.1296,-23.8888,2.59246666666,-20.5556,-11.6667333333,-9.53713333331,-10.6481333333,-31.4815333334
219.72,-5.12813333332,-13.3334,-31.4872,-5.94880000001,-28.1025333333,-22.4615333333,-16.5129,-20.5128,-44.3077333333
220.10,4.25120000001,-6.18366666666,-17.6810666667,4.05786666666,-17.9710666667,-15.4589333333,-7.00486666664,-11.2077333333,-33.8166666666
220.47,13.2467333333,3.11680000001,-9.00446666667,7.87880000002,-2.77046666667,-3.11686666665,5.19476666666,1.29873333331,-22.8570666666
220.85,21.6461333334,12.181,-1.72846666668,12.5926666667,3.12760000002,2.30453333334,12.7571333333,9.62960000001,-15.5554
221.23,15.6666666667,10.1666666667,-5.41666666666,7.83333333334,5.99982286076e-12,-3.74999999998,11.0833333333,5.58333333333,-19.4166666667
221.61,5.0,-1.66666666668,-12.4166666667,-2.25,-7.50000000002,-15.9166666667,0.583333333333,-6.91666666668,-26.8333333333
221.98,3.79626666667,-5.463,-15.8333333333,-1.94446666667,-9.81480000002,-20.0926666667,-0.601766666668,-11.7592666667,-26.2963333333
222.36,-13.3334,-28.9286,-44.0475333333,-20.9524,-31.9046666667,-46.3096666667,-24.7025,-42.3811333333,-52.8571333334
222.74,-13.3332666667,-27.7192666667,-36.4910666666,-19.6491333333,-25.8479333334,-41.6373333333,-22.6316,-39.0642,-46.1988666667
