wavelength,Back_TacDelm,Belly_TacDelm,Breast_TacDelm,Crissum_TacDelm,Crown_TacDelm,DorTail_TacDelm,Rump_TacDelm,Throat_TacDelm,WingTip_TacDelm
443.60,6.1316,6.34593333333,5.77486666667,5.9313,6.56533333333,7.52763333333,6.07278666667,5.6216,8.4623
443.95,6.0914,6.287,5.75326666667,5.89386666667,6.5114,7.49586666667,6.03172666667,5.58606666667,8.40933333333
444.31,6.09246666667,6.29993333333,5.75833333333,5.90846666667,6.51453333333,7.49103333333,6.03294,5.6032,8.39833333333
444.66,6.04613333333,6.24986666667,5.7161,5.87813333333,6.46453333333,7.46046666667,5.99748,5.54393333333,8.3743
445.02,6.0284,6.23126666667,5.6968,5.86363333333,6.43586666667,7.44506666667,5.97879333333,5.51646666667,8.36316666667
445.37,6.02893333333,6.2284,5.70973333333,5.8792,6.44233333334,7.44716666667,5.99011333333,5.5202,8.36683333333
445.72,6.03893333333,6.24586666667,5.70466666667,5.8798,6.4432,7.47223333333,6.0073,5.5316,8.3818
446.08,6.0788,6.27353333333,5.73706666667,5.91033333333,6.47513333333,7.51073333333,6.03956666667,5.56433333334,8.4041
446.43,6.06706666667,6.27,5.73373333333,5.8979,6.44826666667,7.5092,6.04130666666,5.55653333333,8.40146666667
446.79,6.0752,6.28146666667,5.72506666667,5.896,6.44566666667,7.49193333333,6.04375333333,5.55413333333,8.40613333333
447.14,6.08546666667,6.301,5.74833333333,5.90486666667,6.4494,7.48023333333,6.06772,5.56526666667,8.42196666667
447.50,6.10373333333,6.309,5.75473333333,5.92953333333,6.4734,7.4916,6.08224666667,5.59086666667,8.44236666667
447.85,6.11053333333,6.32553333333,5.75696666667,5.94453333333,6.4864,7.48036666667,6.09801333333,5.61106666667,8.46553333333
448.21,6.12406666667,6.32833333333,5.76536666667,5.9408,6.49193333333,7.49116666667,6.11522666667,5.60606666666,8.48643333333
