wavelength,Back_DubTaem,Belly_DubTaem,Breast_DubTaem,Crissum_DubTaem,Crown_DubTaem,DorTail_DubTaem,Patch10_DubTaem,Patch11_DubTaem,Rump_DubTaem,Throat_DubTaem,WingTip_DubTaem
361.29,11.5603333333,15.8566,15.1872666667,9.51296666667,26.5001333333,5.54856666667,35.2397333333,7.14206666667,10.6312,2.5582,5.634
361.66,11.5524666667,15.7787,15.1614666667,9.55260000001,26.5436666667,5.52183333333,35.3172,7.14493333333,10.6413333333,2.4996,5.66566666667
362.02,11.7676666667,15.9144,15.3345666667,9.78173333334,26.7188,5.6906,35.4551333333,7.34826666667,10.7818666667,2.69006666667,5.83753333333
362.39,11.8222,15.9486,15.3592333333,9.82176666667,26.7859333333,5.70536666667,35.5571333333,7.40246666667,10.8104666667,2.76066666667,5.89206666667
362.75,11.9566,16.0832666667,15.4640333333,9.97746666667,26.9025333333,5.80966666667,35.6424666667,7.517,10.9147333333,2.87326666667,6.02786666667
363.11,12.0014,16.1006666667,15.4688666667,10.0736333333,27.0083333333,5.86626666667,35.7022666666,7.53973333333,10.9582666667,2.91593333333,6.05
363.48,11.9997333333,16.0630666667,15.4621,10.0823666667,26.9916,5.9057,35.6355333333,7.58033333333,10.9565333333,2.9536,6.05746666666
363.84,11.9534666667,16.0149,15.4383,10.0814666667,27.0292666667,5.90546666667,35.6216,7.56246666667,10.9224,2.87526666667,6.03106666667
364.20,11.9782666667,16.0469333333,15.4442,10.1060666667,27.1126,5.912,35.664,7.5996,10.9189333333,2.87446666667,6.04533333333
364.57,12.1431333333,16.2009,15.5414666667,10.2811666667,27.336,6.05266666667,35.8790666667,7.72886666667,11.0646666667,3.06013333333,6.2214
364.93,12.4419333333,16.4064666667,15.7667333333,10.5524666667,27.6668,6.27906666667,36.1680666667,7.96326666667,11.3500666667,3.3522,6.4722
365.29,12.5606,16.4349333333,15.8404,10.6853333333,27.8765333333,6.31246666667,36.2666,8.0778,11.4377333333,3.42293333333,6.52486666667
365.66,12.7186666667,16.4976666667,15.9271,10.7803,28.0668666667,6.40843333333,36.4496,8.2036,11.5679333333,3.53893333333,6.6084
366.02,12.7309333333,16.4492666667,15.9463666667,10.8253666667,28.1782666667,6.39216666667,36.5414,8.2108,11.573,3.5758,6.6248
366.38,12.8288666667,16.4460666667,16.0068666667,10.9575333333,28.2921333333,6.49933333333,36.5486,8.31193333333,11.6674,3.64653333333,6.68946666667
366.75,12.694,16.2742666667,15.8234,10.8194666667,28.2598,6.38526666667,36.5364666667,8.22913333333,11.5917333333,3.51553333333,6.5426
367.11,12.6987333333,16.1507666667,15.6703666667,10.7579,28.2184666667,6.3321,36.4824,8.25073333333,11.6187333333,3.517,6.45933333333
367.47,12.6282666667,16.0425,15.5029666667,10.6604333333,28.2074666667,6.20716666667,36.4457333334,8.19366666667,11.5470666667,3.43106666667,6.345
367.84,12.6107333333,15.9221,15.4124,10.6388666667,28.2614666667,6.15416666667,36.4504,8.19673333333,11.5462,3.37333333333,6.26833333333
368.20,12.6792666667,15.8854,15.3959,10.7517,28.4124666667,6.22746666667,36.5586666667,8.3088,11.6641333333,3.4298,6.31973333333
368.56,12.7313333333,15.7769,15.4089,10.7869666667,28.4328666667,6.24383333333,36.6154,8.3988,11.7018,3.47666666667,6.32786666667
368.93,12.5647333333,15.5316,15.1537666667,10.6724333333,28.3616666667,6.10293333333,36.5500666667,8.2618,11.5816666667,3.3664,6.182
369.29,12.5324666667,15.3665,15.0540333333,10.5984666667,28.3595333333,6.02883333333,36.5863333333,8.22546666667,11.5278666667,3.3318,6.1674
369.65,12.4804666666,15.1457666667,14.8673,10.5723,28.2852666667,5.96616666667,36.5201333333,8.159,11.5148666667,3.31533333333,6.13533333333
370.01,12.4453333333,14.9872333333,14.6809,10.5018,28.3503333334,5.9008,36.5634666667,8.13386666667,11.4910666667,3.23086666667,6.07126666667
370.38,12.4936666667,14.8631,14.5987,10.5235333333,28.447,5.85416666667,36.6870666667,8.14113333333,11.5175333333,3.188,6.07446666667
370.74,12.6346,14.7905666667,14.6097666667,10.6045,28.4923333333,5.94283333333,36.7966666666,8.23013333333,11.5848,3.25413333333,6.1134
371.10,12.6607333333,14.6631,14.6019333334,10.6056,28.5607333333,5.93076666667,36.8218666667,8.2,11.559,3.1916,6.10513333333
371.46,12.7052,14.4820666667,14.4941666667,10.5567666667,28.5624666667,5.86953333333,36.8855333333,8.15386666667,11.5590666666,3.08686666667,6.10506666667
371.83,12.7792,14.3977666667,14.4995333333,10.5763333333,28.6020666667,5.88946666667,36.9867333333,8.2464,11.6058,3.16153333333,6.1644
372.19,12.8352,14.3320333333,14.4888,10.5812,28.6606666667,5.8525,37.1033333333,8.26353333333,11.6128666667,3.17753333333,6.1576
372.55,12.7421333334,14.1066,14.2832,10.5036333333,28.6205333333,5.73313333333,37.0819333333,8.146,11.5145333333,3.02086666667,6.03026666667
372.92,12.7365333333,13.931,14.1818333333,10.4579,28.5548,5.66266666667,37.0245333333,8.16213333333,11.4692666667,2.94506666667,5.97973333333
373.28,12.7786,13.811,14.1124333333,10.4890333333,28.6813333333,5.63303333333,37.1656666667,8.2128,11.534,2.92013333333,5.96366666667
373.64,12.8067333333,13.7452,14.1018666666,10.5579,28.8124,5.65746666667,37.2905333333,8.27773333333,11.5431333333,2.8988,5.93406666667
374.00,12.7641333333,13.5651,13.9328333333,10.5243,28.6879333333,5.6269,37.2452666667,8.2258,11.5388666667,2.8366,5.90326666667
374.37,12.7469333333,13.4276333333,13.8351,10.5036333333,28.7284,5.62386666667,37.3230666667,8.20533333333,11.5583333333,2.81406666667,5.87733333333
374.73,12.7978,13.3145,13.7925666666,10.5644333333,28.8370666667,5.6175,37.4430666667,8.25806666666,11.5874666667,2.85186666667,5.94453333333
375.09,12.9382,13.3022666667,13.7786333333,10.7007666667,28.9972,5.74246666667,37.6584,8.42186666667,11.7369333333,3.00306666667,6.08933333333
375.45,13.0866,13.3313333333,13.9237666667,10.9229333333,29.2753333333,5.89323333333,37.8944,8.62386666667,11.8688666667,3.204,6.24326666667
375.81,13.1052666667,13.1893,13.7609333333,10.9597333333,29.3582666667,5.85313333333,37.9713333334,8.602,11.8594,3.18726666667,6.21146666667
376.18,13.1908666667,13.0875666667,13.7003,11.0356666667,29.4638666667,5.91603333333,38.1224666667,8.67266666667,11.8973333333,3.22326666667,6.27666666667
376.54,13.3824,13.1004666667,13.7405666667,11.1646666667,29.5636666667,6.047,38.2522666667,8.8676,12.0775333333,3.386,6.43233333333
376.90,13.4739333333,13.0807,13.7590333333,11.2878,29.6464666667,6.1219,38.3507333333,8.91246666667,12.1684,3.49026666667,6.5092
377.26,13.4161333333,12.9114333333,13.6279333333,11.2757666667,29.5540666667,6.09416666667,38.2190666667,8.91133333333,12.105,3.45333333333,6.45126666667
377.63,13.4574666667,12.8468,13.5444,11.2977666667,29.5926666667,6.06833333333,38.29,8.9622,12.1116666667,3.51046666667,6.48273333333
377.99,13.6327333333,12.8390333333,13.6375333333,11.4365333333,29.7871333333,6.17083333333,38.4946666667,9.0748,12.2162666667,3.62953333333,6.5876
378.35,13.686,12.7427333333,13.5934666667,11.4792333333,29.8398,6.21173333333,38.5424666667,9.185,12.27,3.68173333333,6.63613333333
378.71,13.6981333333,12.6298333333,13.4880333333,11.4961333333,29.8578666667,6.20523333333,38.5262666667,9.19346666667,12.2638,3.63986666667,6.59393333333
379.07,13.6535333333,12.4365333333,13.3778333333,11.4881,29.8291333333,6.11436666667,38.4924,9.13133333333,12.2100666667,3.53266666667,6.52633333333
379.44,13.5288,12.1692333333,13.1050666667,11.3624666667,29.6928,5.96036666667,38.4288,8.95273333333,12.108,3.3512,6.3446
379.80,13.5974,12.0999,13.0972,11.4242,29.7151333333,5.98626666667,38.4822,8.99946666667,12.1737333333,3.35873333333,6.38786666667
380.16,13.5098666667,11.9429,12.951,11.3648333333,29.6558,5.912,38.3786666667,8.91986666667,12.1348666667,3.24446666667,6.31373333333
380.52,13.4243333333,11.771,12.7962333333,11.296,29.6271333333,5.8484,38.3527333333,8.83553333333,12.0604666667,3.11146666667,6.22693333333
380.88,13.416,11.6395,12.7212,11.2928,29.6688,5.81893333333,38.3718666667,8.862,12.0638,3.03993333333,6.2368
381.24,13.4434,11.5932333333,12.6293666667,11.3054666667,29.6705333333,5.81293333333,38.4213333333,8.8398,12.1021333333,3.0212,6.2418
381.61,13.4708,11.4827,12.5699333333,11.3657,29.6837333333,5.85523333333,38.3416666667,8.86073333333,12.1411333333,3.0122,6.26573333333
381.97,13.5164,11.4441333333,12.5326,11.4607,29.7595333333,5.8891,38.3332666667,8.9416,12.1965333333,3.05906666667,6.31233333333
382.33,13.4923333333,11.3194333333,12.4514666667,11.4301333333,29.6993333333,5.8129,38.2902666667,8.8666,12.1087333333,3.0104,6.22506666667
382.69,13.5866,11.3534666667,12.4965666666,11.5553,29.7612666667,5.90413333333,38.381,8.96693333333,12.1786,3.12386666667,6.30366666667
383.05,13.6409333333,11.3474333333,12.4547,11.5789666667,29.8205333334,5.938,38.4533333333,9.0284,12.2216666667,3.1532,6.32193333333
383.41,13.7092,11.3171666667,12.4381333333,11.638,29.8923333333,5.9706,38.5040666667,9.11086666666,12.2632,3.18966666667,6.3586
383.77,13.7076666667,11.2625666667,12.3896333333,11.6249666667,29.923,5.98753333333,38.4832666667,9.1384,12.2482,3.19353333333,6.316
384.14,13.7613333333,11.2190666666,12.3752,11.6915333333,29.9482666667,6.06093333333,38.4948666667,9.22713333333,12.3054,3.28726666667,6.3428
384.50,13.8542666667,11.2158333333,12.4059333333,11.7822,30.0391333333,6.1156,38.5255333333,9.30746666666,12.3444666667,3.3718,6.4112
384.86,13.8686,11.133,12.3222333333,11.7859666667,30.0666,6.10556666667,38.5478666667,9.34233333333,12.3166666667,3.3708,6.3684
385.22,14.0112,11.179,12.3939,11.9086,30.2380666666,6.2083,38.7068,9.47460000001,12.4266666667,3.463,6.48873333333
385.58,14.1019333333,11.16,12.4130666667,11.9412,30.3367333333,6.2019,38.8809333333,9.54773333334,12.4717333333,3.46153333333,6.49186666667
385.94,14.1258,11.1287666667,12.3732666667,11.9309,30.3707333333,6.18736666667,38.9266666666,9.59819999999,12.4968666667,3.46986666667,6.48133333333
386.30,14.2244,11.1488333333,12.3566666667,12.0336,30.4522,6.2492,39.0324666667,9.71906666667,12.6195333333,3.53426666667,6.5824
386.66,14.2013333333,11.0625333333,12.2609,12.0015333333,30.4628,6.1783,39.0668666667,9.73366666667,12.6395333333,3.486,6.5658
387.03,14.2309333333,10.9991333333,12.2157333333,12.0104,30.5028,6.1709,39.1107333333,9.75213333333,12.6514,3.4738,6.53893333333
387.39,14.2936666667,10.9817,12.2063,12.0608,30.5196,6.24186666667,39.1046,9.82766666666,12.7216666667,3.54506666667,6.5716
387.75,14.3419333333,10.9352,12.1674,12.1307333333,30.5748,6.2451,39.1692666667,9.8584,12.7849333333,3.55766666667,6.5884
388.11,14.3475333334,10.8212,12.0844,12.1351333333,30.594,6.1934,39.1932666667,9.834,12.773,3.5154,6.54546666667
388.47,14.2904666667,10.7007666667,11.9590666667,12.1163333333,30.5779333333,6.12533333333,39.2024666667,9.83866666666,12.742,3.47353333334,6.472
388.83,14.3143333333,10.6605666667,11.9132,12.1778,30.6406666667,6.1434,39.2903333333,9.84786666667,12.7989333333,3.49206666667,6.48526666667
389.19,14.2783333333,10.5478,11.8108,12.1788666667,30.6124666667,6.1153,39.2454666667,9.85633333333,12.7908666667,3.51513333333,6.415
389.55,14.2735333333,10.4685666667,11.6895,12.1857666667,30.5993333333,6.1394,39.1825333333,9.85746666666,12.8181333333,3.54266666667,6.4108
389.91,14.2155333333,10.2710333333,11.5779333333,12.1568333333,30.5475333333,6.06146666667,39.1293333334,9.80500000001,12.762,3.46653333333,6.3506
390.27,14.2310666667,10.1642333333,11.5001333333,12.1666,30.5738666667,6.0699,39.1025333333,9.82273333334,12.7551333333,3.44306666667,6.30893333333
390.63,14.3034,10.1235,11.4677333333,12.2359666667,30.6543333333,6.1597,39.1208,9.85813333333,12.8189333333,3.50673333333,6.32926666667
391.00,14.3588666666,10.0475,11.4271666667,12.3198666667,30.693,6.20153333333,39.1434666667,9.94473333333,12.8672,3.57373333333,6.40833333333
391.36,14.3695333333,9.91996666665,11.3268,12.3603,30.6828,6.18186666667,39.1715333333,9.96639999999,12.8642666667,3.55633333334,6.41046666667
391.72,14.3756,9.81333333334,11.2432666667,12.3679666667,30.6704666667,6.1575,39.1955333333,9.9532,12.863,3.53866666667,6.4098
392.08,14.3802,9.72696666667,11.1682333333,12.3578666667,30.6867333333,6.14693333333,39.2202,10.0134666667,12.884,3.53073333333,6.40686666667
392.44,14.4610666667,9.66396666667,11.1359,12.4115333333,30.7226666666,6.2035,39.2456666667,10.0804,12.9556666666,3.56166666667,6.46593333333
392.80,14.5600666667,9.61833333333,11.1052,12.4628333333,30.7475333333,6.22973333333,39.2512,10.1749333333,13.0276,3.60326666666,6.53086666666
393.16,14.6173333333,9.53046666667,11.0203666667,12.4971,30.7548,6.24863333333,39.267,10.2366,13.0667333333,3.58626666667,6.56446666667
393.52,14.6413333333,9.41286666666,10.9542,12.5301333333,30.7816666667,6.2429,39.2753333334,10.2641333333,13.084,3.56806666667,6.57166666667
