wavelength,Back_CamPsim,Belly_CamPsim,Breast_CamPsim,Crissum_CamPsim,Crown_CamPsim,DorTail_CamPsim,Rump_CamPsim,Throat_CamPsim,WingTip_CamPsim
776.30,17.4429888889,47.4844333333,9.53136666667,51.7296666667,9.6434,18.8980666667,22.4232666667,12.7799333333,18.8030666667
776.61,17.2652,47.3572,9.60746666665,51.7730833333,9.56293333335,19.1007333333,22.4142666667,13.0452666667,18.3183666667
776.92,17.3548333333,46.5044,10.1057333333,51.3980416667,9.36086666665,19.1101333334,22.2762666667,12.9007333333,18.1808333333
777.23,16.2862666667,45.7722666667,8.5058,50.6676666666,7.8204,17.5913333333,21.169,11.2320666667,17.0975
777.54,15.6199888889,44.2881333333,7.49420000001,49.1780833333,6.67173333333,16.1054666667,19.9643333333,9.79933333334,16.3822333333
777.85,15.4703777778,43.6853666667,7.20839999999,48.4308333333,6.41873333333,15.8036,19.9798666667,9.35966666665,15.9629666667
778.16,16.12,44.2489333333,8.29933333334,48.8457916667,7.346,16.493,20.644,9.9372,16.8630333333
778.47,16.3548,44.4679333333,8.72443333334,48.9684166667,7.7686,16.5635333333,21.1522,9.80133333335,16.9913
778.78,17.1096,45.4138,10.2201333333,50.2751666667,8.79773333333,17.8130666667,22.3944,10.6504666667,17.9700666667
779.09,17.1555222222,45.3446333333,10.2331333333,50.2279166667,8.74366666665,17.4974666667,22.3657333333,10.9980666667,17.4999
779.40,17.6066111111,45.4946,10.562,50.5975416667,9.12273333334,17.9048666667,22.7002,11.4824666667,17.5795666667
779.71,17.5918444445,45.0012333333,10.7072,50.0284166667,9.13066666666,17.9618666667,22.4994,11.7210666667,17.1256
780.02,18.2163444445,45.4453666667,11.6385666667,50.5152083333,9.63126666667,18.3922,23.0108,12.4732,17.3579
780.33,18.2028888889,45.7510333333,11.9468666667,50.60775,9.8046,18.8838,23.4876666667,12.8189333333,17.4664666667
780.64,19.2294444444,46.5953333333,13.5066,51.4526666667,11.1416666667,20.2906666667,24.5311333333,14.2456,18.6366333333
780.95,19.4483,47.1451,14.0930333333,51.957,11.4044666667,20.9671333333,24.6866,14.7556666667,18.4726666667
