wavelength,Back_DolFrif,Belly_DolFrif,Breast_DolFrif,Crissum_DolFrif,Crown_DolFrif,DorTail_DolFrif,Patch10_DolFrif,Rump_DolFrif,Throat_DolFrif,WingTip_DolFrif
429.37,6.23844444444,28.0185,10.1464444444,20.4584444445,6.01544444444,6.436,5.93522222222,5.48137037037,10.2112222222,7.02466666667
429.72,6.23444444445,28.1023333333,10.1508888889,20.5402222222,6.01433333333,6.42088888889,5.94155555556,5.49159259259,10.2305,7.03930555555
430.08,6.24333333333,28.1293333334,10.1698888889,20.5534444444,6.01233333333,6.41166666666,5.929,5.48133333333,10.2142222222,7.00280555556
430.44,6.20744444444,28.1526666666,10.1498888889,20.5357777778,6.00622222222,6.35877777778,5.89366666667,5.44114814815,10.1955,6.95036111111
430.79,6.197,28.2376666667,10.1686666667,20.5494444444,6.01422222222,6.33777777778,5.88144444445,5.44207407407,10.2117777778,6.95255555556
431.15,6.21755555556,28.3226666667,10.2181111111,20.6016666667,6.02177777778,6.36811111111,5.91244444444,5.44362962963,10.2483333333,6.97541666667
431.50,6.21322222222,28.3421666667,10.2043333333,20.638,6.01722222222,6.34844444445,5.90455555556,5.43344444444,10.2341111111,6.99744444444
431.86,6.22744444445,28.3503333334,10.2102222222,20.6695555556,6.032,6.34911111111,5.92488888889,5.45192592592,10.2722777778,6.99547222222
432.22,6.27055555555,28.4625,10.2703333333,20.7417777778,6.06344444444,6.38866666666,5.95866666667,5.495,10.347,7.03291666667
432.57,6.257,28.5448333333,10.2648888889,20.7731111111,6.03633333333,6.37566666666,5.93011111111,5.48233333333,10.3613888889,7.02194444444
432.93,6.27044444444,28.5666666667,10.3255555556,20.8436666667,6.06566666667,6.39933333334,5.96177777778,5.52544444444,10.4131111111,7.06866666667
433.29,6.27377777778,28.6238333333,10.3153333333,20.8621111111,6.04022222222,6.39222222222,5.93855555556,5.51692592592,10.4250555555,7.04502777778
