wavelength,Back_PhrPunf,Belly_PhrPunf,Breast_PhrPunf,Crissum_PhrPunf,Crown_PhrPunf,DorTail_PhrPunf,Rump_PhrPunf,Throat_PhrPunf,WingTip_PhrPunf
817.81,19.1485,35.1728333333,28.5715,33.1948333333,15.2431666667,14.7518333333,20.9373333334,18.2161666667,21.441
818.11,19.244,36.2053333333,29.001,33.2841666667,14.789,15.5253333334,21.3795,18.2498333333,21.4038333334
818.41,18.4723333333,35.6616666666,28.7123333333,32.4303333333,13.6018333333,15.2291666667,20.5275,17.7713333333,20.3608333333
818.72,18.5285,35.7,28.8133333334,32.3688333333,13.4138333333,15.6461666667,20.7268333334,18.0236666667,19.908
819.02,18.5795,35.9861666666,28.7466666667,32.6041666667,12.9991666666,15.631,20.5665,17.956,19.552
819.33,18.0693333334,36.2361666666,29.0766666666,32.3396666667,12.7605,15.527,20.4361666667,18.118,19.599
819.63,17.67,35.9695,29.2175,32.0068333333,12.517,14.8981666666,19.6426666667,17.9591666666,19.2006666667
819.93,17.6378333334,36.2683333334,29.528,32.2326666666,12.7031666667,15.4726666667,19.7166666667,18.2635,19.4431666667
820.24,17.7905,36.7423333333,30.4498333333,32.8995,13.0743333334,15.8113333333,20.0391666667,18.6583333333,19.825
820.54,17.6781666667,36.9043333333,30.8101666666,33.1091666666,13.0278333333,15.8015,19.9825,18.7518333333,19.9561666667
820.85,17.3668333334,37.158,30.9671666667,33.338,13.0271666667,15.7453333334,19.9178333334,18.78,19.8996666666
821.15,17.4273333333,37.3858333333,31.4608333333,33.5738333333,13.3868333333,16.0598333333,20.0805,19.1066666666,20.2301666667
821.45,17.6618333333,37.4676666667,31.7813333333,33.8238333333,13.657,16.2288333333,20.2893333333,19.3435,20.573
821.76,17.7546666667,37.468,31.9211666667,33.8983333333,13.7968333333,16.198,20.4481666667,19.4305,20.679
822.06,17.8213333333,37.6148333334,32.1396666667,34.07,13.9483333333,16.2638333333,20.4913333333,19.562,20.81
822.36,17.9326666667,37.7236666667,32.4328333333,34.165,14.1146666666,16.4711666667,20.7663333333,19.7825,20.9535
822.67,17.9856666666,37.7228333333,32.411,34.1488333333,14.105,16.4303333333,20.6625,19.7515,20.8958333333
822.97,18.0846666667,37.82,32.5491666666,34.2335,14.0881666667,16.477,20.7708333334,19.9416666667,20.8898333333
823.27,18.0448333333,37.6858333333,32.5701666667,34.1926666667,14.007,16.4101666666,20.7306666667,20.0168333334,20.888
823.58,18.1845,37.762,32.5315,34.1683333333,14.1185,16.5753333333,20.9065,20.1658333334,20.9675
823.88,18.2193333334,37.9586666667,32.6946666667,34.3095,14.1278333334,16.6863333333,21.0495,20.3845,21.0265
824.18,18.6496666667,38.0623333333,32.9963333333,34.536,14.3501666667,16.89,21.2963333333,20.6863333333,21.2788333334
824.49,18.9618333333,38.1871666667,32.9808333333,34.5701666666,14.4373333334,16.9925,21.4778333333,20.8381666667,21.4276666666
824.79,18.7066666667,37.966,32.8233333333,34.5248333334,14.151,16.6666666667,21.1708333333,20.7121666666,21.1451666666
825.09,19.0456666666,38.2628333334,32.9436666667,34.896,14.246,16.8153333334,21.2298333334,21.0071666667,21.3923333334
