wavelength,Back_ThrEpim,Belly_ThrEpim,Breast_ThrEpim,Crissum_ThrEpim,Crown_ThrEpim,DorTail_ThrEpim,Patch10_ThrEpim,Patch11_ThrEpim,Rump_ThrEpim,Throat_ThrEpim,WingTip_ThrEpim
403.24,21.796,40.6508666667,37.6027333333,34.4553333333,33.6786,12.0491333333,19.5374666667,68.4118666667,38.0837333333,37.5748,8.10513333333
403.60,21.8150666667,40.7791333333,37.6739333333,34.5385333333,33.7082666667,12.0713333333,19.6089333333,68.6984666667,38.1932,37.6543333333,8.1346
403.95,21.8563333333,40.8335333333,37.7256,34.6022,33.7036666667,12.1174666666,19.6612,68.8958666667,38.2692666667,37.6988666667,8.21606666667
404.31,21.7478,40.7754,37.6343333333,34.5538666667,33.5718666667,12.0534666667,19.6035333333,68.8931333333,38.2274666667,37.5965333333,8.17833333333
404.67,21.7214,40.7392666667,37.6133333333,34.5118,33.5260666667,12.0139333333,19.5774,69.0240666667,38.2309333333,37.5376,8.16173333333
405.03,21.6980666666,40.6948,37.5327333333,34.4649333333,33.4384666667,11.9826666667,19.5301333333,69.0888666667,38.2346333333,37.4530666667,8.16266666667
405.39,21.7278666667,40.751,37.5566666667,34.4963333333,33.4308,12.0089333333,19.5731333333,69.2362,38.2952,37.4949333333,8.20613333333
405.75,21.7404,40.7827333333,37.5764666667,34.4966,33.4183333334,12.0537333333,19.6126,69.3498666667,38.3436666667,37.4920666667,8.25313333333
406.11,21.7448,40.8162666667,37.6004,34.5495333334,33.4307333333,12.0626,19.6243333333,69.5549333333,38.4087,37.5455333333,8.283
406.47,21.777,40.8862,37.5974666667,34.5893333333,33.4432,12.0985333333,19.6766666667,69.6754666667,38.4658666667,37.5436,8.3098
406.83,21.6994,40.7918,37.5535333333,34.5019333333,33.3698666667,12.056,19.6480666667,69.6816666667,38.4560333333,37.4638666667,8.27459999999
