wavelength,Back_CyaNitm,Belly_CyaNitm,Breast_CyaNitm,Crissum_CyaNitm,Crown_CyaNitm,DorTail_CyaNitm,Patch10_CyaNitm,Rump_CyaNitm,Throat_CyaNitm,WingTip_CyaNitm
277.04,21.8516666667,26.0255833333,23.20775,5.2075,19.1425833333,5.22625,14.9045833333,24.0344166666,3.26125,3.55433333333
277.41,22.1385,26.2938333333,23.3865,5.24741666667,19.4861666667,5.17516666667,14.8821666667,24.3416666666,3.14683333333,3.56533333333
277.79,22.5870833333,26.6475833333,23.77275,5.71216666667,20.00375,5.39016666667,15.3295,24.7499166667,3.56816666667,4.01133333333
278.16,22.8584166667,26.93925,23.8814166667,5.67633333333,20.1288333334,5.12675,15.4108333333,24.7824166667,3.44708333334,3.7485
278.53,22.9041666666,26.977,23.5746666667,5.2875,19.9386666667,4.66275,15.0841666667,24.73925,3.21458333333,3.28725
278.90,22.67325,26.7545833333,23.5940833333,5.01358333333,19.6378333333,4.26316666667,14.7870833334,24.5035833333,3.08083333333,3.09991666666
279.27,22.2888333333,26.4385833333,23.1761666667,4.3875,19.22675,3.67391666667,14.2955,24.1618333333,2.51841666667,2.58283333333
279.64,22.133,26.1511666667,22.8980833334,3.84358333333,18.9393333333,3.42391666667,14.0783333333,23.9528333333,2.06475,2.10558333333
280.02,22.3991666667,26.1166666667,23.1668333333,3.99758333334,19.1618333333,3.44483333334,14.2696666667,24.1561666667,2.11333333333,2.26241666667
280.39,22.4145833334,26.0684166667,23.2195,3.73941666667,19.1345,3.41883333333,14.0740833333,24.2200833333,1.96566666667,2.04758333333
280.76,21.94125,25.6863333333,22.7981666667,3.02041666667,18.7013333333,2.73816666667,13.7646666666,23.7666666666,1.47025,1.55391666667
281.13,22.091,25.9028333333,22.93625,2.77991666666,18.6761666666,2.46433333333,13.7611666667,23.8121666667,1.317,1.36458333333
281.50,21.9278333333,25.8100833334,22.7248333333,2.58591666667,18.54175,2.26191666667,13.7699166666,23.7863333334,1.19041666667,1.07133333333
281.87,21.7424166667,25.6386666667,22.5236666667,2.54758333333,18.3489166667,2.03566666667,13.6881666666,23.8071666667,0.927166666666,0.658000000002
282.25,22.0885833333,25.862,23.0641666666,2.93983333333,18.7696666667,2.21666666667,14.1720833333,24.2295,1.2125,0.877999999998
282.62,22.3394166666,26.1764166667,23.3709166667,3.212,19.08425,2.35891666667,14.4431666667,24.31025,1.395,1.0195
282.99,22.1716666667,25.91325,23.1699166667,2.71308333333,18.97925,1.91466666667,14.2630833334,24.1866666667,0.746333333333,0.427916666666
