wavelength,Back_TanChrf,Belly_TanChrf,Breast_TanChrf,Crissum_TanChrf,Crown_TanChrf,DorTail_TanChrf,Patch10_TanChrf,Patch11_TanChrf,Patch12_TanChrf,Patch13_TanChrf,Rump_TanChrf,Throat_TanChrf,WingTip_TanChrf
186.77,22.22225,-12.6736666667,39.0625,-19.618,-4.68741666665,-0.86808333335,21.0069583333,-14.58325,-19.2709166667,18.2291666668,8.68058333335,-15.2779166665,-5.03474999993
187.15,24.79675,-11.9919166667,45.9349166666,-18.0895833333,-7.114,1.42275,32.01225,-7.72358333333,-19.3088333333,14.2274166668,14.2275833333,-15.4472500002,-6.91058333325
187.53,21.8084166667,-13.1205833333,45.3901666667,-12.0568333333,-10.9930833333,6.02833333333,22.9610416667,-5.851,-13.82975,9.2197499999,14.7164166667,-4.78716666657,-14.3616666667
187.91,49.6527499999,13.368,69.0973333334,9.54858333335,21.0069166667,34.3749166667,42.8818750001,14.0625,10.7639166667,29.6876666667,40.4512500001,28.4721666667,15.97225
188.29,51.1005833333,16.824,77.8302499999,15.72325,28.3018333334,33.4906666667,45.518875,17.6100833333,13.67925,32.3899166667,49.5282499999,31.761,25.9433333333
188.67,54.7814166667,27.1858333333,75.0000000001,22.4044166667,27.4588333334,31.4208333334,50.06825,17.7596666667,16.3934166667,37.7049166667,47.4043333333,37.9780833334,31.9674166667
189.05,61.4035833333,39.03525,72.8070000001,32.5659166666,38.1579166667,34.2104166667,62.006625,27.522,23.7935833333,42.9824166667,49.671,43.2016666668,37.3903333333
189.43,65.82275,38.8186666667,72.4683333334,36.3924166666,41.983,36.2869166667,65.981125,30.06325,27.9535833333,47.04625,47.7848333334,45.0422500001,38.6075833333
189.81,58.1299166667,27.744,63.6178333333,28.45525,33.5365833333,26.8293333334,59.8575833333,27.5405833333,21.443,36.9918333333,41.9715833333,44.7154166666,34.3496666667
190.19,56.1225,24.1496666667,59.0985833333,32.483,28.9965833333,27.4660833333,52.1682083333,30.1019166667,24.31975,32.398,39.20075,43.2823333333,36.4795
190.57,60.3305,29.8899166667,59.5040833333,39.2560833333,36.2948333333,34.1596666667,53.3057916667,38.91175,32.9891666667,36.01925,43.0440833333,44.5591666667,39.25625
190.95,55.2325833333,21.7054166667,50.0645833333,31.3953333333,26.80875,25.7753333334,44.703,30.0388333333,27.2609166667,24.8060833333,31.71825,36.3695833333,33.01025
191.33,56.7856666667,27.0238333333,49.34525,32.0833333333,27.262,25.5355833333,46.250125,33.2141666667,29.762,28.2143333333,33.2738333333,37.0834166667,37.9761666667
191.71,57.0921666667,28.6053333333,44.1489166667,29.60975,25.2365,22.2221666667,45.9811666666,34.1016666667,28.5460833333,27.6004166667,33.1561666667,36.1110833334,39.8344166667
192.09,53.8558333333,24.7511666667,38.3706666667,27.7361666667,16.4800833333,17.72375,41.791,29.913,24.4401666667,21.89075,29.9128333333,30.16175,33.1468333333
192.47,53.6496666667,24.3918333333,35.0973333333,28.893,15.6933333334,16.7275,41.4538333333,34.0024166666,24.5134166667,21.4111666667,28.71025,29.0145833334,32.7250833333
192.85,53.7105,20.8638333333,34.4281666667,25.97325,15.3893333333,14.7809166667,40.8455833333,34.124,24.0875833333,20.6811666667,29.0754166667,28.8320833333,30.0486666667
193.23,52.7776666667,19.6915833333,36.111,28.95075,13.70375,16.17275,40.9875833334,35.3085,26.0494166666,20.3085833333,30.3086666667,31.1109166667,31.1729166667
193.61,49.0955,14.40575,32.6874166667,24.677,8.46250000002,12.2091666667,33.91475,28.0360833333,20.2195833333,12.0155833333,27.7776666666,27.3900833333,26.4860833333
193.99,49.2546666667,10.0949166667,30.962,23.5094166667,6.70733333332,10.56925,29.1665416666,25.8805833333,16.3278333333,9.14633333332,26.2195833333,23.3740833333,22.76425
194.37,44.5833333333,-7.25000000003,18.25,10.5833333333,-6.08333333334,-2.91666666667,17.9166666667,15.8333333334,3.25000000001,-10.5,17.25,12.1666666667,10.1666666667
194.75,39.72225,-21.852,7.4075,0.74058333335,-23.7960833333,-11.574,10.6944166667,6.75916666665,-7.03691666667,-29.35175,10.9259166667,1.66658333333,2.12966666666
