wavelength,Back_TanIctf,Belly_TanIctf,Breast_TanIctf,Crissum_TanIctf,Crown_TanIctf,DorTail_TanIctf,Patch10_TanIctf,Patch11_TanIctf,Rump_TanIctf,Throat_TanIctf,WingTip_TanIctf
348.91,5.04755555555,13.77,9.49022222222,12.0464444445,3.83494444444,6.46055555555,5.78744444444,5.61188888889,5.30366666667,10.059,7.64577777778
349.27,5.142,13.847,9.61233333334,12.0604444444,3.84855555556,6.51822222222,5.92255555555,5.67122222222,5.27511111111,10.0004444444,7.67677777778
349.64,5.18844444445,13.9591111111,9.63977777777,12.223,3.94705555556,6.54111111111,6.03911111111,5.75022222222,5.34088888889,10.1076666667,7.74333333333
350.00,5.06444444445,13.8627777778,9.47555555557,12.2712222222,3.82327777778,6.34644444445,5.91911111111,5.60355555555,5.20988888889,9.99888888889,7.62033333334
350.37,4.98655555556,13.7303333333,9.41788888889,12.1798888889,3.76522222222,6.26744444444,5.85277777778,5.502,5.16077777778,9.90377777778,7.554
350.73,5.10788888889,13.9071111111,9.5351111111,12.3348888889,3.9165,6.46766666667,5.91844444445,5.57033333333,5.23977777778,10.0721111111,7.56755555555
351.10,5.05377777778,13.9256666667,9.45644444446,12.2337777778,3.81,6.41144444444,5.94755555556,5.48222222222,5.20244444445,9.97277777777,7.54166666667
351.46,5.05211111111,13.8913333333,9.52422222222,12.2015555555,3.83372222222,6.40833333333,5.92911111111,5.42266666667,5.24988888889,9.8851111111,7.48311111111
351.83,5.07777777778,13.9474444444,9.54744444446,12.1876666667,3.92344444444,6.397,5.99255555555,5.46122222222,5.33211111111,9.81911111111,7.39455555555
352.19,5.19688888889,14.1026666667,9.7221111111,12.3436666667,4.1725,6.51144444445,6.21544444444,5.52122222222,5.43911111111,9.97777777777,7.50333333333
352.55,5.32888888889,14.2428888889,9.83533333334,12.5196666667,4.26911111111,6.63122222222,6.33355555556,5.509,5.55277777778,10.0683333333,7.60777777778
352.92,5.33666666667,14.236,9.73555555556,12.4982222222,4.20927777778,6.65755555556,6.35566666667,5.35555555556,5.55744444444,10.0693333333,7.58777777778
353.28,5.51455555556,14.5157777778,9.97433333333,12.7715555556,4.44966666667,6.88044444444,6.55066666667,5.606,5.88911111111,10.3805555556,7.85711111111
353.65,5.562,14.5655555556,10.04,12.7071111111,4.4935,6.95611111111,6.57444444444,5.60788888889,5.905,10.3773333333,7.82022222222
354.01,5.77422222222,14.7755555556,10.1982222222,12.7635555556,4.6425,7.14811111111,6.75244444445,5.75255555556,6.07811111111,10.5254444444,7.92933333333
354.38,5.77044444444,14.8624444445,10.1443333333,12.7203333333,4.65483333333,7.12788888889,6.64255555556,5.72955555556,6.06477777778,10.5456666667,7.83611111111
354.74,5.62655555555,14.6943333333,10.0296666667,12.5487777778,4.46883333333,6.89944444444,6.49388888889,5.58266666667,5.88311111111,10.4072222222,7.70533333333
355.11,5.70422222222,14.7714444444,10.0838888889,12.7153333333,4.52677777778,6.92877777778,6.49944444445,5.64066666667,5.87433333333,10.4274444444,7.76344444445
355.47,5.69088888889,14.9005555556,10.0671111111,12.7367777778,4.48627777778,6.89966666667,6.53322222222,5.69088888889,5.84055555555,10.5362222222,7.77877777778
355.83,5.80855555555,14.9746666667,10.1731111111,12.7768888889,4.51811111111,6.98644444444,6.63166666667,5.78222222222,5.93155555555,10.6904444444,7.83388888889
356.20,5.77333333333,14.9583333334,10.1643333333,12.8388888889,4.46261111111,6.98644444444,6.57488888889,5.71833333333,5.92166666667,10.645,7.80777777778
356.56,5.75655555555,15.0716666667,10.1502222222,12.8945555556,4.48355555555,7.05855555555,6.633,5.78966666667,5.90566666667,10.6872222222,7.80188888889
356.93,5.78877777778,15.1477777778,10.1795555556,12.9523333333,4.58116666667,7.11988888889,6.736,5.96344444444,5.91366666666,10.7694444445,7.85155555555
357.29,5.84344444444,15.1834444445,10.2163333333,12.9931111111,4.65377777778,7.14522222222,6.86322222222,6.007,5.92066666667,10.7753333333,7.88611111111
357.66,5.79766666667,15.2468888889,10.2901111111,13.1066666667,4.62255555556,7.15355555555,6.88244444445,6.00177777778,5.95933333333,10.9085555556,7.95177777778
358.02,5.63388888889,15.2375555556,10.2622222222,13.1477777778,4.52955555556,7.12488888889,6.87022222222,5.90844444445,5.91,10.9332222222,7.91944444444
358.38,5.58544444444,15.2138888889,10.2815555555,13.1705555555,4.46788888889,7.13144444444,6.91177777778,5.90577777778,5.95177777778,10.9331111111,7.96233333333
358.75,5.72844444444,15.3493333333,10.4346666666,13.3402222222,4.58683333333,7.27377777778,7.05222222222,6.052,6.07377777778,11.0978888889,8.10622222222
359.11,5.67622222222,15.3007777778,10.395,13.2567777778,4.51194444444,7.26733333333,6.97011111111,6.02788888889,6.04955555556,11.1682222222,8.08344444444
359.48,5.77233333333,15.3645555555,10.5455555555,13.346,4.64161111111,7.37722222222,7.03033333334,6.13722222222,6.14822222222,11.3575555556,8.20888888889
359.84,5.64866666667,15.2943333333,10.4723333333,13.3186666667,4.51216666667,7.20244444444,6.91977777778,6.00888888889,6.024,11.3192222222,8.21
360.20,5.55366666667,15.256,10.3855555556,13.2533333333,4.47461111111,7.16811111111,6.86211111111,6.02311111111,6.01522222222,11.2852222222,8.16266666667
360.57,5.54577777778,15.2071111111,10.4617777778,13.2168888889,4.47327777778,7.11133333333,6.83433333333,6.02988888889,6.03233333333,11.3458888889,8.11366666667
360.93,5.62577777778,15.3258888889,10.598,13.3665555556,4.60844444444,7.20866666667,6.96022222222,6.12511111111,6.19155555555,11.4825555556,8.13322222222
361.29,5.55,15.3132222222,10.5356666667,13.3251111111,4.52527777778,7.15055555556,6.845,6.00644444445,6.118,11.4947777778,8.05344444445
361.66,5.555,15.2884444445,10.5188888889,13.3138888889,4.52905555555,7.087,6.801,5.99533333333,6.10988888889,11.4597777778,7.98677777778
362.02,5.655,15.3564444445,10.5992222222,13.2992222222,4.58161111111,7.10133333333,6.82644444444,6.04655555555,6.18733333333,11.5064444445,8.04555555555
362.39,5.739,15.4444444444,10.7083333333,13.372,4.68111111111,7.14844444444,6.915,6.05988888889,6.214,11.6225555556,8.06166666667
362.75,5.643,15.4176666667,10.6345555555,13.2803333333,4.62222222222,7.04844444444,6.898,5.967,6.212,11.5923333333,7.965
363.11,5.64455555555,15.4646666667,10.688,13.3333333333,4.706,7.02622222222,6.93822222222,5.993,6.26166666667,11.5855555556,7.969
363.48,5.59711111111,15.3853333333,10.6146666667,13.2807777778,4.67066666667,6.94633333333,6.90788888889,5.94888888889,6.214,11.4821111111,7.92822222222
363.84,5.58677777778,15.3845555556,10.6358888889,13.2686666667,4.70477777778,6.97333333333,6.90622222222,5.90922222222,6.21111111111,11.4911111111,7.853
364.20,5.53811111111,15.3322222222,10.5903333333,13.2016666667,4.58738888889,6.88377777778,6.86522222222,5.82088888889,6.09744444445,11.4998888889,7.74588888889
364.57,5.48266666667,15.2995555555,10.5242222222,13.2305555556,4.56372222222,6.88333333333,6.84788888889,5.76033333333,6.06955555556,11.4521111111,7.76711111111
364.93,5.43288888889,15.2791111111,10.4575555556,13.1104444444,4.49611111111,6.81977777778,6.78244444445,5.70122222222,6.00311111111,11.382,7.78544444445
365.29,5.53422222222,15.3018888889,10.53,13.1807777778,4.56961111111,6.88933333333,6.831,5.81811111111,6.08788888889,11.4222222222,7.86155555556
365.66,5.55566666666,15.3675555556,10.5406666667,13.1797777778,4.61811111111,6.88222222222,6.898,5.85377777778,6.07366666667,11.4684444444,7.89133333333
366.02,5.49944444445,15.3821111111,10.4976666667,13.1906666667,4.61794444445,6.85988888889,6.93511111111,5.83077777778,6.00355555556,11.4937777778,7.78222222222
