wavelength,Back_MelNigm,Belly_MelNigm,Breast_MelNigm,Crissum_MelNigm,Crown_MelNigm,DorTail_MelNigm,Patch10_MelNigm,Rump_MelNigm,Throat_MelNigm,WingTip_MelNigm
375.81,4.49053333333,4.6646,3.91886666667,4.6534,4.22993333333,5.3459,33.7302,5.2992,3.26133333333,7.58873333333
376.18,4.46,4.61953333333,3.87013333333,4.5992,4.17266666667,5.27446666667,33.7650666667,5.26306666667,3.2356,7.51653333333
376.54,4.40786666667,4.5734,3.8204,4.53893333334,4.119,5.2283,33.8464666667,5.23133333334,3.20466666667,7.48073333333
376.90,4.398,4.5634,3.79633333333,4.5102,4.1002,5.23696666667,33.9671333333,5.23006666667,3.19233333333,7.47173333333
377.26,4.31666666667,4.50106666667,3.71646666667,4.41593333333,4.0002,5.12973333333,34.0178666667,5.14346666667,3.10153333333,7.38613333333
377.63,4.2336,4.43053333333,3.64033333333,4.36473333333,3.92453333333,5.03773333333,34.0336,5.08386666667,3.02646666667,7.3132
377.99,4.14426666667,4.35366666667,3.53246666667,4.2922,3.84593333333,4.95256666667,34.0924,5.0156,2.95553333334,7.25726666667
378.35,4.13513333333,4.30213333333,3.4778,4.23173333333,3.8078,4.90996666667,34.1166,4.97093333333,2.91566666667,7.21126666667
378.71,4.139,4.3348,3.4646,4.26186666667,3.8482,4.8912,34.1375333333,5.01473333333,2.9352,7.23333333333
379.07,4.07973333333,4.23433333333,3.38333333333,4.1826,3.77866666667,4.7806,34.1392,4.9344,2.86266666667,7.15586666667
379.44,4.0532,4.19506666667,3.36853333333,4.14866666667,3.75506666667,4.70166666667,34.1316666667,4.8764,2.81613333333,7.1144
379.80,4.02806666667,4.17653333333,3.33873333333,4.125,3.74213333333,4.70226666667,34.1534666667,4.89693333333,2.78066666667,7.09253333333
380.16,4.09053333333,4.217,3.387,4.1972,3.79973333333,4.79713333333,34.2968666667,4.97113333333,2.8206,7.1448
380.52,4.10873333333,4.20886666667,3.367,4.20873333333,3.80726666667,4.81216666667,34.3112,4.96613333333,2.81453333334,7.125
380.88,4.0834,4.16866666667,3.32106666667,4.15526666667,3.77213333334,4.7543,34.3401333333,4.90826666667,2.76006666667,7.07006666667
381.24,4.10946666667,4.18413333333,3.3088,4.1386,3.80166666667,4.74333333333,34.4143333333,4.90413333333,2.77253333333,7.0852
381.61,4.1896,4.2506,3.40946666667,4.19593333333,3.87966666667,4.84556666667,34.6023333333,4.95813333333,2.8644,7.1484
381.97,4.25886666667,4.3358,3.52306666667,4.2676,3.9686,4.93476666667,34.7553333333,5.0416,2.9404,7.20613333333
382.33,4.23386666667,4.34673333333,3.5252,4.26726666667,3.95613333333,4.93316666667,34.8885333333,5.04593333333,2.9286,7.20046666667
382.69,4.2684,4.35726666667,3.5584,4.26066666667,3.96933333333,4.97603333333,35.0476666667,5.05753333333,2.95766666667,7.20486666667
383.05,4.32106666667,4.41393333333,3.63186666667,4.33506666667,4.02253333333,5.05006666667,35.1806666667,5.12706666667,3.0044,7.26413333333
383.41,4.36893333333,4.47173333333,3.66053333333,4.38626666667,4.0638,5.08663333333,35.3096,5.167,3.0498,7.3172
383.77,4.3352,4.44106666666,3.6534,4.36053333333,4.0368,5.07373333333,35.3968666667,5.10493333333,3.023,7.2822
384.14,4.28933333333,4.4002,3.622,4.32546666667,3.985,5.0261,35.4186,5.039,2.97913333333,7.24613333333
384.50,4.26526666667,4.40946666667,3.6162,4.31826666667,3.9894,5.03566666667,35.4967333333,5.02726666667,2.98886666667,7.23713333333
384.86,4.2858,4.45086666667,3.64866666667,4.366,4.02773333333,5.0697,35.5966,5.05993333334,3.03886666667,7.27826666666
385.22,4.31906666667,4.4522,3.6832,4.42946666667,4.06213333334,5.13043333333,35.6533333333,5.1048,3.0798,7.29853333333
