wavelength,Back_PhrDorm,Belly_PhrDorm,Breast_PhrDorm,Crissum_PhrDorm,Crown_PhrDorm,DorTail_PhrDorm,Patch10_PhrDorm,Rump_PhrDorm,Throat_PhrDorm,WingTip_PhrDorm
802.23,37.1368333333,49.7612083333,27.3890520833,55.3852083333,21.2155,27.905125,20.7185833333,22.1043333333,44.7727083333,28.8705
802.54,36.2530833333,49.317,26.1740625,54.8791666667,20.432375,27.39025,19.3585,20.9058055555,44.423125,28.1571666666
802.84,34.563,48.3751666667,24.69609375,53.6235416667,18.373125,25.34825,17.5275,19.5775,42.711875,26.82425
803.15,34.15625,48.3333333333,24.12890625,54.2552083333,17.8489583333,25.5885416667,16.9895833333,19.4305555556,42.671875,27.203125
803.46,33.7781666667,47.723375,22.6374375,53.6055,17.1113333333,24.4495833333,16.0949166667,18.1525277778,41.9048333333,26.816
803.76,33.9165833333,47.3599166667,22.2833020834,53.7531666667,16.9900416667,23.9025,15.9456666667,18.5503888889,41.6561666667,26.8287083333
804.07,32.9181666667,47.3132083333,21.07346875,53.4346666667,15.727375,23.0121666667,14.7989166666,17.7988055556,41.360625,25.7590833333
804.38,32.8630833333,47.577625,20.5777604167,53.6744583333,16.5190416667,22.9222083333,14.8511666667,18.5074166667,41.398875,25.617875
804.68,32.7381666667,48.50075,20.5904895833,54.4754583333,16.6329583334,23.1075,15.0943333333,18.0967777778,42.0655,25.5728333334
804.99,33.388,47.623625,20.7101145833,54.336375,17.2415416667,23.2697916667,15.64825,18.4662222222,42.537125,25.9307916667
805.30,32.4673333333,47.6382916666,19.7312083333,54.504125,16.6216666667,22.5315,14.66475,17.6299166667,42.9653333334,25.275625
805.60,32.58175,47.6839166667,19.87446875,54.3179583333,16.7508333333,22.7792083333,14.5916666667,17.6050555555,43.6292083333,24.5960416666
805.91,32.8529166667,48.1232916667,20.7690520833,55.3898333333,17.281,22.9222916667,15.181,18.2043888889,44.3197083333,24.8882083334
806.21,34.1040833333,48.5645833333,21.36825,56.3337916667,18.7890833333,23.8775,16.37625,19.0720555556,46.1629166667,25.5082083333
806.52,33.5696666667,48.14425,21.3619479167,55.122625,18.730125,23.1950833333,16.2954166667,18.556,45.6082916667,24.381625
806.83,33.4009166666,48.993375,22.3263125,55.5386666667,19.4052083333,23.6393333333,16.2845,19.1446111111,46.2889583333,24.3759166667
807.13,33.7315833334,50.9734166667,23.44603125,56.4832916667,20.4519583333,24.658625,17.4635833333,19.9946111111,47.227875,25.3016666667
807.44,33.7591666667,50.874625,23.62309375,56.065875,20.8852083333,26.110625,17.4724166667,19.9584444444,47.853375,25.6674583333
807.74,34.61625,50.855375,24.5939479167,56.05075,21.4689583334,26.9534166667,18.2500833333,20.0916944444,48.2085,26.1384166667
808.05,35.4251666667,50.65375,25.0639270833,56.1277916667,21.9645,27.6831666667,19.0768333334,20.9830555555,48.1637916667,26.614375
808.35,34.66175,52.0049166667,24.37503125,56.890125,20.89375,27.2886666667,17.4275833334,19.9598333333,47.9892916666,25.942
808.66,34.7565833333,52.1715833334,24.4327291667,57.3479166667,20.83325,26.867625,17.3478333333,19.7890833333,48.5644583334,26.0340416667
808.97,34.5618333333,52.437875,24.078625,58.3647916667,20.26975,26.4564166667,17.2110833334,19.1068055556,48.2649166667,26.1715833333
809.27,34.9608333334,52.3502916667,23.62778125,58.1704166666,19.8959166667,26.5429583333,16.849,18.8715555555,47.6107916667,25.8724166667
809.58,34.1808333333,50.78325,23.1061145833,57.2612083333,19.3631666667,26.6243333333,16.3841666667,18.2972222222,45.4415416667,25.6355
809.88,34.904,51.174625,23.0368020834,57.632375,19.9180833333,26.8690833333,16.64075,18.6440833333,45.5088333333,26.4148333333
810.19,35.84,51.9094166667,23.2152291667,57.2768333333,20.334625,27.2833333333,17.83475,19.0463611111,45.49225,27.2245
810.49,35.2655833334,50.0854166666,22.5929895833,55.5729166667,19.170625,26.5705833333,16.6535833333,18.0247222222,44.21,25.8084583333
810.80,36.5719166666,50.3327916667,24.0846458333,55.6195416667,21.1149583333,26.7281666667,18.0235833334,19.0987222222,44.2717083333,26.4976666667
811.10,35.74025,49.9934166667,23.0558125,54.8848333334,20.1864583334,26.2227916667,17.09375,18.9827777778,43.99575,25.6534583333
811.41,35.5263333334,50.3189166666,22.559375,54.937375,20.693875,25.9769583333,16.5336666667,18.8551388889,44.005875,25.9104166667
811.71,36.3925,50.9097916667,23.8363854167,55.880875,23.0484166667,27.1295833333,18.7235,20.9299444444,44.995875,27.3537083333
812.02,36.5958333334,50.832,24.2925104167,55.6605833333,23.7355,28.5704583333,19.85075,21.5889722222,44.4314583334,28.60975
812.32,35.5060833333,50.4040833333,23.8076458333,54.935,23.5824583333,27.59025,18.9453333333,21.3477777778,44.402625,27.8550416667
812.63,35.1415,49.921375,24.2400104167,54.658,23.6176666667,27.594375,19.10375,21.6719166667,43.704125,27.653375
812.93,35.1570833333,50.8984583333,24.3244270833,54.6657083333,24.00825,27.5957916667,19.0893333333,22.0092222222,44.968,26.6905
813.24,35.2853333333,51.6492083333,24.80653125,54.6715416667,23.9430833333,27.699375,18.9956666667,22.1009444445,44.601625,26.958875
813.54,33.9495833333,50.42875,23.7910104166,54.1866666667,23.023875,27.338,17.6179166667,21.5031388889,43.7433333334,26.353
813.85,34.8423333333,51.5159166667,23.73053125,55.2339583333,23.307375,27.9363333333,18.39325,22.6978888889,44.7185416667,27.528625
814.15,35.099,52.3275416667,25.0418020833,55.704875,24.0904166667,28.9324166667,20.519,24.5097777778,45.732875,28.879125
814.46,36.467,54.7143333333,26.03640625,57.3279583334,25.318875,29.347,21.1035833333,25.0277222222,47.6636666667,29.4369166666
814.76,36.6479166666,54.5155,27.0465416667,57.0719583333,25.5434166666,30.1328333333,21.8733333333,25.9170277778,47.477,29.9851666667
815.07,38.6924166667,55.057625,28.5901354167,57.1278333333,25.91075,31.0078333333,23.0083333333,26.4718333333,47.8315416667,30.8766666666
815.37,38.96825,55.191875,29.2790208333,57.3544166667,26.29625,30.754125,23.38625,27.0060833333,48.432375,29.9470833334
815.68,40.8359166667,56.1989583333,30.9288020833,58.4227083334,27.8757083333,32.0680416667,25.3835,29.2816666667,48.65175,32.4704583333
815.98,40.69075,56.4072083333,30.1474166666,58.127875,27.1377916667,31.5482083333,24.6789166667,28.3726388889,48.5425416667,32.8775416667
816.29,40.24825,55.9800833333,30.336875,57.6995416667,27.026875,31.6768333333,25.4015833333,28.3006388889,49.0522916666,33.5970416667
816.59,40.1171666667,55.1855,30.4278854166,57.7050416667,27.9404166667,32.1741666667,26.2079166667,28.4651944444,50.4085416667,33.1623333333
816.89,41.7395,55.855125,31.18784375,59.3354583333,28.522875,32.5983333333,27.3811666667,29.2597777778,51.567,33.5579583333
817.20,41.7374166667,55.9110833333,31.7995208333,59.7240833334,29.6144166667,32.6674583333,28.2295,29.8406388889,52.057,33.13875
817.50,42.4916666667,56.4263333333,31.5833229167,61.065375,29.4416666667,32.78325,28.0606666667,30.1090555556,52.761875,33.1838333333
817.81,40.6575833333,54.1555833333,30.2834583333,59.3538333333,27.51125,31.28675,26.95,28.6923333333,50.617875,32.0181666667
818.11,40.2345,54.29625,29.3386458333,59.2185833333,26.2854583333,30.0179583333,25.7555833333,27.6911944444,50.3157083333,30.8075
818.41,39.6670833333,53.5830833333,28.70853125,58.4359583333,25.681125,28.8909166667,24.8919166666,27.2374166667,49.8592916667,30.3878333333
818.72,39.666,53.6047916667,28.7190729167,59.1222916667,25.1906666667,28.8832083333,24.5255833333,26.7120555556,49.9329583333,30.7652916667
819.02,37.98225,51.7843333333,27.01953125,57.5616666667,23.6545416667,28.0045833333,22.91675,24.7460555556,48.70275,28.9883333333
819.33,37.9255,51.5914583333,26.87396875,56.9857083333,23.5061666667,28.187125,23.28025,24.5804722222,48.6656666666,28.3641666667
819.63,38.1884166667,51.59175,26.3103125,57.016125,23.177375,27.833375,22.6601666667,24.54625,48.0699166667,27.916875
819.93,38.2895,51.59275,26.3339791667,56.9865,22.409,27.39625,22.2313333334,24.1545555556,47.8841666667,28.3325
820.24,37.6746666667,51.4606666666,25.9615833333,55.9163333333,21.941625,26.7584166667,21.2715833334,23.5624722222,47.001625,28.382
820.54,37.1686666666,51.315875,25.3958333333,55.8332083334,20.921,26.288875,20.3654166667,22.6917777778,46.591375,28.2407916667
820.85,36.6141666667,50.8399583333,24.53303125,55.3192916667,20.0432916666,25.6295833333,19.4931666667,21.7233055555,45.91675,27.4989166667
821.15,36.356,50.5061666667,24.23884375,55.1719583333,19.910875,25.7583333333,19.1525833333,21.4572777778,45.7722083333,27.444625
821.45,36.3336666667,50.51425,24.1710833333,55.083125,19.8901666666,25.9019583333,19.0561666667,21.3931388889,45.8475,27.5667916667
821.76,36.0228333334,50.3282916667,23.77434375,54.89375,19.3517916667,25.46775,18.5815833333,20.8678888889,45.5654166667,27.0430833333
822.06,35.8838333333,50.3328333333,23.6056145833,54.6365833334,19.1772916667,25.39675,18.4236666666,20.7808611111,45.33525,26.9062916666
