wavelength,Back_TanDesm,Belly_TanDesm,Breast_TanDesm,Crissum_TanDesm,Crown_TanDesm,DorTail_TanDesm,Patch10_TanDesm,Patch11_TanDesm,Patch12_TanDesm,Patch13_TanDesm,Patch14_TanDesm,Patch15_TanDesm,Patch16_TanDesm,Rump_TanDesm,Throat_TanDesm,WingTip_TanDesm
182.97,46.4565,23.9500833333,44.7506666667,42.0603333333,18.9414027778,43.1102083333,24.6063333333,40.6823333334,54.5274166667,36.2860833333,33.727,40.61675,34.2518333333,25.9253666667,27.1653333333,30.0852916667
183.35,40.8974166667,20.3845,40.5128333333,38.2694166667,20.2139722222,39.7115416667,22.30775,36.34625,47.3076666667,34.1025,33.52575,38.7820833334,29.4230833333,24.40385,24.359,25.6089583333
183.73,37.9134166667,20.4835,36.8956666667,33.6515,21.2467916667,40.07625,21.1831666667,34.033,43.0025833333,32.2519166667,32.3791666667,37.1500833334,25.7634166667,23.7084916667,22.32825,20.4834583333
184.11,36.0645,19.46775,36.5545833333,32.7030833333,19.8062777778,40.6512916667,18.8375,32.143,41.5265833333,31.5125833333,33.6134166667,38.0251666667,25.7004166666,25.4202083333,23.4593333333,19.3978333333
184.49,33.1178333333,19.5403333333,39.3678333333,32.6148333333,17.2413888889,41.0202916667,18.4625833333,30.6035833333,41.5230833333,30.6753333333,38.64925,36.70975,27.155,28.6852916667,25.9338333333,20.869375
184.87,34.8739166667,25.1400833333,41.80675,34.1034166667,21.9071527778,45.65825,17.0169166667,32.0029166667,43.9075833333,35.014,42.4369166666,36.2045,30.1820833334,32.5629583333,29.9019166667,23.2844166667
185.25,40.6544166667,29.4394166667,48.0528333333,41.433,23.8577083333,50.2335,16.6665833333,34.0341666667,51.0125833334,39.6418333333,49.76625,42.6790833333,33.1775833334,36.6044333333,34.3458333334,26.2849166667
185.63,41.5685,22.9414166666,42.1569166667,38.23525,17.1894722222,48.5782916666,3.52933333335,33.8236666666,50.0000833333,36.9606666666,49.3137500001,39.50975,29.11775,34.0687166667,27.4508333333,18.4314583334
186.01,33.2206666667,16.7794166667,29.9549166666,30.5181666666,6.60656944445,45.101375,-11.7115833333,21.3964166666,44.9325000001,26.1260833333,41.4414166667,27.59025,22.07225,24.48195,12.5000833333,7.15087500001
186.39,21.0315833333,12.996,21.627,24.3055,-2.56284722222,34.9205833334,-14.3849166667,12.5000833333,31.64675,14.48425,27.0834166666,13.4919166667,16.4683333333,18.8790083334,5.85308333333,-2.77783333333
186.77,21.6313333333,14.1843333333,20.3014166667,23.67025,3.5903611111,34.4858333333,-5.14183333332,16.8439166667,31.383,18.0850833333,24.1134166667,14.7163333333,19.8581666667,23.8652,10.9043333333,-2.21625
187.15,12.5000833333,5.96591666666,7.76525000002,16.5718333333,-7.35468055555,26.3731666666,-13.447,11.0796666666,23.1058333333,9.37508333331,11.9318333333,3.78791666665,14.7725,14.9241333333,3.50375,-12.1685
187.53,12.1730833334,5.88225000001,5.39216666664,15.52275,-9.76311111111,22.7125,-8.82358333334,11.1110833333,20.8334166666,9.39541666668,9.55875,2.04224999997,16.0949166667,7.41824166667,0.24508333335,-11.6421666667
187.91,6.3725,-2.85958333332,-3.59474999998,12.9901666667,-18.9544166666,12.9901666667,-18.46425,4.33,12.9901666667,2.53258333333,4.73841666668,-4.16675000002,13.3170833333,-2.50815833334,-7.27125,-17.4019583333
188.29,1.94716666668,-8.72291666668,-10.9034166667,7.94383333332,-24.221125,6.65891666665,-22.6635,-0.077916666675,4.12783333332,-2.72583333333,-0.46733333335,-8.02174999999,7.55441666667,-7.57788333334,-12.9281666667,-22.5855416667
188.67,-6.82541666666,-19.2065,-24.6825833333,-0.158583333332,-34.4444444445,-5.03958333335,-32.0634166666,-12.69825,-6.82541666667,-10.0793333333,-14.4445833333,-19.0475833333,-5.55558333332,-16.5634666667,-22.4603333333,-37.2619166666
