wavelength,Back_DigMajm,Belly_DigMajm,Breast_DigMajm,Crissum_DigMajm,Crown_DigMajm,DorTail_DigMajm,Patch10_DigMajm,Patch11_DigMajm,Rump_DigMajm,Throat_DigMajm,WingTip_DigMajm
784.36,6.75150652174,7.90336666667,10.7012666667,25.377,7.92826666667,9.80983333334,10.1058333333,7.05426666667,8.81251111113,11.043,10.8278666667
784.67,6.1745884058,7.8085,10.0888333333,24.8666666667,7.49199999999,8.68743333333,9.63716666666,6.2256,7.97698888889,10.2740666667,9.99280000001
784.98,6.78459347826,8.34226666667,10.3365333333,25.3564,7.60473333333,9.16939999999,10.2183333333,6.57366666667,8.55585555556,10.6768,10.7627333333
785.29,8.04510362319,9.74323333333,11.2108,26.0400666667,8.75746666667,9.96476666666,11.3021666667,8.0818,9.55288888888,11.7213333333,11.6931
785.60,8.24927028985,10.3676666667,11.0883,26.8972666667,8.75673333335,10.2234666667,11.2035333333,8.15126666667,9.62043333334,12.3242666667,11.7692333333
785.91,8.91419637681,11.9935666667,11.3575,27.3702666667,9.14713333333,10.6184666667,12.0681333333,9.13293333334,10.2203888889,12.9851333333,12.0895666667
786.22,9.13885869565,12.0820333333,11.3566333333,27.1014,8.83979999999,10.7429666667,11.7595,9.14819999999,9.91581111112,13.1440666667,12.1171333333
786.53,8.59152826087,11.6141333333,10.9989333333,26.2453333333,8.33853333335,10.0881,11.2572333333,8.52193333334,9.402,12.878,12.1373666667
786.84,6.47369202898,9.70100000001,8.89006666667,24.7285333333,6.66666666667,7.9106,9.35380000001,6.52926666667,7.38026666667,11.1684,10.2885
787.14,5.84920471015,8.62746666667,8.44156666666,24.2665333333,6.18666666667,7.1432,8.83346666667,6.31513333333,6.94053333333,10.4529333333,9.81413333333
787.45,5.57835869565,8.46826666667,8.11523333335,24.4755333333,6.2338,7.36256666667,8.86766666667,6.20713333333,7.01744444445,10.3431333333,9.50383333335
787.76,5.32976811594,8.3784,8.18466666667,24.5736666666,5.97126666667,7.22516666667,8.70273333333,5.94453333333,6.98762222222,10.3309333333,9.01700000001
788.07,6.16353731884,8.83233333333,9.48100000001,25.5356,6.92606666667,8.44309999999,9.50106666666,6.83293333333,8.26676666667,11.4236666666,10.5523333333
788.38,5.45577137681,8.0913,8.92973333333,25.1557333333,6.66013333334,7.77003333333,8.95283333333,6.09686666667,7.78112222222,10.8481333333,9.70523333333
788.69,4.16494311594,6.8846,7.80693333333,24.4332666667,5.71426666667,6.98193333333,7.46463333333,4.70826666667,7.21336666667,9.93966666667,8.17223333334
