wavelength,Back_PhrAtrm,Belly_PhrAtrm,Breast_PhrAtrm,Crissum_PhrAtrm,Crown_PhrAtrm,DorTail_PhrAtrm,Rump_PhrAtrm,Throat_PhrAtrm,WingTip_PhrAtrm
620.28,15.5071333333,50.3236,28.2181333333,39.8432666666,5.40653333333,7.66526666667,32.4071333333,5.7578,7.8354
620.62,15.5303333333,50.3252,28.2268,39.8296666666,5.42813333333,7.6714,32.4452666667,5.79326666667,7.88626666666
620.95,15.5244666667,50.2763333333,28.2126,39.7782,5.42386666667,7.66146666667,32.4229333333,5.7814,7.87966666667
621.28,15.5624,50.2231333333,28.2376666667,39.7453333333,5.4386,7.68573333333,32.4112,5.79606666667,7.89613333333
621.62,15.6350666667,50.2312666667,28.2845333333,39.7584666667,5.477,7.7162,32.4675333333,5.8622,7.964
621.95,15.6624666667,50.2634,28.3397333333,39.7932666667,5.46873333333,7.73406666667,32.4834,5.88393333333,7.99973333332
622.28,15.6862,50.3513333333,28.3982,39.8291333333,5.44453333333,7.72186666667,32.5316,5.87206666667,7.99919999999
622.62,15.6991333333,50.3301333333,28.4162666667,39.8025333333,5.4182,7.7122,32.5534,5.82993333333,7.98486666666
622.95,15.7099333333,50.3514666667,28.4594666667,39.7856666667,5.39833333333,7.6928,32.5580666666,5.80326666667,7.95733333333
623.28,15.7664666667,50.2311333333,28.503,39.7359333333,5.42826666666,7.70793333333,32.5525333333,5.84906666667,7.97513333333
623.62,15.7880666667,50.1925333333,28.5228666667,39.714,5.4426,7.71126666666,32.5418,5.846,7.95926666667
623.95,15.8277333333,50.2071333333,28.5226,39.7034,5.44313333333,7.71126666667,32.5683333333,5.832,7.9544
624.28,15.9092666667,50.3358,28.6484,39.7847333333,5.4436,7.7436,32.6346666667,5.83146666667,7.95253333333
624.62,15.9212,50.3700666667,28.6584666667,39.7828,5.3964,7.70233333333,32.6358,5.81393333333,7.91800000001
624.95,15.9274666667,50.4183333333,28.6621333333,39.8335333333,5.37233333333,7.68413333333,32.6866,5.78266666667,7.88173333333
625.28,15.9515333333,50.5380666667,28.7152666667,39.9047333333,5.35293333334,7.6558,32.7388,5.74246666667,7.85706666667
625.61,15.996,50.5533333333,28.7464666666,39.9096,5.37593333333,7.66046666667,32.7848666667,5.76153333333,7.86299999999
625.95,16.0675333333,50.6732,28.7887333333,39.9546666667,5.40453333333,7.6822,32.8601333333,5.7874,7.89620000001
626.28,16.1044,50.7416,28.8294,39.9670666667,5.4184,7.676,32.8875333333,5.79446666667,7.90673333333
626.61,16.1482666666,50.7819333334,28.8652,39.9706666667,5.43653333333,7.68753333333,32.9473333333,5.81386666667,7.93580000001
626.94,16.1346666667,50.8592666667,28.8418666667,40.0049333333,5.3902,7.63386666667,32.9418666667,5.766,7.88859999999
627.28,16.123,50.8778,28.854,39.9906666667,5.36266666667,7.61,32.9584,5.7458,7.85926666666
627.61,16.1764,50.9455333333,28.9283333333,40.0434666667,5.38773333333,7.62926666667,33.0153333333,5.77813333333,7.8852
627.94,16.2247333333,50.9418,28.9421333333,40.0559333333,5.44733333333,7.6856,33.0666666667,5.82873333333,7.93966666666
628.27,16.3418,51.0248666667,29.0666,40.1906666667,5.54373333333,7.77513333333,33.1874,5.892,8.02493333334
628.61,16.3685333333,51.0048,29.1138,40.1692,5.55593333333,7.7774,33.1938666667,5.91153333333,8.05566666667
