wavelength,Back_DigCarm,Belly_DigCarm,Breast_DigCarm,Crissum_DigCarm,Crown_DigCarm,DorTail_DigCarm,Patch10_DigCarm,Rump_DigCarm,Throat_DigCarm,WingTip_DigCarm
373.28,4.92206666667,15.9638666667,11.4227333333,4.6336,4.66293333333,6.44467777778,13.1878,7.67373333333,5.17393333333,6.4216
373.64,4.86253333333,15.9764666667,11.3965333333,4.62566666667,4.60586666667,6.42910740741,13.1827333333,7.59333333333,5.1032,6.3936
374.00,4.79806666667,15.9381333333,11.3312,4.61026666667,4.56706666667,6.37187777778,13.0818666667,7.55573333333,5.059,6.34713333333
374.37,4.81173333333,15.9797333333,11.3573333333,4.65273333333,4.55593333333,6.33638888889,13.0906666667,7.5338,5.0506,6.33233333333
374.73,4.78993333333,15.9669333333,11.3486,4.66886666667,4.5074,6.3022,13.0644,7.45766666667,5.03226666667,6.2874
375.09,4.77786666667,15.9398,11.3290666667,4.6298,4.44633333333,6.28424444445,13.0385333333,7.38306666667,4.9812,6.24313333333
375.45,4.79026666667,15.9557333333,11.3607333333,4.6104,4.42766666667,6.31190370371,13.0119333333,7.36606666667,4.94933333333,6.20713333333
375.81,4.87846666667,16.0573333333,11.4636,4.6924,4.47206666667,6.39206666667,13.1192666667,7.4466,5.00846666667,6.23153333333
376.18,4.90946666667,16.0516666667,11.4889333333,4.6962,4.4688,6.41856666667,13.1261333333,7.43926666667,4.998,6.22193333333
376.54,4.93893333334,16.0376666667,11.5244,4.72653333333,4.5094,6.42224074074,13.0886666667,7.44393333333,4.99873333333,6.26526666667
376.90,5.02233333333,16.0974666667,11.6086666666,4.82966666667,4.60226666667,6.49657407407,13.1606666667,7.51873333334,5.07366666667,6.32706666667
377.26,5.07306666667,16.1662,11.6308,4.88033333333,4.64486666667,6.54042222222,13.2296,7.5804,5.137,6.3766
377.63,5.03333333333,16.1691333333,11.6219333333,4.83626666667,4.59973333333,6.50323703704,13.2127333333,7.5606,5.10393333333,6.34766666667
377.99,5.06546666667,16.1610666667,11.6628,4.82913333334,4.6226,6.54576666667,13.23,7.56846666667,5.12173333333,6.3586
378.35,5.0736,16.2161333333,11.707,4.8404,4.63473333333,6.58414444445,13.2830666667,7.586,5.1406,6.3574
378.71,5.02453333333,16.2206666667,11.6966666667,4.82526666667,4.64173333334,6.57212592593,13.2693333333,7.5596,5.10746666667,6.3228
379.07,5.0818,16.3134666666,11.7422666667,4.90333333333,4.71646666667,6.62895555555,13.331,7.60073333333,5.15513333333,6.36346666667
379.44,5.156,16.3776,11.8113333333,5.00813333333,4.79546666667,6.72262222222,13.4262666667,7.6398,5.24233333333,6.43306666667
379.80,5.09786666667,16.3699333333,11.7890666667,4.98833333333,4.78826666667,6.69116666667,13.3892,7.5868,5.22293333333,6.41366666667
380.16,5.07693333333,16.3933333333,11.7850666667,4.979,4.76026666667,6.68181111111,13.3904666667,7.56906666667,5.22586666666,6.4384
380.52,4.9822,16.3839333333,11.6938,4.89686666667,4.64873333333,6.62571111112,13.3584666667,7.4678,5.15913333333,6.33446666667
380.88,4.93853333333,16.3468666667,11.6429333333,4.8404,4.5658,6.56064814815,13.3214,7.38186666667,5.05226666667,6.24533333333
381.24,4.90726666667,16.3536,11.6329333333,4.8408,4.50973333333,6.51710740741,13.2775333333,7.32433333334,5.00773333333,6.20973333333
381.61,4.86133333333,16.2821333333,11.5708,4.81186666667,4.4528,6.48051851852,13.2268,7.26213333333,4.94306666667,6.14106666667
381.97,4.816,16.3076666667,11.516,4.765,4.35706666667,6.40448888889,13.1942,7.2202,4.8506,6.08993333333
382.33,4.7542,16.2487333333,11.4548666667,4.68786666667,4.2638,6.33864814814,13.1258666667,7.13653333333,4.7926,6.023
