wavelength,Back_PooOrnm,Belly_PooOrnm,Breast_PooOrnm,Crissum_PooOrnm,Crown_PooOrnm,DorTail_PooOrnm,Patch10_PooOrnm,Patch11_PooOrnm,Patch12_PooOrnm,Rump_PooOrnm,Throat_PooOrnm,WingTip_PooOrnm
804.07,32.1580833333,53.87675,43.4370833333,48.7788333334,22.9345,20.42125,46.1741666667,48.2701666667,51.6991666667,27.54375,44.119,26.3940833333
804.38,31.8448333333,53.9245,43.6289583333,49.0729166667,23.1561666667,20.70975,45.9930833333,48.66075,51.32875,27.8123333333,44.3553333333,25.9064166667
804.68,30.792,52.7225833334,42.0392916667,47.6085,21.8218333333,19.3737083333,44.37875,46.81175,50.6521666666,26.8116666667,43.3643333333,24.0788333333
804.99,30.6135833333,52.9994166667,41.7299583333,48.2255,21.5568333333,19.3442916667,44.51825,47.1905,51.4999166667,27.0490833333,43.5148333333,23.00375
805.30,30.322375,53.2443333333,41.8892083333,48.42675,20.9634166667,19.1569166667,44.4335833334,47.7211666667,52.0398333333,26.44325,43.8369166667,22.1788333333
805.60,30.3233333333,53.2675833333,42.5,48.1580833333,21.2939166667,18.6459166666,44.7368333333,47.4341666667,52.9165833333,26.7215,43.6075,21.864
805.91,29.3802916667,52.7376666667,42.411125,48.1604166667,21.2986666667,18.3147916666,44.3166666667,47.1859166667,52.2011666666,26.1060833333,43.4516666667,21.8135
806.21,28.70975,51.5851666667,41.897875,47.10475,20.2003333334,17.7289583334,43.75825,46.004,51.5961666666,25.8145833334,42.44825,20.8939166667
806.52,29.0900416666,52.0259166666,42.926,47.6785,20.8606666667,18.5775833333,44.032,46.6929166667,51.8945,26.64275,42.89325,21.8463333333
806.83,29.39875,53.5256666667,44.4793333333,49.0383333333,22.0600833333,19.7999583333,45.2365833333,47.9331666667,52.9068333333,27.0005,43.645,22.7563333333
807.13,28.9339583333,53.30225,44.9300416667,48.792,21.9524166667,19.4481666667,45.1685,47.7613333333,52.7150833333,26.7176666667,43.04075,22.6398333333
807.44,29.0133333333,53.7806666667,44.7887916667,48.8305833333,21.1966666667,18.7158333333,45.0954166667,47.7861666667,52.9518333334,26.3964166667,42.5295,22.6385
807.74,30.3090833333,54.61575,45.47525,49.5679166667,22.2146666667,19.3782083333,45.90725,48.4424166666,54.0814166667,27.7625833333,43.7130833333,23.9766666667
808.05,30.650375,54.14925,46.3955,50.336,22.4734166667,20.224875,46.7430833333,49.7334166667,54.3465,28.1871666667,44.1934166667,24.4668333333
808.35,31.715875,54.8055,47.4743333333,50.7734166667,23.1598333334,21.4135416667,47.4683333333,50.3515,54.9108333333,28.9264166666,44.9015,25.7853333333
808.66,32.1975,55.9781666667,48.2124583333,51.5661666667,23.8520833334,22.2920416667,48.7445833333,50.7771666667,55.8823333333,30.2608333333,45.5404166667,26.602
808.97,30.8682916667,55.54325,47.1345833333,51.2138333333,22.097,20.2204166666,47.7728333334,50.3626666667,54.6295833333,28.4785,44.7071666667,24.8999166667
809.27,31.378125,55.9615,46.974375,51.2179166667,21.51275,19.76925,48.12825,50.4874166667,54.47425,28.6153333333,44.3205833334,24.8718333333
809.58,32.0040416666,56.7995833333,48.0957083333,51.9044166667,22.8143333333,20.6735833333,48.658,50.8180833333,54.4861666666,28.69375,44.6319166667,26.1758333333
809.88,33.04725,58.107,49.527375,54.2065,23.6155,22.038125,50.3994166666,52.7290833333,56.5495833334,29.7126666667,46.07275,27.3164166667
810.19,32.935875,56.2798333333,48.6087916666,53.20625,22.8008333333,21.6084166667,49.4435,51.6958333333,55.3126666666,28.8818333333,45.8135833333,26.8413333334
