wavelength,Back_IriPorm,Belly_IriPorm,Breast_IriPorm,Crissum_IriPorm,Crown_IriPorm,DorTail_IriPorm,Patch10_IriPorm,Patch11_IriPorm,Rump_IriPorm,Throat_IriPorm,WingTip_IriPorm
367.47,9.25522222222,9.70244444446,11.4961111111,3.82777777778,10.1508888889,6.55011111111,11.2337777778,7.48788888889,8.59977777778,14.8068888889,7.431
367.84,9.15977777778,9.6408888889,11.4047777778,3.71644444444,10.109,6.48611111111,11.1798888889,7.44222222222,8.60566666667,14.6915555556,7.38944444444
368.20,8.94711111111,9.45411111112,11.258,3.51133333333,9.94244444443,6.26288888889,11.0292222222,7.32311111111,8.419,14.4395555556,7.18688888889
368.56,8.84633333333,9.31722222223,11.1654444444,3.393,9.8381111111,6.14688888889,10.8977777778,7.27666666667,8.36133333333,14.2613333333,7.12133333333
368.93,8.84944444445,9.33166666665,11.1521111111,3.41055555555,9.826,6.17944444445,10.9387777778,7.26744444444,8.39377777778,14.1453333333,7.08577777778
369.29,8.84188888889,9.25822222223,11.1228888889,3.36077777778,9.78100000001,6.15533333333,10.9005555555,7.24188888889,8.35477777778,14.0057777778,6.95877777778
369.65,8.99744444444,9.427,11.28,3.49366666667,9.94822222221,6.27244444445,11.0428888889,7.38033333333,8.51055555555,14.0705555556,7.09244444444
370.01,9.01155555556,9.40522222223,11.2241111111,3.53544444445,9.96866666668,6.236,11.0994444445,7.32777777778,8.42088888889,13.948,7.10188888889
370.38,8.94844444444,9.4011111111,11.183,3.49577777778,10.0015555556,6.26533333334,11.1213333333,7.29122222222,8.34933333333,13.8601111111,6.97366666667
370.74,8.92522222222,9.36577777779,11.1888888889,3.48044444444,9.93866666667,6.23677777778,11.13,7.30855555556,8.34222222222,13.7846666667,6.88977777778
371.10,9.05333333333,9.45177777777,11.2157777778,3.513,9.98888888888,6.33233333333,11.2171111111,7.42166666667,8.38133333334,13.7563333333,6.94144444445
371.46,9.07811111111,9.40188888889,11.1675555556,3.48133333333,9.92155555555,6.24155555556,11.1823333333,7.33488888889,8.38466666667,13.6038888889,6.86511111111
371.83,9.09622222222,9.38733333333,11.1916666667,3.48722222222,9.91522222221,6.23977777778,11.2387777778,7.288,8.35266666667,13.5536666667,6.87166666667
372.19,9.24100000001,9.53133333332,11.342,3.61566666667,10.0216666667,6.34433333333,11.4125555556,7.37811111111,8.52455555556,13.6445555556,7.026
372.55,9.16122222222,9.52988888889,11.3195555556,3.55566666667,9.94800000001,6.29111111111,11.358,7.28055555555,8.46177777778,13.5544444444,6.90422222222
372.92,9.20722222221,9.61544444443,11.41,3.56922222222,9.98944444443,6.34633333334,11.448,7.36855555556,8.52466666666,13.577,6.95155555556
373.28,9.22766666668,9.67411111112,11.4261111111,3.549,10.0507777778,6.317,11.4482222222,7.37622222222,8.57433333333,13.5801111111,7.02566666667
373.64,9.3568888889,9.82511111109,11.4786666667,3.64766666667,10.1962222222,6.36422222222,11.5451111111,7.487,8.72488888889,13.6166666667,7.11822222222
374.00,9.2818888889,9.74566666664,11.4141111111,3.51944444445,10.0781111111,6.20988888889,11.3784444444,7.378,8.69922222222,13.4297777778,6.96577777778
374.37,9.20677777778,9.68300000001,11.2981111111,3.41311111111,9.95322222223,6.04433333333,11.2405555555,7.284,8.65211111111,13.2415555555,6.91022222222
374.73,9.1138888889,9.60133333332,11.1278888889,3.26866666667,9.85666666667,5.95522222222,11.1195555555,7.13977777778,8.509,13.0587777778,6.84677777778
375.09,9.01811111111,9.51388888889,11.0908888889,3.21344444444,9.88099999999,5.86866666667,11.0872222222,7.006,8.50911111111,12.9454444444,6.807
375.45,9.075,9.65744444443,11.1814444444,3.33011111111,9.98933333333,5.99922222222,11.2062222222,7.16788888889,8.60722222222,12.9971111111,7.00377777778
375.81,8.96722222222,9.64700000001,11.0627777778,3.265,9.92544444443,5.90122222222,11.1422222222,7.149,8.52688888889,12.856,6.91322222222
376.18,8.916,9.61122222222,11.0391111111,3.26088888889,9.93088888888,5.87211111111,11.0448888889,7.12344444444,8.49288888889,12.682,6.86455555556
376.54,8.95388888889,9.58911111109,11.0473333333,3.30588888889,9.99455555556,5.88877777778,11.0958888889,7.19522222222,8.44711111111,12.6123333333,6.91044444444
376.90,8.91155555555,9.56955555557,10.9888888889,3.26333333333,9.94899999999,5.82977777778,11.017,7.076,8.37633333333,12.4288888889,6.87922222222
377.26,8.89333333333,9.63311111112,10.985,3.29744444445,9.94711111112,5.883,11.08,7.098,8.37944444444,12.3723333333,6.92188888889
377.63,8.72555555556,9.48266666668,10.8765555556,3.133,9.75099999999,5.75844444444,10.9475555556,6.93355555556,8.23566666667,12.1407777778,6.78788888889
377.99,8.73477777778,9.54744444443,10.9102222222,3.17022222222,9.7838888889,5.78277777778,10.9732222222,6.95777777778,8.20655555555,12.1183333333,6.74522222222
