wavelength,Back_SalAtef,Belly_SalAtef,Breast_SalAtef,Crissum_SalAtef,Crown_SalAtef,DorTail_SalAtef,Patch10_SalAtef,Rump_SalAtef,Throat_SalAtef,WingTip_SalAtef
438.98,2.87155555555,17.7935897436,17.6682222222,5.26122222222,2.72511111111,3.81222222222,3.16722222222,3.20211111111,38.4497777778,7.02088888889
439.33,2.87533333333,17.8294957265,17.7048888889,5.30366666667,2.75066666667,3.82888888889,3.19133333333,3.23366666667,38.5051111111,7.04788888889
439.69,2.88022222222,17.8469230769,17.7203333333,5.32533333333,2.76611111111,3.85088888889,3.19811111111,3.25333333333,38.5464444444,7.07388888889
440.04,2.879,17.8338461538,17.7148888889,5.32033333333,2.76577777778,3.849,3.20088888889,3.251,38.5405555556,7.06822222222
440.40,2.86844444444,17.8281794872,17.7163333333,5.31255555556,2.75311111111,3.83166666667,3.19977777778,3.24,38.5418888889,7.06588888889
440.75,2.85255555556,17.8360683761,17.7088888889,5.31755555555,2.75233333333,3.82133333333,3.19355555556,3.22244444444,38.5831111111,7.05766666666
441.11,2.84566666667,17.8250427351,17.7088888889,5.31866666667,2.74377777778,3.81044444444,3.18655555556,3.21488888889,38.5995555556,7.04055555556
441.47,2.85077777778,17.8477606838,17.7265555556,5.32655555556,2.74055555555,3.80844444444,3.186,3.209,38.6468888889,7.04777777778
441.82,2.84944444445,17.8613162393,17.7528888889,5.33388888889,2.74455555556,3.81,3.18377777778,3.20077777778,38.6996666666,7.04488888889
442.18,2.82555555556,17.8821111111,17.7563333333,5.31277777778,2.72166666667,3.78977777778,3.16866666667,3.16888888889,38.7356666667,7.02466666667
442.53,2.83344444445,17.9201538462,17.7706666667,5.33222222222,2.73588888889,3.80155555556,3.17433333333,3.17155555556,38.7868888889,7.031
442.89,2.81144444444,17.9017179487,17.757,5.33466666667,2.72011111111,3.77811111111,3.15355555556,3.14933333333,38.7728888889,7.01966666667
443.24,2.79988888889,17.9085641026,17.7371111111,5.33511111111,2.71944444445,3.77133333333,3.14711111111,3.12988888889,38.7935555556,7.02088888889
443.60,2.78122222222,17.8653504273,17.7082222222,5.32188888889,2.68755555556,3.74444444444,3.12911111111,3.09,38.7121111111,7.00833333333
443.95,2.76733333333,17.8820854701,17.7167777778,5.35466666667,2.69555555556,3.74788888889,3.14144444444,3.09166666667,38.7325555555,7.02311111111
444.31,2.78433333333,17.9053931624,17.7498888889,5.403,2.73377777778,3.76611111111,3.16766666667,3.11633333333,38.7745555556,7.05277777778
444.66,2.804,17.9276923077,17.7735555556,5.44433333333,2.76477777778,3.79688888889,3.19788888889,3.14133333333,38.7705555556,7.09444444444
445.02,2.80588888889,17.9286068376,17.772,5.46566666667,2.77888888889,3.80911111111,3.203,3.13777777778,38.7666666667,7.11555555555
445.37,2.81033333333,17.9665128205,17.8062222222,5.49,2.80044444444,3.82266666667,3.23055555556,3.15655555556,38.8091111111,7.14322222222
445.72,2.80577777778,17.9678034188,17.7994444445,5.48888888889,2.82011111111,3.82922222222,3.24911111111,3.14922222222,38.8012222222,7.14411111111
446.08,2.81811111111,17.9871794872,17.8273333333,5.51411111111,2.85144444444,3.85344444444,3.27744444444,3.16822222222,38.8312222222,7.15633333334
446.43,2.82633333333,17.9818547009,17.8358888889,5.53144444444,2.86477777778,3.87355555555,3.28833333333,3.17311111111,38.8555555555,7.17355555555
446.79,2.84544444445,18.0185470085,17.8578888889,5.55188888889,2.89766666667,3.90622222222,3.32322222222,3.19133333333,38.894,7.18711111111
447.14,2.84477777778,18.0214273504,17.8663333333,5.56022222222,2.89688888889,3.903,3.32811111111,3.18444444444,38.8814444445,7.17288888889
447.50,2.86988888889,18.0914871795,17.9222222222,5.61122222222,2.943,3.94977777778,3.36944444444,3.21833333334,39.0136666667,7.20611111111
447.85,2.86888888889,18.1028034188,17.9347777778,5.61033333333,2.95011111111,3.93966666667,3.36033333334,3.209,39.0361111111,7.19966666666
