wavelength,Back_IriAnaf,Belly_IriAnaf,Breast_IriAnaf,Crissum_IriAnaf,Crown_IriAnaf,DorTail_IriAnaf,Patch10_IriAnaf,Rump_IriAnaf,Throat_IriAnaf,WingTip_IriAnaf
344.89,5.79306666667,7.56186666666,7.28846666667,5.6368,6.51626666667,7.38086666667,4.62446666667,6.6046,9.18620000001,7.08446666666
345.25,5.79393333333,7.57633333333,7.24966666667,5.69893333333,6.57573333333,7.42493333333,4.59753333333,6.5594,9.21560000001,7.14906666667
345.62,5.7708,7.52913333333,7.21386666667,5.6428,6.51826666667,7.38333333333,4.5308,6.5152,9.2044,7.12233333333
345.99,5.71646666667,7.481,7.15193333334,5.59573333333,6.45253333333,7.35806666667,4.464,6.42653333334,9.2138,7.0526
346.35,5.82193333333,7.6132,7.30453333333,5.72266666666,6.58766666667,7.50173333333,4.576,6.57873333333,9.33760000001,7.20133333333
346.72,5.76626666667,7.57373333333,7.24513333334,5.63793333333,6.55313333333,7.43973333333,4.53733333333,6.531,9.3156,7.14306666667
347.08,5.6406,7.53506666667,7.16493333333,5.55106666667,6.4598,7.32913333333,4.4322,6.4098,9.23453333334,7.045
347.45,5.65166666667,7.51406666667,7.18726666667,5.5584,6.4512,7.2978,4.4312,6.39506666667,9.24706666666,7.00993333333
347.81,5.6744,7.53753333333,7.21926666666,5.5958,6.50553333333,7.316,4.41113333333,6.41806666667,9.26333333333,6.99713333333
348.18,5.69326666667,7.63006666667,7.31806666667,5.68173333333,6.61886666667,7.36853333333,4.48346666666,6.49993333333,9.30546666666,7.01333333333
348.54,5.95073333333,7.869,7.58453333333,5.94586666667,6.8918,7.616,4.72126666667,6.74913333333,9.53486666667,7.22986666667
348.91,6.0102,7.9386,7.63453333333,6.00513333333,6.93093333333,7.66846666667,4.77133333333,6.77826666667,9.62913333333,7.2342
349.27,6.01346666667,7.89726666666,7.65646666667,5.908,6.8522,7.59613333333,4.7176,6.76726666667,9.57486666667,7.15833333333
349.64,5.95586666667,7.84446666667,7.65086666667,5.84,6.77646666666,7.55486666667,4.67126666667,6.73466666667,9.51666666666,7.07046666667
350.00,5.80606666667,7.71413333333,7.54019999999,5.70006666667,6.64213333333,7.40713333334,4.5212,6.63726666667,9.35753333333,6.9076
350.37,5.76226666667,7.67746666666,7.50059999999,5.63733333333,6.60173333333,7.3798,4.48106666667,6.545,9.2942,6.83293333333
