wavelength,Back_SpoMinm,Belly_SpoMinm,Breast_SpoMinm,Crissum_SpoMinm,Crown_SpoMinm,DorTail_SpoMinm,Patch10_SpoMinm,Rump_SpoMinm,Throat_SpoMinm,WingTip_SpoMinm
771.63,15.6814,51.7328,44.8394,44.8621333333,17.1310666667,16.7259490196,35.1869333333,43.7258666667,39.3658,13.0803333333
771.94,15.5954,51.7535333333,44.8941333333,44.9904666667,16.7361333334,16.2682156863,35.1561333333,43.5914666667,39.3334,12.944
772.25,15.5058,51.4246,45.4111333333,45.0334666667,16.3989333333,16.0615607843,34.9546,43.6718,39.3112666667,12.8335333333
772.56,15.3913333333,51.7559333333,45.8579333333,45.1412666667,16.2322,16.1830666667,34.9029333333,43.5715333333,39.7078666667,13.0009333333
772.87,15.9128,52.0292,46.2958666667,45.6520666667,16.6828666667,16.0764862745,35.4198,43.9078666667,40.2974666667,13.0602666667
773.18,16.1738666667,52.4509333333,46.6830666667,46.2131333333,16.9286,16.4552352941,35.6506,44.4320666667,40.5649333333,13.6136
773.50,16.2598666667,52.4658,46.7248666667,45.9734666667,17.0071333334,16.6468745098,35.6414,44.1634666667,40.5438666667,13.5324666667
773.81,15.8985333333,51.8686666667,46.5368666667,45.269,16.4092,16.2770823529,35.1328666667,43.9129333333,39.8284,13.1826
774.12,16.0481333333,51.8766666667,46.6709333333,45.1593333333,16.3732,16.2128156863,35.1193333333,43.8716,39.8354666667,13.5781333333
774.43,15.9170666667,51.9239333333,46.6196666667,45.3896666667,16.3271333333,16.0426509804,35.0800666667,43.8778666667,39.9102,13.4487333333
774.74,16.2453333333,52.5513333333,47.1721333333,45.6860666667,16.7726,16.5553568627,35.5326,44.4415333334,40.3283333333,13.679
775.05,15.8505333333,52.3263333333,46.7144,45.23,16.2585333333,15.9069450981,35.2646666667,44.0927333333,39.8740666667,13.3290666667
775.36,16.0640666667,52.4318,46.6277333333,45.1625333333,16.6405333333,16.1962941177,35.5482,43.8534666667,39.8308666667,13.5067333333
775.67,15.8978666667,52.6187333333,46.2898666666,45.1115333333,16.9114,16.4232901961,35.8110666667,43.5998666667,39.7964,13.5412
775.98,16.1744666667,52.6209333333,46.2134,44.9179333333,17.2237333333,16.7019058824,36.1700666667,43.7868,39.9309333333,13.8472
776.30,16.4227333333,52.7299333333,46.2986,44.8523333333,17.4967333333,17.3274941176,36.3329333333,43.8468,40.1027333333,14.433
776.61,16.1966,52.3415333333,45.8172666667,44.2906,17.0116666667,16.8904196078,36.2442,43.398,40.0389333333,14.0924
776.92,16.5095333333,53.0013333333,46.2428666667,44.8623333334,17.1954666667,16.873227451,36.5925333334,44.2420666666,40.3758,14.6526666667
777.23,17.3404,53.7460666667,46.9432,45.846,17.9241333333,17.4517058823,37.1911333333,45.1613333333,41.1892666667,15.3873333333
777.54,18.1141333333,54.679,47.8130666667,46.6666,18.6099333333,18.2562980392,37.9724666667,45.9715333333,41.8901333333,15.9496666667
777.85,18.3634,54.6928,48.1689333333,46.8769333333,18.8420666667,18.4073215686,38.2160666667,46.2776666667,42.0882,16.2307333333
778.16,18.1177333333,54.5688,48.1267333333,46.8778,18.8858,18.4235607843,38.1357333333,46.195,41.8553333333,16.3838
778.47,18.7092666667,54.9682,48.7274,47.6177333333,19.4654666667,19.0501686274,38.6637333333,46.8386666667,42.3505333333,16.8658666667
778.78,17.9578666667,54.3085333333,48.0586666667,47.0284,18.4249333333,18.0721137255,37.8386666667,46.3461333333,41.6436666667,15.9340666667
779.09,17.8099333333,53.8659333333,47.6629333333,46.6207333333,18.2828,17.8547647059,37.5298,46.1570666667,41.3268,15.7528666667
779.40,17.6295333333,53.5694,47.7963333334,46.7962666667,18.1712666667,17.6025686274,37.6529333333,45.9676,40.9723333333,15.4444
779.71,17.2584,53.4174666667,47.462,46.4702666667,17.979,17.2668,37.3380666667,45.7169333333,40.4726,14.8958
780.02,17.0193333333,53.371,47.5317333333,46.4550666667,18.0252666667,17.0847686274,36.9112,45.5899333333,40.047,14.5651333333
780.33,16.1729333334,51.6890666667,46.5864666667,45.5516,17.1414666666,16.0755647059,35.8847333334,44.3561333333,39.1446666667,13.527
780.64,15.7944,51.6510666667,46.0502,45.644,17.0895333333,15.6203647059,35.9475333333,43.9904666667,39.0872,13.1612
780.95,15.4706,51.9460666667,46.2010666667,46.1568,16.8872,15.2408235294,36.3284,44.3284,39.3332666667,12.7843333333
781.26,15.6394666667,52.4020666667,46.2970666667,46.3857333333,17.2358,15.7297921569,36.4425333333,44.4938,39.4972,12.8306
781.57,16.7978666667,53.1746,46.9986666667,47.1820666667,17.9528666667,16.4373333333,37.3384,45.3928,40.3272666667,13.5812666667
781.88,16.3490666667,53.1082,46.9016,46.7716666667,17.6094,16.0060823529,36.7193333333,44.9762,39.9050666667,13.5685333333
782.19,16.8029333333,53.6060666667,47.5556,47.5252666667,18.3837333333,16.8187647059,37.2171333333,45.6110666667,40.6061333333,14.2776
782.50,16.7796,53.9384,47.9128,48.0460666667,18.3229333333,16.4271568628,37.4103333333,45.7384,41.077,14.2512
782.81,17.0503333333,54.5394,47.9927333333,48.2382,18.1884,16.4213333333,37.3792666667,45.847,41.5557333333,14.5600666667
783.12,16.8784666667,54.3791333333,47.6339333333,48.1934666667,17.8248666667,16.2713647059,37.0040666667,45.3124,41.1503333333,14.5098
783.43,16.4199333333,53.8902,47.0378,47.9926,17.2844666667,15.9632941176,37.0034666667,44.6776666667,40.9652666666,13.8424666667
783.74,17.6546,55.9572666667,48.6478666667,49.3921333333,18.8970666667,17.7365254902,38.5916666667,46.1901333333,42.4685333333,15.3414
784.05,18.3595333333,55.6518666667,48.7486666667,48.9905333333,19.4532666667,18.2918862745,38.5174,45.8412,42.3186666667,16.0096
784.36,18.3798666667,54.8652666667,47.9762666667,48.1158666667,19.4719333333,18.3646,37.7587333333,45.0723333333,41.5734666666,16.1076
