wavelength,Back_SchMelm,Belly_SchMelm,Breast_SchMelm,Crissum_SchMelm,Crown_SchMelm,DorTail_SchMelm,Rump_SchMelm,Throat_SchMelm,WingTip_SchMelm
786.22,9.6212,38.9875333333,25.516,22.0028,10.9931333333,6.75526666666,7.73163333333,7.70679999999,10.9046
786.53,9.56860000001,39.0107333333,25.9466666667,22.116,11.1678666667,7.3098,8.16706666667,7.7494,11.0525333333
786.84,9.60866666666,38.5798666667,25.5466,21.747,11.0181333333,7.3204,8.34133333333,7.47599999999,10.9324666667
787.14,8.98826666666,37.8718666667,24.9045333333,21.1818,10.2954,7.05360000001,8.05236666666,6.79213333334,10.4574666667
787.45,9.07886666667,38.0291333333,24.6138666667,21.3856666667,10.1668666667,7.11833333334,8.39623333333,6.90266666667,10.3155333333
787.76,9.03526666666,38.2695333333,24.4461333333,21.6538,10.1786666667,6.96266666667,8.51450000001,6.93706666666,10.2143333333
788.07,8.6662,38.1330666667,24.3152,21.6374666666,10.1148,6.73306666667,8.29396666667,6.8044,10.0588
788.38,9.52673333333,38.6258666667,25.1603333333,22.2036,10.8600666667,7.34853333334,9.04583333333,7.77606666666,10.8244
788.69,10.3020666667,39.3505333333,25.9768,23.011,11.8126666667,8.21240000001,10.0931333333,8.70080000001,11.6061333333
789.00,9.77533333332,39.1219333333,25.5312,22.6142666667,11.5116,7.89286666667,9.92693333335,8.33193333333,11.1833333333
789.31,10.1666,39.6464666667,25.9140666667,22.9342666667,12.1766666667,8.34353333333,10.3259333333,8.95446666666,11.6162
789.62,9.81606666667,39.9898666667,25.8384,22.8476,12.1114,8.25146666667,10.2403,8.79853333333,11.2934666667
789.92,10.1876,40.3646,26.2864666667,23.276,12.5728666667,8.04186666667,10.6171333333,9.24986666667,11.7554
790.23,10.7716666667,41.2272,27.047,24.1104666667,13.3494,8.5424,11.0557,9.90893333333,12.2668666667
790.54,11.4909333333,41.51,27.6914,24.6824,14.151,8.8962,11.2674,10.7331333333,12.6900666667
790.85,11.301,41.7532666667,27.5544666667,24.3775333333,14.2713333333,8.86086666667,11.1334333333,10.6253333333,12.5459333333
791.16,11.5905333333,41.6862,28.0992666667,24.5571333333,14.8279333333,9.31746666667,11.1928666667,10.9418666667,12.9103333333
