wavelength,Back_SpoHycf,Belly_SpoHycf,Breast_SpoHycf,Crissum_SpoHycf,Crown_SpoHycf,DorTail_SpoHycf,Patch10_SpoHycf,Rump_SpoHycf,Throat_SpoHycf,WingTip_SpoHycf
233.28,10.14475,52.8983333333,-196.73925,-150.724833333,-67.3913333333,-92.0288333332,-21.7391666667,-69.5651666667,-52.8986666667,-27.5363333333
233.66,-29.513888889,112.5,-542.708333334,-485.416666666,-233.333333333,-291.666666667,-104.166666667,-250.0,-127.083333333,-110.416666667
234.03,267.361111112,54.1666666665,1254.16666667,1129.16666667,570.833333333,691.666666667,266.666666667,700.0,389.583333333,587.5
234.41,6.388888889,25.0,-362.5,-371.666666667,-146.666666667,-191.666666667,-8.33333333335,-201.666666667,-45.8333333333,-160.0
234.78,36.0465555556,46.1238333333,-42.6358333333,-67.8294999998,-2.3255,-10.4653333333,15.5038333333,-25.1936666667,14.3408333333,-12.7908333334
235.16,13.4503055555,14.4736666667,-45.39475,-73.6841666667,-12.7193333334,-17.5441666666,0.877,-34.2106666667,11.6228333333,-40.3506666666
235.54,-1.59919444445,1.51516666665,-47.2221666667,-92.4241666668,-15.6563333333,-19.6968333333,-6.5655,-23.2321666667,18.6865833334,-71.717
235.91,-4.95480555555,3.60366666667,-36.036,-72.9728333335,-24.3245,-0.45033333335,-10.3603333334,-10.8106666667,20.4955833333,-59.0088333333
236.29,-37.1298055555,-38.8888333334,-67.2225,-135.000166667,-72.7778333334,-5.55566666665,-73.889,-45.0001666667,1.11133333335,-120.555666667
236.66,-23.3538333334,-34.568,-36.72825,-141.9755,-80.8643333333,-1.85183333333,-82.7158333334,-39.506,-1.23466666665,-109.259166667
237.04,1.60491666665,16.6665,7.59266666665,-56.2963333335,-15.1853333333,41.4815,-12.9631666667,3.33316666666,22.2221666666,-39.2593333333
237.41,2.83558333335,16.3193333333,15.972,-41.6665,6.59733333335,48.9583333333,2.08333333334,17.7081666667,39.0626666667,-33.3336666667
237.79,13.3182777778,12.3286666667,14.2693333333,-22.1461666667,8.21883333332,38.3563333334,4.33766666667,24.429,32.9910833333,-18.7215
238.17,15.0715555556,17.6568333334,19.967,-11.221,8.74583333333,32.5081666666,6.43583333334,26.7326666666,26.6503333334,-6.60066666665
238.54,3.6950277778,9.59133333334,12.1069166667,-11.9495,5.18866666667,24.6853333333,0.47166666665,22.0125,16.3520833333,-13.5218333334
238.92,-6.87297222225,1.89,8.33333333334,-10.9966666667,0.515333333335,19.5875,-0.00016666665,20.4466666666,9.44991666665,-16.8383333334
239.29,0.07994444445,5.9295,8.49341666667,-9.29483333333,5.44866666666,14.4231666667,7.2115,21.4743333333,16.5064166667,-5.92983333335
239.67,-10.3409166667,-7.09583333334,1.155,-24.5876666667,-6.27066666667,0.82516666667,-4.9505,-2.14500000001,1.40258333333,-14.5215
240.04,0.38075,-5.1075,6.31716666667,-20.6988333333,5.1075,3.22583333334,3.4945,2.15033333331,2.48675,-4.30083333334
240.42,13.80525,9.93999999998,13.10225,1.4055,17.3695,13.8556666667,13.755,14.9598333334,18.1225,14.3575
240.79,14.202,11.1926666667,10.6209166667,7.10800000002,16.585,14.0525,10.7843333333,13.317,20.5475,13.3168333334
241.17,13.9478055555,10.4521666666,9.03916666665,8.05066666669,13.4181666667,12.9941666667,6.42633333334,11.4405,19.7741666666,12.3588333334
241.54,15.4885833334,13.2436666667,11.4198333333,12.3458333334,14.4781666667,15.6568333334,12.009,14.5341666667,20.73525,16.0493333333
241.92,15.7797777777,13.3535,13.1024166667,13.7553333334,13.3533333334,16.6166666667,12.2991666666,13.0521666667,21.05925,17.8215
242.29,12.7874444444,9.81533333331,10.5684166667,11.516,11.4676666667,13.897,10.6415,10.447,18.9503333333,15.8891666667
242.67,14.2390277777,11.096,11.21,12.8766666666,11.3241666667,13.2418333333,11.9635,11.5068333334,19.9769166666,16.4386666667
243.05,16.3037777778,11.8088333333,13.463,14.322,12.9396666666,12.8138333334,14.3635,13.819,21.0216666666,17.7135
243.42,16.1402777778,13.0333333334,14.6918333334,15.8768333333,13.665,14.0603333333,15.2053333334,14.4155,20.4583333333,18.8783333333
243.80,18.3116388889,15.0038333334,16.938,17.2451666667,16.0523333333,17.3536666667,18.1128333334,18.2573333334,21.9268333334,22.1618333333
244.17,16.7552222222,14.4328333334,15.3190833334,17.5178333333,14.7875,16.8438333333,17.2698333334,17.6243333334,22.37575,21.5605
244.55,15.4785277778,12.6486666667,15.3565,16.3171666667,13.8715,16.1423333333,17.9596666667,17.086,20.7720833334,20.0908333333
244.92,14.7205277778,10.7941666667,14.1375833333,15.4446666667,13.9851666667,15.784,19.688,17.4475,18.432,18.9751666667
245.30,12.7551666667,9.60683333334,12.75,14.4098333333,11.9923333334,14.6678333333,18.5683333334,15.4738333333,16.3600833334,17.8916666666
245.67,11.6496666667,8.6,11.9811666667,11.9511666666,10.9133333333,13.3153333333,17.2303333333,13.9086666666,14.6945833333,16.7556666667
246.05,9.73838888887,6.80466666666,9.51775,9.80716666667,9.86233333332,12.2588333334,15.8403333333,12.314,13.2091666666,14.6553333333
246.42,10.5474166667,7.34316666666,9.87933333333,10.3138333334,10.3865,12.995,15.5555,12.343,12.3306666666,15.5556666666
246.79,10.5347777778,8.03183333333,10.2300833333,9.7055,9.99566666667,13.387,14.7255,12.0703333333,11.5908333333,15.5063333333
247.17,10.1923611111,7.92166666667,9.1045,9.21,9.86466666667,13.8995,14.4486666667,11.8081666667,11.39625,15.4415
247.54,9.91783333331,7.949,9.0515,8.53533333334,9.99166666667,14.8056666667,14.6841666667,11.9538333333,10.366,15.7565
247.92,9.43644444446,7.99833333334,8.12658333333,8.98333333334,10.1655,14.8936666667,15.0513333333,12.2931666667,10.51025,16.0363333334
