wavelength,Back_PlaCram,Belly_PlaCram,Breast_PlaCram,Crissum_PlaCram,Crown_PlaCram,DorTail_PlaCram,Rump_PlaCram,Throat_PlaCram,WingTip_PlaCram
184.11,57.0049333334,46.2802666667,64.0579666666,55.8937333333,49.7584000001,88.6190686275,72.8985888889,47.2464333333,38.1642666667
184.49,49.9434666667,41.582,69.2656666666,51.4688333333,44.9716666667,102.492507843,73.4087000001,40.9037,34.9151666667
184.87,48.9451333334,32.3207333333,62.5738666666,50.3375333333,38.4811333333,85.7209156863,65.8651222221,41.4346666667,36.9199333333
185.25,51.1595333333,33.8163999999,62.8985333334,53.9130333333,38.8405999999,95.7999980392,67.1818222221,42.0289333333,38.3092333333
185.63,59.5385333333,36.3076666667,71.3847666666,62.3077333333,41.6409999999,108.745103922,72.0000333334,49.4357666667,47.7950000001
186.01,42.5731666667,18.2455333334,56.3160333334,52.7485666667,18.7136,98.9198176471,49.8051222221,28.5380333333,32.1052333334
186.39,55.9524333334,21.746,73.0157333334,64.3650000001,17.9366,124.402376471,55.0000666667,32.7777333333,30.8731999999
186.77,36.8376666666,17.0940666667,71.1110666666,56.2393,7.35039999986,132.413233333,43.9031888889,14.2736,14.7010333333
187.15,3.4408333334,-20.6452666666,63.6559333334,26.1289666667,-25.1613333333,133.232027451,19.1396888888,-28.2795333334,-7.95693333334
187.53,-27.5361999999,-55.0724666666,39.5650666666,-11.3043666667,-84.6376,129.113423529,-27.0532555555,-77.9710666666,-19.7101000001
187.91,-650.000000001,-722.222066666,2.222166666,-499.999866666,-1122.2224,444.052190196,-625.185144445,-1101.11123333,-558.889000001
188.29,-97.6666666665,-102.0,-2.8333333334,-64.9999999999,-154.333333334,60.8529411764,-92.2777777779,-159.666666667,-65.6666666668
188.67,857.499999999,828.333333335,423.333333333,485.833333334,1030.0,54.8529411764,685.277777778,962.499999999,670.833333333
189.05,211.739133334,171.594133333,131.5942,131.8841,215.362466667,67.263509804,156.328611111,216.086766667,170.145
189.43,206.349233333,144.762,104.285566667,111.4287,219.6826,36.1810254901,126.0847,190.317366667,156.8254
189.81,187.9571,120.860266667,108.602166667,117.204333333,186.021466667,68.0519019607,121.362044444,160.322433333,145.8065
190.19,149.166533333,84.0476666668,77.1426666667,96.5475333334,160.714266666,32.640017647,63.452311111,135.8334,116.547633333
190.57,118.055466667,58.7035333332,62.7779,64.5369666665,125.926,27.9847647058,50.0000333333,111.296166667,92.9629666667
190.95,105.888866667,29.5556666666,43.2224333333,56.8888333332,138.6666,20.1437509805,34.0740111111,100.888866667,82.7777333333
191.33,82.8205,-26.4101999998,-11.282,13.9741999999,110.512866667,-24.9848313725,-11.3675555556,55.2563333334,56.1539000001
191.71,80.3174333334,-59.0476000001,-46.8254333333,-23.6507666666,98.7301333333,-43.706817647,-50.1058222222,21.2699333334,53.0157666666
192.09,38.1482333334,-130.740733333,-72.037,-47.9629666667,70.3704666668,-98.8234372549,-108.827155556,-30.9258333333,18.1482999999
192.47,49.6667,-50.4443333332,-14.7778,3.33336666666,70.8889333332,-14.2547137256,-26.5924888889,12.2222666667,49.0001333333
192.85,59.9999666667,-152.4444,-80.8887666667,-17.5555000002,123.555466667,-28.4053058823,-42.5185666668,-0.22210000006,65.3332333333
193.23,62.0514000002,-178.974466667,-98.9743,22.5641333332,174.359066667,-23.3333705882,-14.7008666666,16.4102333335,96.1538666667
193.61,118.666666667,-142.666666667,-99.0,128.666666667,298.666666667,75.3529411764,70.9999999999,134.666666667,183.666666667
193.99,100.256366667,-0.25646666658,21.6667333333,91.0256999999,164.102533333,74.6907823528,87.606788889,111.538366667,128.333266667
194.37,112.906066667,46.1538666667,61.7949,97.1795666665,140.854666667,92.1417490198,108.2335,110.7692,127.692333333
