wavelength,Back_PooThom,Belly_PooThom,Breast_PooThom,Crissum_PooThom,Crown_PooThom,DorTail_PooThom,Rump_PooThom,Throat_PooThom,WingTip_PooThom
388.47,6.20953333333,20.8055212121,5.4016,9.81926666666,6.47533333334,9.47863333333,7.04086666667,19.8472,8.565
388.83,6.1474,20.8445333333,5.32646666666,9.73566666665,6.43133333333,9.3919,6.9752,19.8298666666,8.48356666667
389.19,5.97546666667,20.7268666667,5.1662,9.61226666667,6.3086,9.25663333333,6.8462,19.8250666667,8.34613333333
389.55,6.02206666667,20.8625030303,5.16726666667,9.63833333333,6.33953333333,9.27640000001,6.86586666667,19.9149333333,8.30223333333
389.91,5.947,20.8405212121,5.13286666667,9.58460000001,6.25153333334,9.17783333333,6.80766666667,19.864,8.2514
390.27,5.98646666667,20.9296060606,5.15253333333,9.59553333333,6.2958,9.17076666667,6.82833333333,19.924,8.26783333333
390.63,6.04633333333,20.9721515152,5.17533333333,9.66713333333,6.35506666667,9.2032,6.8706,20.0591333333,8.32806666667
391.00,6.07386666667,21.0529212121,5.17493333333,9.68460000001,6.3696,9.20116666667,6.88633333334,20.1001333333,8.35643333333
391.36,6.1074,21.123630303,5.17406666667,9.71319999999,6.4264,9.19986666667,6.92606666667,20.1455333333,8.36626666667
391.72,6.093,21.1889818182,5.1426,9.68226666667,6.4002,9.17306666667,6.91966666667,20.2052666667,8.3441
392.08,6.17493333333,21.3165030303,5.20826666667,9.79393333333,6.46273333333,9.19393333334,6.9986,20.3402,8.40293333333
392.44,6.23046666667,21.4016909091,5.29193333333,9.86246666666,6.53493333333,9.24476666667,7.02666666667,20.4555333334,8.48226666667
392.80,6.43973333333,21.600369697,5.4734,10.1164666667,6.73306666667,9.44736666666,7.2176,20.6574,8.6959
393.16,6.48946666667,21.7127030303,5.51686666667,10.1663333333,6.79866666667,9.49353333333,7.24693333333,20.6822,8.68893333333
393.52,6.56693333333,21.8703393939,5.6378,10.3146,6.8808,9.5918,7.35113333333,20.809,8.79433333333
393.88,6.59993333333,21.9670424243,5.63633333333,10.3425333333,6.91713333333,9.62480000001,7.35833333333,20.9335333333,8.7965
394.24,6.5242,21.9624242424,5.6068,10.2935333333,6.841,9.55550000001,7.29486666667,20.9383333333,8.71903333333
394.60,6.51566666666,22.0600060606,5.63333333333,10.3106,6.8464,9.5342,7.26673333333,20.9846666667,8.71253333333
394.96,6.52273333333,22.0967515151,5.66566666667,10.3519333333,6.84353333333,9.5661,7.28806666667,21.0575333333,8.69796666667
395.32,6.5944,22.2271636364,5.78753333333,10.45,6.8736,9.63369999999,7.3662,21.1620666667,8.7628
395.68,6.54186666667,22.2028242424,5.73046666667,10.4022666667,6.84653333333,9.56439999999,7.33073333333,21.1213333333,8.69583333333
396.04,6.52186666667,22.2162363636,5.71253333333,10.372,6.86113333333,9.5602,7.30233333333,21.1966,8.69526666667
396.40,6.4456,22.1899272727,5.621,10.2382,6.801,9.45053333333,7.2558,21.1519333333,8.60666666667
396.76,6.3406,22.1673636364,5.53026666667,10.1531333333,6.72153333333,9.32310000001,7.17726666667,21.1540666667,8.5085
397.12,6.38266666666,22.2203272727,5.56093333333,10.1873333333,6.73726666667,9.31533333334,7.18753333333,21.2603333333,8.53366666667
397.48,6.32566666667,22.1647212121,5.47866666667,10.0849333333,6.70286666667,9.21353333333,7.11286666667,21.2319333333,8.45556666667
397.84,6.26573333333,22.2038545455,5.46013333333,10.0774666667,6.67866666667,9.14156666667,7.07393333333,21.2281333333,8.3865
398.20,6.25213333333,22.2524848485,5.4176,10.0844666667,6.67666666667,9.14193333333,7.06453333333,21.3166666667,8.3846
398.56,6.167,22.3179454545,5.33186666667,10.0804,6.611,9.09833333333,7.03793333333,21.3654,8.3147
398.92,6.16433333333,22.3412909091,5.32053333333,10.0782666667,6.6154,9.08656666667,7.0396,21.3902,8.30286666667
399.28,6.13566666667,22.3735454546,5.225,10.0489333334,6.60906666667,9.02553333333,7.002,21.4431333333,8.25816666667
399.64,6.18933333333,22.4888727273,5.3106,10.1256,6.6738,9.11626666667,7.05993333333,21.5637333333,8.3121
400.00,6.2694,22.6478545455,5.385,10.2533333333,6.7354,9.19796666667,7.12946666667,21.6736666667,8.35483333333
400.36,6.40813333333,22.858369697,5.489,10.4180666667,6.89906666667,9.34916666667,7.24733333333,21.8451333333,8.49383333333
400.72,6.4244,22.913060606,5.46446666667,10.4203333333,6.91593333333,9.367,7.22013333333,21.9017333333,8.50386666667
401.08,6.39613333333,23.0329333333,5.46646666666,10.4115333333,6.93786666667,9.37353333333,7.24086666667,21.9841333333,8.51313333333
401.44,6.3548,23.0471090909,5.39953333333,10.3593333333,6.8608,9.33946666667,7.171,21.9796666667,8.4387
401.80,6.44686666667,23.2096424242,5.46046666667,10.4321333333,6.96373333333,9.44216666667,7.23266666667,22.125,8.55413333333
402.16,6.51293333333,23.3878727273,5.5436,10.5224,7.0584,9.53293333334,7.339,22.2904666667,8.63853333333
402.52,6.58553333333,23.4319030303,5.60626666667,10.5399333333,7.11953333333,9.54146666667,7.3808,22.3506,8.65313333333
402.88,6.63386666667,23.5626545455,5.622,10.5711333333,7.137,9.57213333334,7.39193333333,22.5195333333,8.68456666667
403.24,6.65193333333,23.6549818182,5.65466666667,10.5744666667,7.1474,9.60829999999,7.37313333333,22.6197333333,8.70256666667
403.60,6.63633333333,23.6566242424,5.6114,10.5672666667,7.1186,9.54186666666,7.33913333333,22.6303333333,8.66386666667
403.95,6.6116,23.7117878788,5.563,10.5196,7.09146666667,9.50296666667,7.3124,22.6915333333,8.65383333333
404.31,6.55866666667,23.6994363636,5.51873333333,10.4818,7.00706666667,9.40816666667,7.27593333333,22.6990666667,8.57383333333
404.67,6.5556,23.7737090909,5.53766666667,10.521,6.99466666667,9.4103,7.2698,22.7459333333,8.54423333333
405.03,6.58213333333,23.7705272727,5.5136,10.5501333333,6.98293333333,9.39896666666,7.27,22.7619333333,8.53756666667
405.39,6.6698,23.922830303,5.62073333333,10.6692,7.087,9.4699,7.35526666667,22.8913333333,8.62823333333
405.75,6.67,23.9197272727,5.6086,10.6409333333,7.06106666667,9.44023333333,7.34353333333,22.9352,8.58536666667
406.11,6.69873333333,23.971569697,5.6168,10.6889333333,7.07273333333,9.44673333333,7.34833333333,22.9552,8.583
406.47,6.74413333333,24.0631636364,5.65053333333,10.7651333334,7.1384,9.54316666666,7.40726666667,23.0713333333,8.6536
406.83,6.7834,24.1174424242,5.68726666667,10.8176666667,7.19693333333,9.57433333333,7.4484,23.1134666667,8.68783333333
407.19,6.805,24.1698484849,5.66773333333,10.8604,7.22026666667,9.57516666667,7.44566666667,23.1679333333,8.67476666667
407.55,6.82806666667,24.3274969697,5.6852,10.9314,7.22026666667,9.6145,7.463,23.31,8.6933
