wavelength,Back_SalAtom,Belly_SalAtom,Breast_SalAtom,Crissum_SalAtom,Crown_SalAtom,DorTail_SalAtom,Rump_SalAtom,Throat_SalAtom,WingTip_SalAtom
640.21,12.1472666667,46.7969333333,38.7781333333,37.54,10.3590666667,8.49650222221,16.1190666667,5.276,11.011
640.54,12.1524666667,46.7512,38.7660666667,37.5610666667,10.3241333333,8.47726222222,16.0978,5.22293333333,10.9841333333
640.87,12.1341333333,46.6639333333,38.6805333333,37.5027333333,10.2704,8.42264888889,16.0382666667,5.201,10.9692666667
641.20,12.225,46.6058666667,38.6874,37.5515333333,10.3258,8.46708444445,16.0648,5.2678,11.0526
641.53,12.2309333333,46.6296,38.7172,37.5599333333,10.2620666667,8.40419111112,16.0072666667,5.20366666667,10.9994
641.87,12.1783333333,46.5409333333,38.6062,37.5128,10.2682666667,8.36447555555,15.9578,5.16873333333,10.9674666667
642.20,12.1065333333,46.5286666667,38.5638666667,37.5330666667,10.2431333333,8.35470222222,15.9367333333,5.13966666667,10.9294666666
642.53,12.2346666667,46.6387333333,38.6754,37.6638666667,10.3566,8.46687555556,16.0586666667,5.267,11.0085333333
642.86,12.1604,46.57,38.6102,37.6236,10.3103333333,8.38596888889,16.0118666666,5.218,10.9362
643.19,12.1108666667,46.5404,38.629,37.5866666667,10.2859333333,8.30800444445,15.9854,5.1584,10.8863333333
643.52,12.1257333333,46.6707333333,38.6948,37.6722,10.242,8.30941333333,15.9852,5.13473333333,10.8874666667
643.85,12.1305333333,46.6154666667,38.6794,37.6336,10.2516666667,8.29632888889,16.061,5.1394,10.9140666667
644.18,12.1146,46.6660666667,38.7138,37.6972,10.2648,8.30561777779,16.0969333333,5.15886666667,10.9341333334
644.51,12.1004,46.7930666667,38.809,37.8131333333,10.2753333333,8.27664444444,16.1444,5.1574,10.914
644.84,12.076,46.8035333333,38.7682,37.829,10.2676666667,8.27549333333,16.1494,5.14706666667,10.8808
645.17,12.0482,46.7242,38.6860666667,37.8288666667,10.318,8.31269333334,16.1664,5.18026666667,10.9488666667
645.50,12.1106666667,46.773,38.7774,37.8838666666,10.3562,8.36016000001,16.2005333333,5.20773333333,10.9968666667
645.83,12.1660666667,46.6769333333,38.7552,37.873,10.3884666667,8.33233777779,16.2023333333,5.2512,11.0234666667
646.16,12.1468666667,46.6742666667,38.6795333333,37.8459333333,10.3563333333,8.27109777779,16.1653333333,5.17866666667,10.9952666667
646.49,12.2894666667,46.7430666667,38.7739333333,37.9495333333,10.4626,8.40016444445,16.3006666667,5.305,11.149
646.82,12.3456666667,46.7868666667,38.8261333333,38.0820666667,10.5152,8.49770222221,16.3572666667,5.36506666667,11.2268666667
647.15,12.3801333333,46.8652,38.9270666667,38.1481333333,10.6098,8.57736444445,16.3814666667,5.38746666667,11.2852
647.48,12.4448666667,47.0328,39.033,38.261,10.6584,8.64809333334,16.4140666667,5.41766666667,11.3296
647.81,12.491,47.1,39.0263333333,38.2553333333,10.6730666667,8.67005333333,16.4208,5.42493333334,11.3430666666
648.14,12.5574666667,47.052,39.0078,38.2526,10.7192,8.71686666667,16.4506,5.4728,11.3737333333
648.47,12.5921333333,47.0915333333,39.0266,38.3054666667,10.7929333333,8.78391555555,16.5008,5.51766666667,11.4419333333
648.80,12.6507333333,47.1562,39.1092,38.3658666666,10.8383333333,8.83003555555,16.5374666667,5.50486666667,11.4744666667
649.13,12.5516,47.0566,38.9981333333,38.332,10.7454,8.75691555555,16.4868,5.44806666667,11.4234666667
649.46,12.5634,47.2798,39.1127333333,38.4737333333,10.7578,8.78490666667,16.5136,5.39613333333,11.4596
649.79,12.5602666667,47.22,39.1388,38.4598666667,10.7654666667,8.77248444445,16.531,5.41326666667,11.4973333333
650.11,12.4638666667,47.162,39.0674666667,38.4392666667,10.6843333333,8.67743555555,16.4623333333,5.2816,11.3689333333
650.44,12.4202,47.0791333333,38.9916,38.3802,10.6434,8.61600444445,16.4240666667,5.25526666667,11.3118666667
650.77,12.3434666666,46.9352,38.8468666667,38.2459333333,10.5359333333,8.51924444445,16.3665333333,5.18126666667,11.2402
651.10,12.3153333334,46.8739333333,38.7673333333,38.2157333333,10.5084,8.48421777777,16.3191333333,5.15226666666,11.2062
651.43,12.3238666667,46.9150666666,38.8261333333,38.2709333333,10.5377333333,8.51099555555,16.3434,5.18706666667,11.2630666667
651.76,12.3825333334,47.0329333333,38.8952,38.4051333333,10.5908,8.55570666667,16.3654,5.19393333333,11.3254
652.09,12.3992,47.0734666667,38.9788666667,38.4486,10.5766,8.55614666667,16.3675333333,5.18666666667,11.3534666667
652.42,12.4285333333,47.1173333333,39.0368666667,38.5131333333,10.58,8.55051555556,16.4088,5.22393333333,11.3581333333
