wavelength,Back_TanRuuf,Belly_TanRuuf,Breast_TanRuuf,Crissum_TanRuuf,Crown_TanRuuf,DorTail_TanRuuf,Patch10_TanRuuf,Patch11_TanRuuf,Rump_TanRuuf,Throat_TanRuuf,WingTip_TanRuuf
188.67,8.68555555555,26.9050448718,26.8779166667,-9.27224999999,1.52575000002,-3.28633333335,26.4083333333,13.4978333333,26.17375,2.22999999999,23.3214
189.05,-7.65875,16.2730641026,20.7143333333,-23.1547916667,-17.1428333333,-11.0714166667,13.0953333333,1.42849999999,18.8095,-10.7141666666,14.1906166667
189.43,-6.08302777778,20.1232628205,29.2194166667,-6.17095833333,-7.91133333333,1.68783333335,18.88175,10.2320833333,29.4304166667,-3.48099999999,19.9473333333
189.81,-10.8917777778,15.3508782051,32.89475,-9.21045833332,-12.0614166667,4.49549999997,13.5965833333,10.52625,28.18,-6.90791666667,20.0658416667
190.19,-10.5819722222,12.1795897436,32.0436666667,-7.58920833332,-11.80575,3.47225,13.6905,11.8055,24.10725,-7.14291666665,21.0416416667
190.57,-26.1906111111,1.11723717948,26.4285,-19.8810416667,-32.7380833333,-9.28566666668,5.71425000001,-1.54749999998,12.6189166667,-24.40475,10.6426833333
190.95,-21.2961944444,5.12012820512,23.9316666667,-12.9808333333,-28.312,-4.91458333335,5.98291666667,2.45733333332,14.423,-21.7948333334,9.15581666667
191.33,-5.09775000001,20.4212115385,36.7216666667,-2.38095833335,-8.14999999999,8.79133333333,20.9705833333,17.39925,26.1905833333,-8.15016666666,16.2088916667
191.71,3.35847222222,25.5186538461,39.1665833333,5.49245833335,2.12124999999,16.5151666667,24.9241666667,21.1361666667,28.4849166666,3.03024999999,20.5986166667
192.09,3.76613888889,23.6193397436,41.1858333333,7.01125,0.641,17.94875,27.8045,20.7530833333,27.8045,3.44550000001,20.000075
192.47,6.6811111111,26.0555512821,39.6551666667,12.1408333333,7.75858333335,19.3965,26.5805,18.60625,28.66375,7.54300000002,21.2787
192.85,14.3069166667,29.6120448718,46.3865,19.9115833333,15.9290833333,25.4425,28.0974166667,25.29525,32.6695,13.8643333334,29.4617083333
193.23,22.0950555556,30.8181923077,44.5293333333,24.45925,20.92875,26.463,29.7074166667,27.1626666667,35.4325833334,20.54725,35.0510583333
193.61,26.62025,31.076448718,43.2290833333,22.8298333333,19.1550833333,26.50475,28.1829166667,27.3148333333,35.2430833333,20.19675,33.0786166666
193.99,28.7206666667,36.6161410256,43.3838333333,25.580875,22.92925,29.4949166667,34.19175,30.8079166667,36.4140833333,23.0303333334,35.1314083333
194.37,27.8330555555,36.5468653846,44.5364166666,26.9315833334,21.5230833333,30.7945833333,33.0574166667,26.7660833333,36.479,21.5783333333,35.5188916667
194.75,28.3859444444,34.807301282,42.214,23.6920416667,19.2214166667,31.93425,31.2043333333,27.5549166667,34.6106666667,19.708,35.3893333333
195.13,27.7558611111,32.8334871795,42.8476666666,22.1129166667,17.651,33.33325,28.5435,26.04975,31.2335,17.8476666667,36.3715916666
195.51,17.2897777778,21.1777564103,34.1121666667,12.1884583333,2.18058333331,25.70075,20.6386666667,15.1089166667,18.1465,5.296,28.7616416667
195.89,16.3541666667,23.6698717949,38.3333333333,8.54166666665,-4.58333333335,28.2291666667,13.125,16.1458333333,20.0,-4.375,33.3854166667
