wavelength,Back_CatDiam,Belly_CatDiam,Breast_CatDiam,Crissum_CatDiam,Crown_CatDiam,DorTail_CatDiam,Patch10_CatDiam,Rump_CatDiam,Throat_CatDiam,WingTip_CatDiam
802.23,19.9333333333,38.5666666667,39.6,31.5,12.9,21.8333333333,32.7666666667,15.0333333333,41.1666666667,20.6666666667
802.54,19.935,39.2196,39.4796,30.7154666667,13.3332666667,21.496,32.4879333333,14.3415333333,40.683,21.3657333333
802.84,20.6396666667,41.3466666667,41.1110666666,32.6599333333,14.5455333333,22.7273333333,35.2861333333,15.5218,43.2660666667,22.7946666667
803.15,21.2394666667,41.3066,40.134,33.0318333333,15.3434,21.6749333333,35.243,14.3717333333,42.6801333333,23.0486
803.46,22.0,41.9,40.8666666667,33.75,16.0666666667,22.8666666667,36.8,15.1666666667,43.3,24.3
803.76,25.9648666667,45.1675333333,43.7002,37.9265666667,20.7336666667,27.1771333333,39.4896,19.7767333333,46.1562666667,28.4529333334
804.07,24.2692666667,45.1230666667,42.4631333333,37.8488333333,19.6058,27.422,39.5730666667,18.6207333333,45.6157333333,27.816
804.38,23.1352,44.3564666667,41.3202666667,36.9472,18.4488666667,27.5577333333,39.4058666667,17.2938666667,44.9834666667,27.4918
804.68,23.0718666667,43.8236666667,40.4574666667,36.1600333333,18.1044666667,27.6798,39.3463333333,17.3202666667,44.8039333334,27.9412
804.99,21.6585333333,42.3880666667,39.1377333333,34.9420666667,16.7496666667,26.9650666667,39.1044666667,17.0480666667,43.8474,26.4346
805.30,19.3333333333,39.7666666667,38.1333333333,34.05,15.4333333333,25.0333333333,37.4333333333,14.9666666666,42.7666666667,24.9
805.60,17.8114,37.1043333333,36.3973333333,32.66,13.872,23.1986666667,35.9596,13.064,41.2458666667,23.266
805.91,19.7222,37.4305333333,37.5001333333,35.5728666667,15.1040666667,24.0624666667,38.264,14.5137333333,43.1598666667,23.993
806.21,22.7980666667,40.1036,40.38,38.9464,18.5148,26.5284666667,40.0691333334,17.2711333333,45.9757333333,27.2194
806.52,22.6734666667,40.6596666667,41.2153333333,39.6354333333,18.7152666667,27.3265333333,40.1040666667,17.7776666667,46.4582666667,28.0556
