wavelength,Back_CatInom,Belly_CatInom,Breast_CatInom,Crissum_CatInom,Crown_CatInom,DorTail_CatInom,Patch10_CatInom,Rump_CatInom,Throat_CatInom,WingTip_CatInom
788.07,13.3802,34.931,24.9692666667,34.1556,12.1116666667,21.3568,11.5477333333,21.4978,20.8106666667,18.6961333333
788.38,13.7382666667,35.6102666667,25.2053333334,34.7887333333,12.5704,21.1619333333,11.6842666667,21.7195333333,20.8918666667,19.1726666667
788.69,13.4454666667,34.8864,24.5704,34.4376,11.9988666666,20.2894,10.9594666667,20.7736,19.7816,18.5827333333
789.00,13.0348666667,34.8551333333,24.4893333333,34.621,12.4905333333,20.0878,10.9277333333,20.8838666667,19.7542666667,18.6186
789.31,12.6038666667,34.6846,24.4186,34.4574,12.3228666667,19.8803333333,10.6964666667,20.4662666667,19.5217333333,18.0986
789.62,10.9302666667,33.6166666667,22.828,32.7048666667,10.7948,18.5644666667,8.61993333333,18.9464,18.0838,16.5065333333
789.92,10.2915333333,33.4410666667,22.7185333333,32.3572666667,10.3232666667,18.2826,8.04186666668,18.6058,17.9277333333,15.9758666667
790.23,10.3646,32.9913333333,22.1878666667,32.2877333333,9.86126666667,18.2769333333,7.73153333334,18.9481333333,17.9994666667,15.7082666667
790.54,10.0886,32.0354666667,21.4224666667,31.511,9.15113333335,17.8565333333,7.38766666667,18.8200666667,17.3714666667,14.9589333333
790.85,9.98646666667,32.5204,21.4432,31.7481333333,8.9296,18.0148,7.04606666666,18.8414,17.2222,14.8848
791.16,10.3627333333,32.7198,21.4644,32.7684,9.17713333332,19.1772,7.07106666666,19.8396,17.2245333333,15.1883333333
791.47,10.6779333333,32.9379333333,22.0904666667,33.5452,9.63280000001,20.2471333333,7.66226666667,20.6497333333,18.2909333333,16.0310666667
791.78,9.71000000001,32.0587333333,21.5108666667,32.6602666666,8.76473333333,19.6204666667,7.13206666667,20.4082,17.6870666667,15.1306666667
792.08,10.1187333333,32.5495333333,21.8626,33.1461333333,9.24119999999,20.2589333333,7.56546666667,21.1434,18.8492,15.7785333333
792.39,11.5317333333,33.7562666667,23.2530666667,34.6316,10.3355333333,21.7432666667,8.66526666666,22.6258666667,20.0803333333,17.3595333333
792.70,11.4702,34.059,23.2248,34.9644,9.73433333333,21.9904666667,8.32766666667,22.903,20.3666666667,17.4709333333
793.01,12.726,35.3204666667,24.5668,36.6854666667,10.6636,23.4121333333,10.2437333333,24.2896,22.2721333333,18.6802666667
793.32,13.0115333333,35.81,24.3846,37.2092,11.1111333333,23.8532666667,10.3404666667,24.4818,22.4991333333,19.0423333333
793.62,12.1542666667,35.1872666667,23.7893333333,36.1068,10.5673333333,23.4408,9.78126666667,23.5745333333,22.3583333333,18.4574666667
793.93,13.2232666667,36.2082,25.3832,37.8657333333,12.2846,24.5472666667,11.0596666667,24.4885333333,24.1658,19.604
794.24,12.883,35.6662,25.5002666667,37.8442,12.3736,24.5330666667,11.0521333333,24.4666666667,24.0754,19.3281333333
794.55,14.0524666667,36.6558666667,26.4149333333,38.7486666667,13.6209333334,25.0269333333,12.6357333333,25.1706666667,25.0989333333,20.2373333333
794.86,12.888,35.9255333333,25.4546,37.9846666667,12.4936,23.5924666667,11.15,23.7824,24.0962666667,19.1676
795.16,11.8720666667,35.238,25.1472666667,37.3028,12.1555333333,23.0460666666,10.0107333333,22.7117333333,23.5333333333,18.8367333333
795.47,11.6501333333,35.5799333333,25.4225333333,37.3948666667,12.2722,23.037,10.0474666667,22.5174,23.7175333333,18.4997333333
795.78,11.0146,35.1594,25.0651333333,37.0289333333,11.8551333333,22.2464,9.884,21.6594666667,23.1594666667,17.7392
796.09,12.8780666667,36.6417333333,26.6737333333,38.2496666667,13.7816,23.4292,11.5829333333,23.2372,24.7599333333,20.0
796.40,13.071,36.9289333333,26.8369333333,38.1204666667,13.8865333333,23.3119333333,11.5104666667,23.2268666667,24.844,20.5744
796.70,12.9086666667,36.702,26.8295333333,37.5584,14.1330666667,22.7248666667,11.84,23.4960666667,24.9115333333,20.1981333333
797.01,13.8241333333,37.6733333333,28.1394,38.6198666667,15.2401333333,23.4578,12.6148,24.3117333333,25.5922,21.1882
797.32,11.6418,35.7205333333,26.2223333333,36.2652666667,13.2042666667,20.9606,10.595,22.2365333333,23.1253333333,19.3692
797.63,11.1184,35.4469333333,25.8124,36.0620666667,12.6384666667,20.1592666667,10.1121333333,21.73,22.9171333333,19.2399333333
797.93,10.6113333333,34.3958666667,25.3129333333,34.9853333333,12.4598666667,19.1121333333,9.243,21.0698,22.3654666667,18.7773333333
798.24,10.6974666667,35.213,25.7929333333,34.9632,13.0764,19.4126666667,10.0955333333,21.6152,22.6284666667,19.0676
798.55,12.0887333333,36.1407333334,26.4963333333,35.8518666667,14.1629333333,20.4222666667,11.6888666667,22.5259333333,24.1111333334,20.4444
798.85,12.6205333334,36.7038,27.3792666667,36.3622666667,14.9144666667,20.9875333333,12.6503333333,23.2292666667,24.848,21.7223333333
799.16,12.6965333333,36.7042,27.2359333333,35.588,15.0112,21.3109333333,12.4568666667,23.0712666667,24.9811333333,21.6927333333
799.47,11.1546666667,35.7422666667,25.7461333333,34.5454,13.9470666667,20.1610666667,11.3002,21.9563333333,23.6211333333,20.0460666667
799.78,11.2784666667,35.6584666667,25.7164666667,34.3144,14.5692666667,20.2008,11.3788666667,22.3714666667,23.9783333333,20.2472
800.08,9.80479999999,34.4802666667,24.7870666667,33.3414,13.1421333333,18.9963333333,10.0596,20.7885333333,22.7718,19.0919333333
800.39,7.98153333334,33.8053333333,23.0425333333,32.5663333333,11.2261333333,17.1596666667,7.79606666667,18.9044666667,21.7024666667,17.4294
800.70,8.64913333333,35.2630666667,23.6579333333,33.5702666667,11.3772,18.0351333333,7.83326666666,19.4386,22.5700666667,18.5175333333
801.00,9.85846666666,35.7271333333,24.762,34.0712666667,12.6211333334,19.511,9.48086666667,20.3347333333,23.3891333333,19.614
801.31,10.8932666667,37.4118,25.9173333333,35.0500666667,13.1852,20.6186,11.1459333333,21.4379333333,24.6187333333,20.4706666667
801.62,11.4942666667,37.7454,26.3308,36.4898,13.6693333333,21.2908,11.1936,22.1661333333,25.2254,20.8577333333
801.92,11.6912666667,38.3132666667,26.8987333333,37.4297333333,14.1991333333,21.6779333333,11.7002,23.1145333333,26.0955333333,21.16
802.23,11.1569333333,38.0978,25.6058,36.6528,13.5345333333,21.1248,11.2116,22.8165333333,25.2399333333,20.4756
802.54,10.6369333333,37.7871333333,25.7460666667,36.5782666667,13.5471333333,20.5206666667,10.8228666667,23.0218,25.4206666667,20.4835333333
802.84,11.6411333333,39.2003333334,27.1221333333,37.2662666667,14.9233333333,21.4690666667,11.9758666667,23.7286,27.0666666667,21.7666
803.15,12.0056,39.6704666667,27.514,37.9566,15.047,21.6477333333,12.5047333333,23.7383333333,26.9114,22.0621333333
803.46,13.4374666667,41.8182666667,28.7878666666,39.1192666667,16.5057333333,23.2102666667,14.1005333333,25.1988,28.7405333333,23.57
803.76,14.304,41.3646,29.1207333333,39.1484,17.4909333333,23.7820666667,15.5403333334,26.5384666667,28.8552,24.7708666667
804.07,14.455,41.6324666667,29.0650666667,39.2157333333,18.2490666667,24.1950666667,16.3702666667,27.0314,29.0469333333,24.5964
804.38,14.1643333333,41.5778666667,28.2539333333,38.8703333333,17.5723333333,23.4455333333,15.1633333333,27.0121333333,28.8235333333,24.0336666667
804.68,13.4566666667,41.396,27.7017333333,39.3258,17.379,23.2574,14.7388666667,26.7522,28.0722666667,23.8366666666
804.99,13.953,41.0726,27.7022,38.5945333333,17.7716666667,22.9496,15.4508666667,26.3061333333,27.5544,23.7632666667
805.30,14.0628,40.9326666667,27.7838666667,38.5966666667,17.3314666667,22.6962666666,15.5125333333,26.0295333333,26.9528666667,23.6842
805.60,13.7709333333,40.7077333333,27.5046666667,38.6965333333,16.6759333333,22.5232666667,14.8602,25.2234,27.0576666667,23.0168
805.91,13.7857333333,40.6832666667,27.1007333333,38.8550666667,16.0387333333,22.4746,15.0969333333,24.9122666667,26.7405333333,22.6223333333
806.21,14.154,40.6272,27.0725333333,39.8339333333,16.1180666667,22.4896666667,15.2419333333,25.2096,25.9104666666,22.8676666667
806.52,14.205,41.1218,27.427,40.0091333333,16.2449333333,22.8187333334,15.5958,25.3777333333,25.8044,22.9208
806.83,14.7714666667,40.7145333333,27.4808,40.4252666667,17.0239333333,22.8223333333,16.6077333333,26.0426,25.2918,23.2021333333
807.13,14.9908666667,41.4206666667,28.0693333333,40.8744,17.3224,23.4973333333,17.1948666667,26.266,25.6920666667,23.3424666667
807.44,15.1572,41.7237333333,28.3358,41.523,17.4646666667,23.5932666667,17.8294666667,26.7758666667,26.3108666667,23.6114
807.74,15.272,42.1673333333,28.6513333333,41.9112666667,18.0247333333,23.5482,18.7288,26.6758666667,26.3738666667,24.3986
808.05,14.7500666667,41.7594,27.9073333333,40.8146,17.4908,22.8889333333,18.2963333333,25.9536,26.213,23.9258666667
808.35,15.1005333333,42.1506,27.9942666667,40.9538,18.0926,23.6746,18.9994666667,26.7227333333,26.9844,24.8433333333
808.66,13.0606,41.462,26.4425333333,39.6589333333,16.6178666667,22.4073333333,17.7778,25.3607333333,25.3898666667,23.0311333333
808.97,14.3288666667,42.5963333333,27.9647333333,40.2733333333,18.3406666667,22.8892,18.9750666667,26.5593333333,26.1201333333,24.0116666667
809.27,14.7965333333,44.5646,29.0468,41.9988,19.66,23.9773333333,20.4843333333,27.7072666667,26.8005333333,25.6774666667
809.58,13.2396666667,43.2866666667,27.4467333333,39.719,17.7952,23.0889333333,18.856,26.6146,25.4186666667,24.2538
809.88,12.6426,42.2606,26.5097333333,39.1733333333,17.3626666667,22.1978666667,17.5929333334,26.2271333333,24.4270666667,23.5687333333
810.19,14.5892666667,42.6373333333,27.6714,39.9162,18.2209333333,23.213,17.9487333333,26.5306666667,25.641,25.0968
