wavelength,Back_EmbHerf,Belly_EmbHerf,Breast_EmbHerf,Crissum_EmbHerf,Crown_EmbHerf,DorTail_EmbHerf,Patch10_EmbHerf,Patch11_EmbHerf,Rump_EmbHerf,Throat_EmbHerf,WingTip_EmbHerf
764.14,23.3629166667,56.6155,50.6985833334,34.6790833333,17.6455833334,13.166125,26.9740833333,17.802,22.1736666666,61.5506666667,14.1181666667
764.45,23.5340833334,56.69975,50.7424166667,34.8706666667,17.745,13.1860416667,27.1533333333,17.9455,22.2938333333,61.4301666667,14.1419166667
764.76,23.2840833333,56.4333333333,50.52675,34.8,17.6491666667,12.98275,27.1094166667,17.75975,22.0524166667,61.13375,13.97675
765.07,23.30925,56.4575,50.6324166667,34.8710833333,17.6399166667,12.992375,27.18775,17.7544166666,22.0300833333,61.1589166667,14.1908333333
765.39,23.5219166667,56.72575,51.0379166666,35.0639166667,17.9139166666,13.2791666666,27.5468333334,17.9168333333,22.1666666667,61.5329166667,14.42175
765.70,23.5769166666,56.8681666667,51.1538333334,35.048,18.0085833333,13.4512916667,27.6385,17.91775,22.2578333333,61.6295,14.764
766.01,23.902,57.4674166667,51.7456666666,35.4321666666,18.104,13.4559583333,28.01675,17.94125,22.475,62.4201666667,14.9106666667
766.32,23.5866666667,57.6284166666,51.5859166667,35.4404166667,18.0029166667,13.1938333333,27.7350833333,17.7606666667,22.3164166667,62.39375,14.6990833333
766.64,23.798,58.0513333333,51.9596666667,35.7375833334,18.3558333333,13.178375,27.7520833333,17.7720833334,22.7388333333,62.5348333334,14.9429166667
766.95,23.3003333333,57.5036666667,51.6311666667,35.3271666667,18.0603333333,12.7092083334,27.195,17.3270833333,22.4020833333,62.031,14.7251666667
767.26,23.0381666666,57.2815833333,51.2468333333,35.0623333333,18.1379166666,12.7639166667,27.0574166667,17.1653333333,22.1364166666,61.6418333333,14.7340833334
767.57,22.70275,56.6734166666,50.9368333333,34.7450833333,17.9798333333,12.6711666667,26.8609166667,17.0175833334,21.8473333333,61.3151666667,14.4548333333
767.88,22.8848333333,56.9245833334,51.14525,35.1676666666,18.4175833333,13.3183333333,27.2555833333,17.36875,22.4766666667,61.5279166667,14.9684166667
768.20,23.1610833333,56.7265833333,51.0980833334,35.324,18.51,13.59125,27.5130833333,17.7556666667,22.7414166667,61.431,15.0465
768.51,22.6905,56.7750833333,51.0850833333,35.06775,18.2479166667,13.1424166666,27.2815,17.4598333333,22.4865833333,61.4961666667,14.3943333334
768.82,22.3450833333,55.9949166667,50.4061666667,34.7788333334,17.95175,12.693875,26.8140833333,17.0589166667,22.175,60.6386666667,14.2430833334
769.13,22.1594166666,55.5941666667,49.7536666667,34.4203333333,17.5459166667,12.3478333333,26.5555833333,16.8696666666,22.0388333333,60.1303333333,13.80675
769.44,22.219,55.264,49.57,34.1005833333,17.7810833333,12.3435833334,26.5493333333,17.0430833334,22.20925,59.8435833334,13.9540833333
769.76,22.3634166667,54.56025,49.43425,33.69725,17.6554166667,12.49525,26.6921666666,16.9471666666,22.0090833333,59.21875,14.1676666667
770.07,22.1633333333,54.4518333333,49.1671666667,33.4495,17.0604166666,12.1062083333,26.5545833333,16.5001666667,21.6231666667,59.3730833333,13.8905
770.38,22.4438333333,54.9165833334,49.5875833333,33.926,17.12525,12.3529583333,27.05625,16.9295,21.9643333334,59.81775,13.9660833333
770.69,21.951,54.84775,49.3506666666,33.5993333333,16.3154166667,11.339875,26.3144166667,16.3686666667,21.4665,59.47225,12.98425
771.00,22.3016666667,54.9675,49.7175833333,33.6809166666,16.4224166667,11.50375,26.3790833333,16.5416666667,21.4114166667,59.68525,12.98575
771.32,22.22225,54.65725,49.8676666667,33.3773333334,16.1541666666,11.1165416667,26.1243333334,16.5343333333,20.8995833334,59.7166666667,12.69275
771.63,22.619,55.0693333333,50.3241666667,33.8475,16.65,11.804125,26.3468333333,16.8733333334,21.3839166667,60.0044166667,13.4416666667
771.94,23.4391666666,55.29525,50.4571666667,34.3979166667,17.4413333333,12.8176666667,26.951,17.6085833333,22.0959166667,60.1615833333,14.3645833333
772.25,24.26325,56.30575,51.3135833333,34.927,17.9519166667,13.411125,27.6388333333,18.3573333333,22.7725,61.3260833333,14.8731666667
772.56,24.7913333333,56.96575,52.3411666666,35.34425,18.6079166667,14.0444166666,28.3669166666,18.9265833333,23.2440833334,62.0073333333,15.386
772.87,24.313,57.0251666667,52.2700833333,34.9820833333,17.9749166666,13.5603333333,27.8791666667,18.3274166666,22.7358333333,61.7681666667,14.773
773.18,24.3451666667,57.19325,51.953,35.2013333334,17.83125,13.5765833333,27.5959166667,18.4133333333,22.59825,61.9540833333,14.7075
773.50,24.5083333334,56.88275,51.8511666667,35.3118333333,18.1293333333,13.75025,27.7190833333,19.1551666667,22.97275,62.1508333334,15.0641666667
773.81,24.7556666667,56.7753333333,51.5823333333,35.0135,18.5361666667,13.9601666667,27.7248333333,19.32425,23.0083333333,62.0906666667,15.4631666667
774.12,25.1235833333,57.0678333333,51.9198333333,35.1173333334,18.716,14.4599583334,28.2655,19.6234166667,23.321,62.54325,15.7715
774.43,24.91275,57.6114166667,51.6865,35.3934166666,18.6768333333,14.7934166667,28.4728333333,19.7970833333,23.4440833334,62.3286666666,16.0070833333
774.74,24.79775,58.10575,51.7325,35.2554166666,18.6330833334,14.7288333333,28.19925,19.5245,23.5015,62.27875,16.19875
775.05,24.3281666666,58.34625,51.74425,35.168,18.2040833333,14.0181666666,28.1395833334,19.1280833333,22.991,62.7583333333,15.8851666667
775.36,24.0455,57.9399166667,51.7415,34.7846666667,18.3370833334,13.91575,28.2056666667,18.9755833334,22.7940833333,62.6806666667,16.2474166667
775.67,23.6675,57.0070833334,50.8544166667,34.2898333333,18.0565833333,13.4755416666,27.933,18.4265833333,22.2519166667,61.2280833333,15.978
775.98,23.8718333333,57.295,51.01275,34.8846666666,18.2115,13.499875,28.3269166667,18.8396666667,22.3910833334,61.31425,16.3141666666
776.30,24.4115,57.5043333333,51.3414166667,36.00975,18.8623333333,14.32875,29.2141666666,19.7355833334,22.96875,61.6680833333,17.1729166667
776.61,24.36975,57.4509166667,51.67675,36.1258333334,19.20075,14.4825,29.6520833333,19.9760833333,23.4870833333,61.59225,17.3096666667
776.92,24.7249166667,57.5838333334,51.54925,36.3005,19.6339166667,15.1798333333,29.8288333334,19.9586666667,23.8254166666,61.1755833334,17.60375
777.23,24.9500833334,57.6783333333,51.7466666667,36.5269166667,19.7169166667,15.494,29.828,20.0598333333,24.0394166666,61.24,17.9390833333
777.54,25.1716666667,57.0771666667,51.3111666667,36.2499166667,19.951,15.523875,29.5099166666,19.8589166667,24.0073333333,60.5880833333,18.3209166667
777.85,25.23175,56.6375,51.1714166667,35.8833333333,20.1866666666,15.4373333333,29.3313333333,19.7779166667,23.77375,60.77375,18.2161666667
778.16,25.4851666667,56.253,51.1765833333,35.9775833333,20.5846666667,15.662875,29.64575,19.9539166667,23.9325,60.6744166667,18.35275
778.47,25.9566666667,55.8363333333,50.82425,35.6619166667,20.7400833333,16.0529583333,29.693,20.403,24.2721666667,60.1023333334,18.3635
778.78,26.2703333333,55.8959166667,50.778,35.6370833333,20.7208333333,16.1865,29.7955833333,20.8181666667,24.5866666667,59.9685,17.9186666667
779.09,26.2595833333,56.298,51.1418333334,35.72225,20.61325,16.3565416667,29.7716666667,20.8055,24.6711666666,60.747,17.6220833333
779.40,25.2356666667,54.7653333334,49.7395,34.2269166667,19.6388333333,15.382125,28.3693333333,19.6636666667,23.6286666666,59.804,16.3563333333
779.71,25.3151666667,54.3089166667,49.3508333333,33.9020833333,19.6896666667,15.3067083333,28.295,19.7515,23.6771666667,59.6995833333,16.5675
780.02,25.9949166666,54.7326666667,49.5584166667,34.2910833333,20.46025,15.8893333333,28.8620833333,19.9688333333,24.2660833334,60.5595833333,16.9216666667
780.33,25.2643333333,53.896,48.6216666667,33.4845,19.8765833333,15.2945,28.2476666667,19.3291666666,23.58375,60.15225,16.138
