wavelength,Back_TanInof,Belly_TanInof,Breast_TanInof,Crissum_TanInof,Crown_TanInof,DorTail_TanInof,Patch10_TanInof,Patch11_TanInof,Rump_TanInof,Throat_TanInof,WingTip_TanInof
226.13,9.51091666665,6.34058333335,10.5978333333,3.51277369283,9.05783333334,-12.7717083333,6.25008333334,-13.1341666667,-0.452833333325,11.231625,-20.3805833333
226.51,9.99994531625e-12,-0.833333333325,2.54166666667,-0.700708060998,-0.0416666666675,-18.6666666667,-0.666666666668,-14.8333333334,-5.25000000001,2.45833333333,-23.3333333333
226.88,1.78566666664,0.594999999993,4.379375,1.896166122,5.35712500001,-14.2857083333,5.18699999999,-9.52358333332,2.38091666667,6.97270833333,-17.772
227.26,2.21233333333,3.17116666666,1.99120833333,0.129203703725,3.57662499999,-10.6565,6.19466666667,-8.70208333332,4.27725,5.75212500001,-10.6930833333
227.64,3.37466666666,6.68049999999,4.09795833332,4.78216367102,6.68041666668,-9.95195833333,8.19574999999,-4.89,9.09091666667,11.2260833333,-5.854
228.01,3.81683333333,8.58766666667,6.52029166666,6.53014542484,9.47829166664,-5.78879166667,11.00525,-2.7355,8.20616666667,9.669125,-4.26200000001
228.39,2.69416666666,6.64150000001,4.29200000001,1.73026770152,6.422375,-7.55025,10.8395,-5.82708333333,8.14541666668,9.42991666667,-5.3885
228.76,6.66675000002,9.62349999997,8.41391666667,4.9486819172,9.67741666667,-1.63970833333,14.3010833333,-2.58050000001,11.18275,11.559125,0.26875
229.14,7.72708333333,10.5049166667,9.92420833334,6.61090740741,10.2020833333,-1.31316666667,14.798,-2.52508333333,13.2324166667,11.5655833333,4.24249999999
229.52,3.84983333334,8.91800000002,8.23583333333,3.97066448801,6.50575000001,-3.16745833333,12.7680833333,-5.84791666666,10.965,8.67441666668,4.82441666666
229.89,3.80116666666,8.77191666665,8.26033333334,3.09086900873,7.04195833333,-2.80216666667,14.0350833333,-2.48541666667,11.4034166667,9.21054166666,5.653
230.27,1.05875,7.91900000002,8.70166666667,4.16683197169,7.50462499998,-1.88758333333,14.6408333333,-2.20991666667,11.4641666667,7.50458333333,5.34066666666
230.65,6.56124999998,13.6015833333,14.727,8.11662935729,10.9195,1.46075,20.3064166667,0.67049999999,14.703,11.3505833333,8.956
231.02,10.1850833333,16.52775,18.7269583333,10.0708877996,12.91675,4.28220833334,23.2406666667,3.79649999999,16.5278333333,12.8472083334,9.30558333334
231.40,12.0653333333,17.02425,21.3444583333,10.9220623638,14.647125,2.965125,24.8975833333,4.03891666667,17.2289166667,11.9885833333,8.43558333334
231.78,5.43483333335,11.2921666667,16.0930833333,3.32366884531,6.43120833332,-5.736875,22.7053333333,-4.95166666666,12.198,1.60020833333,0.603833333343
232.15,0.193833333325,6.783,8.88254166667,-4.32281236382,1.00129166667,-13.210625,18.28175,-10.4006666667,6.78275,-0.4845,-2.06716666668
232.53,-0.585833333332,6.38033333333,9.21229166667,-3.99949455338,1.20454166667,-15.2019166667,17.7736666667,-11.7839166667,5.46883333335,-3.54804166667,-1.82291666669
232.90,-4.76200000001,2.591,4.131625,-5.37694825709,-3.39629166667,-18.7674583333,17.5770833333,-13.30525,1.961,-5.63720833334,-4.76208333331
233.28,-4.59999999998,5.0,1.13333333335,-3.35664488018,0.666666666657,-16.2333333333,19.7333333333,-12.1333333334,1.26666666666,-2.96666666667,-5.0
233.66,1.94666666667,7.05591666667,5.29208333333,-1.58785511982,3.61920833334,-7.9075,23.0535833334,-7.421,4.258,-0.395375,0.24308333335
234.03,1.2285,7.2115,6.70395833335,-1.56934368192,4.00645833334,-5.87608333333,20.94025,-10.5233333333,4.27341666666,0.667833333333,0.374000000015
234.41,4.21625,6.94433333333,7.71329166667,-2.36672739651,4.11708333332,-7.29166666666,21.1805,-9.22624999999,3.86916666667,2.80245833333,1.73591666666
234.78,9.69933333334,12.5683333333,11.703125,5.76832761437,12.1812916667,1.548375,26.3205,-2.14016666667,12.2950833333,10.428,9.28966666668
235.16,12.28075,16.4911666667,13.0262916667,10.4490569172,14.210625,6.73245833333,28.114,1.05266666666,14.16675,12.193,12.9825
235.54,8.08833333332,13.5621666667,10.6821666667,8.49032325708,12.0098333333,4.55462499999,24.8775,-0.28591666666,11.8055833334,11.4379166667,10.1306666667
235.91,9.26308333332,13.7395833333,12.2587916667,10.2558287037,13.9634583333,8.21266666668,24.3801666667,4.029,13.0851666667,14.7898333333,11.1225833333
236.29,11.4295,13.0435,12.9118333333,11.4223673747,14.690375,10.4742083333,24.83525,5.40183333334,15.2174166667,14.5750833333,11.52825
236.66,8.64774999999,10.6290833333,9.44975,8.89267320261,12.1540833333,9.323875,22.2956666667,2.48441666668,13.8993333333,12.610125,8.2705
237.04,6.31125000001,9.52816666667,8.884875,6.5476171024,11.21325,7.53683333333,20.19,0.153249999985,12.7145,10.7692083333,6.46450000001
237.41,1.68549999998,3.68291666667,4.68179166666,2.77647222222,6.14854166667,3.58945833334,16.1985833333,-5.43083333334,7.52183333333,6.0705,1.56058333333
237.79,0.0639166666575,2.87358333333,2.26679166667,2.94809722222,3.544,1.37283333333,15.0063333333,-7.503,5.58758333333,4.88508333333,-1.24516666667
238.17,3.37008333332,5.45333333334,3.12491666667,6.8583943355,6.49504166666,5.72895833333,18.4743333333,-2.84925000001,8.54783333334,7.38366666667,1.62366666667
238.54,1.23908333334,3.71758333333,-0.944791666667,5.16328540305,4.13583333333,5.09608333333,16.6665833333,-6.10274999999,6.87725,5.25095833333,-1.70383333334
238.92,-0.900166666657,1.85833333333,-2.67133333333,1.51117946623,0.566208333333,2.03258333333,14.3729166667,-7.11383333332,5.51683333334,1.974625,-3.36816666667
239.29,-0.375166666665,0.75025,-2.06329166667,0.650959967322,-0.267958333333,1.79545833333,14.657,-7.20808333332,5.1445,2.80008333333,-3.40316666667
239.67,0.399,1.3145,-1.115,0.973226851852,0.258125,2.93433333333,15.4225,-6.07991666667,5.58666666667,2.47658333333,-2.13625
240.04,-1.06825000001,-0.4915,-2.94883333333,-0.0851124727673,-1.31395833333,0.908208333335,13.18375,-7.07258333333,3.65383333334,-0.373958333333,-3.09825
240.42,-1.78991666668,-0.0191666666668,-2.68475,-0.722034586057,-2.193875,-0.047958333335,13.4910833333,-6.71691666667,2.75225,-0.606208333333,-2.6945
240.79,-0.997749999998,0.612833333334,-0.709208333332,0.91032298475,-0.892791666665,0.901583333334,15.58125,-4.28925,3.60658333333,0.139874999999,0.0175833333335
241.17,1.1225,1.69133333333,0.999416666667,1.99549428105,0.222875000001,2.22941666667,16.6206666667,-3.24425,4.22833333333,1.04583333333,1.79908333334
241.54,2.14141666667,2.605,2.31854166667,2.7077630719,1.050125,2.9665,17.2394166667,-2.10025,4.82816666667,1.76616666666,3.42325
241.92,3.04241666667,3.53525,3.854,3.54343954248,2.83795833334,4.178625,17.9774166667,-0.216583333333,5.9765,3.30095833333,4.738
242.29,1.78091666667,1.74716666667,3.130625,2.52208197168,1.60733333333,2.28495833333,16.3194166666,-1.76958333333,4.89466666667,1.41679166667,4.11066666667
242.67,2.56,2.87616666667,4.161375,3.27691421568,2.59154166667,3.67154166667,17.6044166667,-0.3055,5.87866666666,2.37566666667,5.91025
243.05,1.83258333334,2.00658333334,3.62420833333,2.74916312636,1.93491666667,3.52670833333,17.4344166667,-1.2285,4.52499999999,1.76091666667,4.90366666667
243.42,1.29133333333,1.483,2.61304166667,2.11847576253,1.39216666667,2.77445833333,16.9590833333,-1.95725,3.8035,1.155,4.086
243.80,1.9785,2.25825,3.32733333333,3.14311928105,1.95333333333,3.73704166666,18.0855,-0.819333333333,4.71608333333,1.87354166667,4.57633333333
244.17,3.46083333333,3.79408333333,5.07841666667,4.18504929194,3.42629166667,5.205875,19.9706666667,0.352833333332,6.05875,3.41175,6.07825
244.55,4.52466666667,5.0115,6.20933333334,5.23514488017,4.91129166667,6.56270833334,21.1625833333,1.51766666667,7.51241666666,4.54375,6.85375
244.92,4.74516666667,5.35975,6.11895833334,5.19557652506,4.98470833333,6.90083333334,21.4389166667,1.83491666667,7.57408333333,5.07066666666,6.43525
245.30,4.20916666667,4.38775,5.17433333333,4.74793082788,4.27316666667,6.64966666667,21.70925,1.3605,7.11733333332,4.48125,5.96091666666
245.67,4.5335,4.6505,5.56724999999,5.18341884531,4.506125,7.07695833333,22.4484166667,1.84141666667,7.63108333332,4.8065,6.281
246.05,3.38641666667,3.42341666667,4.041,3.89521377996,2.93925,6.26304166667,22.3750833333,0.45825,6.62524999999,3.47525,5.07241666667
246.42,4.09566666667,4.44716666667,4.632875,4.14245561002,3.0515,7.1945,23.5130833334,1.02733333333,7.10325000001,4.32895833333,5.69075
246.79,4.16675,4.54208333334,4.86745833333,4.44074210239,3.12504166667,7.22591666667,23.7486666667,0.782000000001,6.88191666668,4.457625,5.59941666667
247.17,4.07158333333,4.43458333333,4.65041666667,4.58315904139,3.05525,7.0895,23.6925833334,0.944499999998,6.81300000001,4.39970833333,5.87991666667
