wavelength,Back_GubCrim,Belly_GubCrim,Breast_GubCrim,Crissum_GubCrim,Crown_GubCrim,DorTail_GubCrim,Patch10_GubCrim,Patch11_GubCrim,Patch12_GubCrim,Rump_GubCrim,Throat_GubCrim,WingTip_GubCrim
611.27,26.1465833333,54.8675555555,35.3786666666,47.3345,9.66824999999,7.428125,23.5317212644,51.6216666667,52.1253333333,28.5410833333,6.72908333333,13.423125
611.60,26.1939166667,55.0146666666,35.4744166667,47.4449166667,9.72658333334,7.45704166667,23.6058821839,51.6705833333,52.1860833333,28.6070833334,6.7675,13.4797916667
611.93,26.1630833334,54.9906666667,35.3660833333,47.4158333333,9.71583333334,7.40804166667,23.6097442529,51.6210833333,52.199125,28.591,6.76083333334,13.436875
612.27,26.2084166667,55.0776666667,35.4409166667,47.4913333333,9.69041666666,7.415375,23.6507816092,51.70125,52.2725416666,28.6323333333,6.74883333333,13.508
612.60,26.29425,55.199,35.5615833333,47.6983333333,9.67958333333,7.375875,23.7194511494,51.8860833334,52.41425,28.73725,6.75875,13.5385416666
612.94,26.3758333333,55.2991111111,35.59475,47.7523333334,9.72424999999,7.44645833334,23.7447442529,51.96775,52.3729166666,28.7731666667,6.831,13.5999583333
613.27,26.45,55.3594444444,35.6044166667,47.82475,9.73983333333,7.50070833333,23.755729885,52.0339166667,52.307625,28.7770833333,6.83566666667,13.6612916667
613.61,26.3555833333,55.3835555556,35.5264166667,47.7894166666,9.71366666667,7.490125,23.7160804598,51.97075,52.1792083333,28.7414166667,6.81616666667,13.6450416667
613.94,26.3348333333,55.2274444444,35.42325,47.7106666667,9.67225000001,7.45816666666,23.6872471264,51.94875,52.108625,28.67825,6.77883333333,13.6221666667
614.28,26.3084166667,55.2402222222,35.3944166667,47.6753333333,9.64033333332,7.43595833333,23.6630287357,51.9121666666,52.0441666667,28.6626666667,6.76883333333,13.638375
614.61,26.4140833333,55.4086666667,35.6006666667,47.8524166667,9.64141666667,7.43645833334,23.7223649425,52.108,52.12025,28.6938333333,6.82075,13.7202083333
614.94,26.3724166667,55.503,35.6215833333,47.8790833333,9.56466666667,7.31816666667,23.6427844828,52.1616666667,52.1762916667,28.6750833333,6.75775,13.684
615.28,26.4355833333,55.5164444445,35.695,47.95075,9.58725000001,7.355625,23.6742356322,52.2328333334,52.2378333333,28.7123333333,6.80025,13.7465833333
615.61,26.5285,55.7,35.8924166667,48.08475,9.64575000001,7.44145833333,23.7637212644,52.35075,52.347375,28.8478333333,6.85808333334,13.8504583333
615.95,26.6341666667,55.8061111111,35.976,48.1808333333,9.77458333334,7.56458333333,23.8279827586,52.421,52.41725,28.95375,6.95425,13.9550416667
616.28,26.6803333333,55.8662222222,36.0329166667,48.1543333333,9.86433333332,7.66395833333,23.8847385058,52.4285833333,52.4126666666,28.9855833334,7.06833333333,14.047
616.61,26.7289166667,55.9396666667,36.111,48.1994166667,9.88441666666,7.6795,23.9498505747,52.45875,52.5175833333,29.0348333333,7.10325,14.062625
