wavelength,Back_TanNivm,Belly_TanNivm,Breast_TanNivm,Crissum_TanNivm,Crown_TanNivm,DorTail_TanNivm,Patch10_TanNivm,Patch11_TanNivm,Patch12_TanNivm,Rump_TanNivm,Throat_TanNivm,WingTip_TanNivm
429.37,5.07066666667,38.2467333333,27.3495333333,19.7765333333,21.0525333333,5.91133015873,8.50179999999,16.3614666666,5.57746666667,26.8418666667,16.2896,6.84657833333
429.72,5.05133333333,38.3030666667,27.5270666667,19.7792,21.1765333333,5.90608888889,8.50993333334,16.4440666667,5.5656,26.9484666667,16.3726,6.82062166666
430.08,5.0474,38.3672666667,27.6850666667,19.7758,21.3132666667,5.91197460317,8.53473333334,16.5372666667,5.57773333334,27.0480666667,16.4558,6.836565
430.44,5.09173333333,38.4886,27.9037333333,19.8225333333,21.4781333333,5.97793968254,8.59593333333,16.6740666667,5.62486666667,27.2070666667,16.6095333334,6.88920166667
430.79,5.09726666667,38.5876,28.0819333333,19.8622,21.6012666667,5.98086666667,8.64153333333,16.7817333333,5.627,27.3422,16.6919333333,6.89397833334
431.15,5.11326666667,38.7315333333,28.2972666667,19.9061333333,21.7704,6.00569206349,8.67866666666,16.8935333333,5.63533333333,27.5140666667,16.805,6.91818666667
431.50,5.1024,38.7818,28.4435333333,19.9108,21.8742666667,5.9924,8.68213333333,16.9580666667,5.61626666667,27.6184,16.8665333334,6.92095833333
431.86,5.07526666667,38.8898666667,28.6259333333,19.9225333333,21.9940666667,5.98832380953,8.68820000001,17.0469333333,5.59753333333,27.7606,16.9556,6.91283333333
432.22,5.0492,38.9008,28.7496666667,19.9109333333,22.0664,5.97236825397,8.69186666667,17.0879333333,5.57406666667,27.832,17.0012,6.89773333333
432.57,5.07606666666,39.0261333333,28.9256666667,19.9907333333,22.2306,6.01165079365,8.73893333333,17.1947333333,5.6116,27.9856,17.1288,6.93000666667
432.93,5.11106666667,39.1238,29.0959333333,20.0212,22.3610666666,6.05659047619,8.7934,17.2963333333,5.6412,28.1151333333,17.2316,6.96424833333
433.29,5.13746666667,39.2009333333,29.2522666667,20.0652666667,22.4994666667,6.10432380953,8.83473333333,17.3834666667,5.67993333333,28.2430666667,17.3242,6.98270666667
433.64,5.15206666666,39.2829333333,29.4013333333,20.0944,22.6234,6.13405714286,8.87666666666,17.4809333333,5.70253333333,28.3501333333,17.3987333333,7.02599
434.00,5.1574,39.3184666667,29.5246666667,20.1193333333,22.7253333333,6.15558412699,8.90326666666,17.5495333333,5.70306666667,28.4357333333,17.4761333333,7.03538166667
434.35,5.15946666667,39.375,29.6686,20.1532,22.8583333333,6.17608253968,8.93259999999,17.6379333333,5.699,28.5377333333,17.5468,7.04433
434.71,5.17286666667,39.4702666667,29.8258666667,20.192,23.0081333333,6.19786666667,8.95833333334,17.733,5.70833333333,28.6656,17.6512666667,7.07226
435.07,5.17766666667,39.472,29.9313333333,20.1932,23.0906,6.21188253968,8.97346666666,17.7975333333,5.714,28.7144666667,17.7144,7.07397166667
435.42,5.19666666667,39.5544666667,30.1100666667,20.2372666667,23.2478666667,6.23672063492,9.00986666667,17.8923333333,5.738,28.8309333333,17.8054,7.081675
435.78,5.21526666667,39.5902,30.265,20.2671333334,23.3674666667,6.25092380953,9.02919999999,17.9823333333,5.75906666667,28.9167333333,17.8923333333,7.08300833333
436.13,5.2466,39.6980666667,30.4675333333,20.3139333334,23.5444666667,6.28412063492,9.06946666667,18.1136,5.78753333333,29.055,18.0298666667,7.12048
436.49,5.22873333333,39.7455333333,30.6371333333,20.3111333333,23.6556666667,6.26813333333,9.07259999999,18.1898666667,5.7634,29.1596666667,18.1109333333,7.11050166667
436.84,5.21306666667,39.7852,30.8054,20.3174,23.7690666667,6.25452698413,9.08333333333,18.2482,5.75366666667,29.2543333333,18.2008,7.09748833333
437.20,5.185,39.8379333333,30.988,20.3122666667,23.8755333333,6.22597777778,9.07240000001,18.3200666667,5.72366666667,29.3378666667,18.2812666667,7.09476
437.56,5.16233333333,39.9070666667,31.189,20.3375333333,24.0021333333,6.19144126984,9.07666666667,18.3936,5.701,29.4727333333,18.3672666666,7.07750333333
437.91,5.1576,40.0017333334,31.405,20.3744,24.1306,6.18828571429,9.09246666667,18.486,5.69966666667,29.5913333333,18.4590666667,7.08237166667
438.27,5.15086666667,40.0332,31.5858,20.3861333333,24.2316666667,6.17886666667,9.09606666667,18.558,5.693,29.6817333333,18.5478666667,7.06850666667
438.62,5.147,40.0791333333,31.7744666667,20.4126,24.336,6.16743492063,9.1022,18.6387333333,5.68813333333,29.7797333333,18.6296666667,7.05841333333
438.98,5.13473333333,40.1271333334,31.9379333334,20.4314666667,24.4584,6.15442222222,9.11626666666,18.7186666667,5.693,29.8852,18.7207333334,7.06395166667
439.33,5.1212,40.1612666667,32.0885333333,20.4420666667,24.5408,6.15490793651,9.11946666666,18.7962666667,5.67833333333,29.9630666667,18.7978666667,7.064985
439.69,5.105,40.2213333333,32.2436,20.4515333333,24.6580666667,6.14476190476,9.11793333333,18.8694666667,5.66933333333,30.061,18.8690666667,7.06261
440.04,5.10226666667,40.2774666667,32.3833333333,20.4723333333,24.7789333333,6.1422984127,9.1316,18.9505333333,5.6662,30.1458,18.9275333333,7.06252666667
440.40,5.1278,40.3324,32.5438666667,20.5112666667,24.9010666667,6.17198412699,9.16019999999,19.0404,5.68266666667,30.2384,19.002,7.07523666667
440.75,5.13426666666,40.3672666667,32.6841333333,20.5360666667,25.0244666667,6.18254285714,9.17486666667,19.1440666667,5.69446666667,30.3202666667,19.0774666667,7.094035
441.11,5.15273333333,40.4220666667,32.822,20.5638,25.1479333333,6.20056190476,9.2114,19.2309333333,5.71286666667,30.414,19.1549333333,7.10427333333
441.47,5.15886666667,40.4734666667,32.9572666667,20.5888666667,25.2661333333,6.22626349207,9.22486666668,19.3212,5.71193333333,30.4856,19.2350666667,7.10699666667
441.82,5.1498,40.5026666667,33.082,20.5948666667,25.3704,6.21961904762,9.22113333333,19.3911333333,5.70686666667,30.5572666667,19.2968,7.09565
442.18,5.15426666667,40.5945333333,33.2596,20.6337333333,25.5062666667,6.2265968254,9.2458,19.4975333333,5.71233333333,30.6678,19.3752666667,7.109365
442.53,5.1366,40.6745333333,33.4284,20.6471333333,25.6528,6.22722222222,9.26333333334,19.6002666667,5.70486666667,30.7732666667,19.4652666666,7.102415
442.89,5.17126666667,40.7666,33.6457333333,20.6956666667,25.8260666667,6.26325714286,9.30886666667,19.7247333333,5.71806666667,30.9207333333,19.5694666667,7.12459166667
443.24,5.18613333333,40.8501333333,33.8384,20.7214666667,25.9892,6.27966984127,9.33779999999,19.8223333333,5.7292,31.0381333333,19.6782,7.155
443.60,5.20953333333,40.9362,34.06,20.7496,26.1608666667,6.31273650793,9.39933333333,19.9508,5.74993333333,31.1837333334,19.8138,7.18659166667
443.95,5.21706666667,41.0383333333,34.313,20.7793333333,26.3278666667,6.32663809524,9.43786666666,20.0714666667,5.7648,31.3523333333,19.9512,7.189865
444.31,5.19853333333,41.1229333334,34.5162666667,20.7866,26.4751333333,6.30915873016,9.44960000001,20.1739333333,5.758,31.4809333333,20.0589333333,7.191825
444.66,5.2036,41.2651333333,34.7575333333,20.8413333333,26.6433333333,6.32670476191,9.4884,20.2968666667,5.76133333333,31.6504,20.1888666667,7.21133833333
445.02,5.1854,41.2940666667,34.9170666667,20.8308,26.7524,6.31278095238,9.4904,20.3704666666,5.7338,31.7284,20.2580666667,7.19734833333
445.37,5.17153333333,41.3116666667,35.0640666667,20.822,26.8474,6.30142222222,9.4948,20.4306,5.72166666667,31.8128,20.3172,7.18908833333
445.72,5.181,41.3534,35.2126666667,20.8319333333,26.97,6.30490476191,9.53019999999,20.5102,5.72433333333,31.9114666667,20.403,7.19952
446.08,5.17473333333,41.3546,35.3132,20.8185333333,27.0756,6.29635873016,9.542,20.5629333333,5.72873333333,31.9812666667,20.4687333333,7.18896666667
446.43,5.19286666667,41.3782666667,35.4388,20.8267333333,27.1732666667,6.30901904762,9.56006666667,20.6314666667,5.7384,32.0525333333,20.5313333333,7.201155
446.79,5.1822,41.4070666667,35.5569333333,20.8297333333,27.2744666667,6.30116190476,9.56573333333,20.6948,5.72566666667,32.1076,20.596,7.19675166667
447.14,5.17633333333,41.4664666666,35.7017333333,20.8472,27.4036666667,6.30217460317,9.57940000001,20.7902666667,5.72986666667,32.2038,20.6686,7.19605666667
447.50,5.16446666667,41.4870666667,35.8128666667,20.8396666667,27.4911333333,6.29217460317,9.5868,20.8428,5.71366666667,32.2558666667,20.7042,7.17964833333
447.85,5.14946666667,41.5023333333,35.9305333333,20.838,27.594,6.28907936508,9.57866666666,20.909,5.693,32.3124,20.7512,7.17715333333
448.21,5.15126666667,41.5254,36.0331333334,20.8400666667,27.7015333333,6.29364126985,9.58273333333,20.9742,5.68546666667,32.3744,20.8053333333,7.17815833333
448.56,5.151,41.5624666667,36.1620666667,20.8508,27.8414666667,6.2926984127,9.59906666667,21.0549333333,5.6912,32.4416,20.8687333333,7.17826333333
