wavelength,Back_SpoLeuf,Belly_SpoLeuf,Breast_SpoLeuf,Crissum_SpoLeuf,Crown_SpoLeuf,DorTail_SpoLeuf,Patch10_SpoLeuf,Rump_SpoLeuf,Throat_SpoLeuf,WingTip_SpoLeuf
411.13,6.94444444444,18.2956666667,7.98188888889,9.25122222223,4.99544444444,5.557,10.3366666667,5.56333333333,17.4293333334,6.75244444444
411.49,6.98944444446,18.3686666667,8.04922222222,9.33644444443,5.05833333333,5.55133333333,10.3813333333,5.65144444444,17.5158888889,6.83488888889
411.85,7.01422222221,18.4327777778,8.11033333333,9.37511111111,5.06366666667,5.55455555556,10.3878888889,5.64122222222,17.543,6.85322222222
412.21,7.01288888889,18.5031111111,8.14,9.40855555555,5.05211111111,5.57288888889,10.3553333333,5.63344444444,17.5434444444,6.88188888889
412.57,7.06822222222,18.5253333333,8.21888888889,9.498,5.09666666667,5.60888888889,10.4014444444,5.68288888889,17.6107777778,6.90622222222
412.92,7.12977777777,18.6115555555,8.30722222222,9.54966666666,5.14344444444,5.71355555556,10.5075555556,5.78566666667,17.7273333334,6.97144444444
413.28,7.17733333335,18.695,8.35255555555,9.57799999999,5.18777777778,5.77411111111,10.5612222222,5.827,17.8257777778,7.00822222222
413.64,7.16966666668,18.7425555556,8.36033333334,9.60322222221,5.15788888889,5.788,10.5785555555,5.81455555556,17.8634444444,7.01222222222
414.00,7.17055555556,18.7878888889,8.38388888889,9.60166666668,5.13788888889,5.814,10.6133333333,5.81077777778,17.9385555555,7.03811111111
414.36,7.14077777777,18.7942222222,8.35433333333,9.57777777779,5.12511111111,5.792,10.605,5.75577777778,17.9433333333,6.99866666667
414.72,7.13300000001,18.7663333333,8.31633333333,9.55455555557,5.10122222222,5.75555555555,10.5873333333,5.66855555556,17.9268888889,6.94522222222
415.07,7.25722222222,18.861,8.43733333333,9.6677777778,5.16611111111,5.84533333333,10.6846666667,5.766,18.0058888889,7.06933333333
415.43,7.2618888889,18.9262222222,8.45688888889,9.68377777779,5.14644444445,5.89944444444,10.7267777778,5.78188888889,18.0305555555,7.057
415.79,7.32766666667,19.009,8.53211111111,9.79466666668,5.21944444444,5.94688888889,10.8103333333,5.82844444444,18.1366666667,7.12411111111
