wavelength,Back_DacVenm,Belly_DacVenm,Breast_DacVenm,Crissum_DacVenm,Crown_DacVenm,DorTail_DacVenm,Patch10_DacVenm,Patch11_DacVenm,Rump_DacVenm,Throat_DacVenm,WingTip_DacVenm
216.70,-75.8096000001,-187.428666667,-134.21245641,-126.4762,-170.476066667,-171.047633333,-89.9049999999,-120.190333333,-120.571533333,-132.380866667,-94.5712666667
217.08,-122.2988,-248.7356,-188.717994872,-190.8046,-234.2528,-228.850633333,-140.9196,-161.3792,-173.333333333,-181.838933333,-120.689566667
217.46,-1286.66666667,-2056.66666667,-1755.0,-1813.33333333,-2070.0,-1896.66666667,-1376.66666667,-1446.66666667,-1566.66666667,-1663.33333333,-1297.5
217.83,-1231.66666667,-1863.33333333,-1674.35897436,-1821.66666667,-1925.0,-1826.66666667,-1311.66666667,-1378.33333333,-1446.66666667,-1625.0,-1337.5
218.21,1060.0,1796.66666667,1548.46153846,1691.66666667,1743.33333333,1623.33333333,1241.66666667,1270.0,1281.66666667,1555.0,1350.0
218.59,-1011.11113333,-1982.2222,-1787.52134872,-1995.55553333,-1911.11113333,-1864.4445,-1395.5556,-1435.55546667,-1355.55546667,-1706.66666667,-1393.3333
218.97,-117.407466667,-281.481466667,-249.800666667,-311.111133333,-268.518533333,-244.8147,-203.703533333,-212.5926,-170.7408,-258.148,-193.703666667
219.34,-93.0435333331,-219.4204,-193.199553846,-234.782533333,-218.260933333,-188.6956,-169.2754,-167.5362,-125.2174,-207.536266667,-140.579833333
219.72,-104.762,-233.6508,-236.923102564,-257.777866667,-234.285733333,-211.111066666,-208.889,-193.016,-146.031866667,-230.7936,-176.349233333
220.10,-107.936533333,-228.254133333,-237.069533333,-251.111066667,-222.539666667,-213.333433333,-218.0952,-213.968133333,-153.015866667,-234.9208,-198.095233333
220.47,-396.1904,-791.428666667,-762.490723077,-790.476266667,-721.904733333,-691.904799999,-783.809533333,-772.380933333,-568.5714,-770.476200001,-668.095266667
220.85,-277.0372,-585.1852,-555.612497435,-579.999933333,-528.148,-500.000000001,-594.814666667,-599.259333333,-459.2594,-608.8888,-489.259366667
221.23,-212.7778,-453.3334,-433.076897436,-436.6666,-413.888933333,-411.111066667,-472.222333333,-510.555466667,-376.111066667,-471.111066667,-425.8334
221.61,-100.266666667,-230.4,-199.630769231,-198.133333333,-205.333333333,-217.6,-216.533333333,-255.466666667,-186.666666667,-237.866666667,-214.4
221.98,-53.1578666667,-137.193,-118.812451282,-111.0526,-128.947466667,-135.964833333,-121.052733333,-161.403533333,-114.736733333,-149.122733333,-124.649166667
222.36,-48.2927333333,-120.9756,-110.656692308,-100.975533333,-116.2602,-128.699233333,-113.1706,-144.390133333,-107.967466667,-133.658533333,-114.390233333
222.74,-28.8460666667,-83.0769333333,-75.7001487179,-72.1795333333,-82.8206000001,-95.1283333333,-78.4616,-106.282133333,-75.5127333333,-101.153733333,-88.1409666667
223.11,-32.7892,-89.2516000001,-77.9068358974,-80.4081999999,-86.3946000001,-100.612266667,-75.238,-109.2516,-82.4489333332,-107.210933333,-91.2244
223.49,-50.3031333333,-141.616066667,-121.227728205,-128.080666667,-131.313066667,-158.888866667,-122.828333333,-168.282933333,-133.737266667,-172.929266667,-141.414166667
223.87,-74.7221999998,-198.888933333,-165.256405128,-189.444466667,-185.277733333,-204.722133333,-155.8334,-239.999933333,-189.444533333,-237.777733333,-187.7776
224.24,-135.789466667,-300.000133333,-230.742153846,-290.175333333,-288.070333333,-275.614066667,-232.2808,-331.9298,-282.4562,-338.9474,-260.877233333
224.62,-156.470466667,-350.1962,-263.981897436,-329.019666667,-325.097933333,-328.0393,-231.7646,-368.627533333,-319.608,-379.215666667,-299.019466667
225.00,-2040.0,-3526.66666667,-2743.07692308,-3446.66666667,-3253.33333333,-3511.66666667,-2666.66666667,-3770.0,-3186.66666666,-3683.33333333,-3155.0
225.38,-359.999933333,-666.666800001,-479.829051282,-662.962866667,-594.8148,-625.185233333,-449.6296,-724.4444,-548.148266667,-685.185133333,-578.148233333
225.75,-190.6666,-342.2222,-261.162307693,-382.666666667,-307.999933333,-312.888833333,-244.888866667,-404.888933334,-277.333333333,-336.888933333,-298.444366667
226.13,-130.980333333,-282.352866667,-221.417769231,-327.0588,-231.7648,-253.921566667,-213.725533333,-334.117733333,-215.2942,-262.745133333,-250.784333333
226.51,-112.463666667,-217.971,-151.9954,-249.275266667,-173.0434,-182.028866667,-162.608666667,-262.318866667,-164.927533333,-196.5218,-194.202766667
226.88,-186.25,-354.166666667,-239.134615385,-378.333333333,-270.0,-255.833333333,-261.25,-400.416666667,-253.333333333,-325.0,-311.25
227.26,-68.4445333334,-158.6666,-103.897482051,-161.111066667,-115.333333333,-110.222166667,-123.7778,-182.4444,-100.000066667,-148.222066667,-149.999966667
227.64,-56.6666666667,-119.833333333,-84.4102564103,-122.833333333,-88.1666666667,-83.2499999999,-90.3333333334,-135.166666667,-69.0,-111.5,-120.75
228.01,-87.7776666667,-166.852,-123.589666667,-158.148133333,-131.481533333,-126.666666667,-129.814866667,-172.222266667,-97.5925333333,-144.074133333,-159.9074
228.39,-44.1333333333,-97.7333333334,-76.1435897436,-91.0666666667,-69.3333333333,-84.4666666667,-73.8666666667,-101.2,-50.5333333333,-79.9999999999,-100.266666667
