wavelength,Back_NepOnem,Belly_NepOnem,Breast_NepOnem,Crissum_NepOnem,Crown_NepOnem,DorTail_NepOnem,Rump_NepOnem,Throat_NepOnem,WingTip_NepOnem
255.78,5.95953333333,7.10173333333,5.40673333333,5.443,4.75426666666,8.6924,6.0343,6.1092,9.46746666666
256.15,5.43726666666,6.81126666667,4.94006666667,4.85433333333,4.40233333333,8.4114,5.80123333333,5.74013333333,9.25659999999
256.53,5.15293333333,6.6712,5.02093333333,4.69526666667,4.5808,8.3962,6.10563333333,5.9672,9.276
256.90,5.68233333333,7.32846666667,6.08353333333,5.56666666667,5.61226666667,9.34246666667,6.92093333333,6.8322,10.1034666667
257.28,6.01226666667,7.66926666667,6.4448,5.50326666667,6.1882,9.5942,7.07806666666,7.0036,10.3827333333
257.65,5.9178,7.57673333333,6.4552,5.39046666667,5.99486666667,9.64233333333,7.0279,6.8178,10.1595333333
258.02,5.00426666667,6.52426666667,5.6118,4.45806666666,5.07986666667,8.67186666667,6.08703333334,5.632,9.05533333334
258.40,4.60133333333,5.94906666667,5.0898,4.0408,4.5616,8.04693333333,5.54313333333,5.09213333333,8.4554
258.77,4.47573333334,5.67446666667,4.84126666667,3.8446,4.2974,7.83726666667,5.32643333334,4.78466666667,8.2354
259.15,4.33106666667,5.4774,4.7002,3.78893333333,4.12906666667,7.51586666666,5.14326666667,4.7198,8.0618
259.52,3.856,5.0572,4.28393333333,3.36913333333,3.60553333333,6.96746666667,4.7046,4.3396,7.66566666666
259.89,3.8006,4.92493333333,4.27053333333,3.3108,3.52046666667,6.9048,4.6682,4.2958,7.60126666666
260.27,4.03106666667,5.10273333333,4.4616,3.5082,3.64086666667,7.01966666667,4.81136666667,4.46,7.7432
260.64,4.1296,5.22813333333,4.45506666667,3.5786,3.6548,7.0526,4.78436666667,4.46466666667,7.72726666667
261.01,4.16513333333,5.21253333333,4.39826666667,3.57913333333,3.54913333333,6.925,4.68893333333,4.40606666667,7.67646666666
261.39,4.0836,5.13266666667,4.20753333333,3.56866666667,3.3666,6.81766666667,4.60496666667,4.30613333333,7.5568
261.76,3.8304,4.94166666667,3.90953333333,3.3876,3.116,6.53506666667,4.40243333333,4.09533333333,7.302
262.13,3.97806666667,5.10246666667,4.04066666667,3.6462,3.25353333333,6.7378,4.61326666667,4.43166666667,7.54073333333
262.51,3.821,4.94786666667,3.9082,3.5478,3.09426666667,6.5812,4.42043333333,4.35206666667,7.35153333333
262.88,3.75746666666,5.01986666667,3.8976,3.651,3.1578,6.56013333333,4.42,4.418,7.31653333333
263.25,3.68213333333,4.9664,3.82766666667,3.76766666667,3.09066666667,6.56506666667,4.38213333334,4.42146666667,7.17253333333
263.63,3.913,5.10253333333,3.91546666667,4.04633333333,3.38733333333,6.85526666667,4.56053333333,4.6598,7.18973333333
264.00,3.9434,5.19053333333,3.88346666667,4.15026666667,3.37426666667,6.89546666667,4.5302,4.73586666667,7.0806
264.37,3.21833333333,4.50966666667,3.25253333333,3.48806666667,2.7132,6.32046666667,3.98466666667,4.04426666667,6.32326666667
264.75,2.513,3.79953333333,2.67406666667,2.916,2.15886666667,5.72533333333,3.42696666667,3.45713333333,5.91826666666
265.12,2.13113333333,3.36926666667,2.1772,2.55446666667,1.75386666667,5.44286666667,3.18653333333,3.0382,5.45126666667
265.49,2.29693333333,3.49913333333,2.3592,2.88093333333,1.93106666667,5.6146,3.39853333334,3.18166666667,5.68833333333
265.87,2.42493333333,3.493,2.47733333333,2.981,2.0562,5.71973333333,3.38836666667,3.31953333333,5.78306666667
266.24,2.71386666667,3.64433333333,2.57033333333,3.20566666667,2.2488,5.73633333333,3.4915,3.43966666667,5.95693333333
266.61,3.1084,4.02606666667,2.9576,3.58633333333,2.58693333333,5.97646666666,3.91486666667,3.92646666667,6.49806666667
266.98,3.28886666667,4.15553333333,3.17026666667,3.65686666667,2.7926,6.1358,4.08646666667,4.12113333333,6.6962
267.36,3.35133333333,4.1184,3.15413333333,3.69273333333,2.89693333333,6.15693333333,4.0738,4.07266666667,6.6618
267.73,3.4046,4.08753333333,3.19186666667,3.66866666667,2.8552,5.99793333333,4.0149,3.99393333333,6.60113333333
268.10,3.56446666667,4.17353333333,3.244,3.75906666667,2.93966666667,6.0346,4.1529,4.12326666666,6.76973333333
268.48,3.9384,4.4062,3.55146666667,3.98566666667,3.28826666667,6.2776,4.33203333333,4.48726666667,7.07146666667
268.85,4.05606666667,4.4718,3.70473333333,4.036,3.38446666667,6.4132,4.46863333333,4.612,7.0246
269.22,3.84586666667,4.456,3.67906666667,3.86126666667,3.33886666667,6.25406666667,4.30693333333,4.5748,6.89493333333
269.59,3.6508,4.288,3.5756,3.56686666667,3.26553333333,6.11986666667,4.2116,4.40646666667,6.75273333333
269.97,4.03273333333,4.6146,3.95946666667,3.92146666666,3.5562,6.41866666667,4.5327,4.667,7.08266666667
