wavelength,Back_PhrUnif,Belly_PhrUnif,Breast_PhrUnif,Crissum_PhrUnif,Crown_PhrUnif,DorTail_PhrUnif,Rump_PhrUnif,Throat_PhrUnif,WingTip_PhrUnif
791.78,14.4962666666,26.0544,22.6794666667,23.9435333333,15.4442666667,16.9150666667,14.3032666667,21.8803666667,16.4222
792.08,14.4457666667,26.2248666667,22.7275333333,23.7973333333,15.3556666667,16.9281333333,14.2614666667,22.0160333333,16.5674666667
792.39,14.4629666667,26.3046666666,22.8354,23.749,15.2676,16.8888666667,14.2264,21.969,16.6296
792.70,14.9096333333,26.5476666667,23.0828,23.7890666667,15.4516,16.9991333333,14.5648,22.0731,16.7570666667
793.01,13.6209,25.1894,21.8374,22.5905333333,14.3349333333,15.688,13.383,20.7986666667,15.3981333333
793.32,12.6665333333,24.6309333333,21.3921333333,22.0609333333,13.7792,15.0368666667,12.9506,20.5719666667,14.7508
793.62,12.3151666667,23.8370666667,20.7262666667,21.3224666667,13.2786666666,14.2611333333,12.4684666667,19.9977666666,14.2610666667
793.93,11.9744333333,23.3291333333,20.3665333333,21.0492666667,12.8150666667,13.7084,12.0521333333,19.6036333333,13.9317333333
794.24,12.1547,23.4942,20.5767333333,21.2413333333,12.9320666667,13.8516666667,12.4388,19.6198333333,14.2445333333
794.55,11.7176,23.1525333333,20.2538,20.7776,12.2936,13.1420666667,12.1522,19.087,13.7743333333
794.86,11.2686666667,22.7610666667,19.9836,20.4051333333,11.7997333333,12.8206,11.9154666667,18.7209333333,13.4075333333
795.16,11.1714666667,22.6081333333,19.8802,20.3596666667,11.527,12.8909333333,11.7336666667,18.5101333333,13.1719333333
795.47,10.8912333333,22.3806666667,19.5985333333,20.0287333333,11.3706666667,12.7063333333,11.4279333333,18.3465666667,12.6737333333
795.78,10.6946333333,22.0719333333,19.2686,19.671,11.2532,12.6103333333,11.2330666667,18.0886666667,12.3257333333
796.09,10.9431333333,22.2261333333,19.498,19.9838666667,11.6332666667,12.8638,11.5158666667,18.3283,12.6976666667
