wavelength,Back_RamNigf,Belly_RamNigf,Breast_RamNigf,Crissum_RamNigf,Crown_RamNigf,DorTail_RamNigf,Rump_RamNigf,Throat_RamNigf,WingTip_RamNigf
201.95,-407.6924,-338.974466667,-542.0512,-274.359066667,-232.3076,-573.333266667,-436.4104,-259.999933333,-384.102533333
202.33,-1398.33333333,-1216.66666667,-1801.66666667,-823.333333333,-754.999999999,-1776.66666667,-1356.66666667,-828.333333334,-1240.0
202.71,834.166666667,780.833333333,1001.66666667,507.5,518.333333333,958.333333333,803.333333334,532.5,720.833333333
203.09,1458.66666667,1326.66666667,1684.0,845.333333333,906.666666667,1569.33333333,1296.0,945.333333332,1158.66666667
203.47,600.0,528.717933333,678.974400001,364.615333333,369.7436,638.974333333,504.615333333,386.1538,486.153866667
203.85,935.833333334,797.499999999,1055.83333333,560.833333333,562.5,959.166666667,773.333333333,595.833333333,730.000000001
204.22,388.070266667,323.859733333,449.8246,228.421066667,233.684266667,393.3334,333.333133333,252.631733333,324.912333333
204.60,231.875,187.5,270.416666667,142.916666667,129.791666667,237.708333333,200.833333333,138.541666667,199.375
204.98,202.222266667,151.851866667,224.073933333,121.481333333,102.963066667,202.962933333,166.1112,111.6668,174.444666667
205.36,161.418533333,118.723533333,174.042533333,97.1630666666,84.539,167.092266667,141.418266667,90.78,140.0
205.74,142.539533333,111.428666667,152.169266667,95.4497333333,84.8676666667,144.8678,130.7936,89.7354666665,126.455
206.12,120.177866667,93.3334,129.6,86.3999333334,72.6222,123.2,113.777733333,77.5112666667,108.266666667
206.50,108.837266667,87.5193333333,118.914733333,86.434,69.6898666667,116.046666667,110.7752,74.5736,101.937933333
206.87,102.740866667,85.4073333333,114.148266667,84.8147333333,68.2222666667,112.5186,109.851866667,74.2222,98.8888666666
207.25,95.0175333333,81.6840666666,108.351,78.6666,65.6843333333,110.035066667,107.158,72.0702,92.2104
207.63,91.3195999999,81.2500666666,107.361133333,73.3333333333,62.9167333333,105.625133334,108.472066667,70.9028,87.2916666667
208.01,93.0583333333,81.7182666667,108.384866667,72.165,61.9243333333,103.573933333,108.728466667,70.9966,87.2851333333
208.39,90.2266000001,79.7410666667,106.342933334,73.9159333333,60.7766666667,99.1584666667,105.7606,71.0681333333,84.4660000001
208.77,88.7850666667,79.3769333333,106.3552,73.3334,61.8068,94.8286666667,101.931466667,73.3956,81.9939333334
209.14,87.8467333333,80.413,107.079733333,75.0443333333,67.2566,92.5073333333,101.710933333,76.1062666667,80.4719333333
209.52,83.4392666666,78.7302,100.211733333,74.6559999999,68.6243333333,87.3015333334,96.9841333334,75.1852666667,77.1428
209.90,88.3589333333,84.6665333333,101.8974,80.1536666667,72.6665333333,92.5641333333,101.025666667,80.2564666667,82.3589999999
210.28,91.1110666667,89.5090000001,104.496133333,83.1526,75.3488,98.8630666667,105.633066667,83.6692,86.3049333334
210.66,91.7874000001,88.1159333333,102.4638,80.1449333333,76.1352,98.2125999999,103.043333333,83.3815333333,85.5556666667
211.03,105.737733333,98.8525333334,118.360466667,89.8361333335,85.5737333334,112.076666667,114.207666667,91.8580666666,97.4316666667
211.41,110.655733333,103.442733333,123.224133333,93.9343333333,88.6339333333,114.753933333,116.721333333,94.2077333333,99.6721333333
211.79,107.046066667,99.2411999999,119.8916,92.6287333333,85.4200666667,109.5936,110.135466667,90.6774666667,95.5553999999
212.17,110.644066667,106.162533333,125.5462,99.7757999999,92.6610666667,114.117733333,116.022466667,94.7339333333,100.5602
212.55,118.654466667,115.902133333,133.8838,105.5046,98.7155333334,121.101,123.914333333,98.8379333334,106.421866667
212.92,120.653533333,120.000066667,136.013133333,107.5164,99.9999333335,126.339666667,128.8888,99.7385333335,111.2418
213.30,128.046,132.337,143.295066667,111.954,99.3867999999,131.800733333,139.310333333,100.996266667,117.164866667
213.68,142.857,145.801,160.9524,121.471933333,104.935,143.0302,153.852866667,108.831266667,127.0996
214.06,179.753066666,183.456733333,206.913666667,147.284066667,125.555466667,176.2964,193.827133333,128.0248,152.839533333
214.44,192.296333333,197.037066667,226.814933333,150.5186,131.555533333,175.999933333,203.407466667,130.814866667,155.703733333
214.81,249.3828,260.7406,308.1482,185.678933333,147.160466667,219.259266667,268.148066667,153.8272,195.308733333
215.19,200.666666667,209.999933333,247.1112,145.7778,121.333333333,175.1112,225.777733333,123.333266667,166.000066667
215.57,331.666666667,356.666666667,419.166666667,265.833333333,205.833333333,288.75,391.666666667,190.416666667,310.833333333
215.95,576.296266666,607.407266667,717.037066667,487.407466666,391.851933333,511.1112,685.1852,316.296266667,575.5556
216.32,459.999933333,462.424333333,567.878666666,346.666666667,303.636333333,409.697,533.9394,246.060666667,443.6364
216.70,345.0,318.333333333,410.416666667,252.5,231.25,315.416666667,378.75,205.833333333,337.916666667
217.08,330.8772,295.4386,380.0,232.280666666,222.807,284.5614,343.157866667,205.263,298.596533333
