wavelength,Back_DigCyam,Belly_DigCyam,Breast_DigCyam,Crissum_DigCyam,Crown_DigCyam,DorTail_DigCyam,Patch10_DigCyam,Rump_DigCyam,Throat_DigCyam,WingTip_DigCyam
659.65,9.89046666667,10.0889333333,9.40166666667,10.1376666667,12.2064666667,8.9926,5.39413333333,8.6236,11.2089333333,11.1948
659.98,9.84406666666,10.0319333333,9.33439999999,10.0638,12.1356,8.94026666667,5.34766666667,8.59033333333,11.1608666667,11.1007333333
660.31,9.73199999999,9.90493333334,9.22673333333,9.9064,12.0116,8.8516,5.25806666667,8.467,11.0622666667,10.9876666666
660.63,9.76766666668,9.957,9.28433333333,9.96873333335,12.0145333333,8.89206666667,5.307,8.51026666667,11.0533333333,11.0171333333
660.96,9.96233333333,10.1588,9.49733333333,10.1944666667,12.1742,9.05326666667,5.50673333333,8.6656,11.2651333333,11.2449333333
661.29,9.94639999999,10.1448666667,9.47719999999,10.1417333333,12.1269333333,9.03033333334,5.5672,8.6888,11.2183333333,11.2883333333
661.62,10.0901333333,10.3407333333,9.70366666666,10.3447333333,12.3534,9.22506666668,5.73113333334,8.85006666667,11.4349333333,11.5004666666
661.94,9.97953333335,10.2848,9.67833333334,10.3217333333,12.3308,9.15133333334,5.67126666667,8.79626666667,11.4069333333,11.4856666667
662.27,9.98680000001,10.2794666666,9.67346666666,10.3372666667,12.3507333333,9.1198,5.69486666667,8.8212,11.4672,11.5316
662.60,10.0316666667,10.2870666667,9.72126666668,10.3708,12.3438,9.18353333333,5.69653333333,8.88073333333,11.5209333333,11.5616666667
662.93,10.0125333333,10.2565333333,9.68913333334,10.3306666667,12.2598666667,9.12866666667,5.74833333333,8.81993333334,11.4879333333,11.5595333333
663.26,10.062,10.2474,9.72446666667,10.3503333333,12.2730666667,9.174,5.784,8.86466666667,11.5476666667,11.6408666667
663.58,10.0906,10.3118,9.81019999999,10.3770666667,12.3623333333,9.22066666667,5.85593333333,8.92046666667,11.5954666667,11.7494666667
