wavelength,Back_TanCucm,Belly_TanCucm,Breast_TanCucm,Crissum_TanCucm,Crown_TanCucm,DorTail_TanCucm,Patch10_TanCucm,Patch11_TanCucm,Rump_TanCucm,Throat_TanCucm,WingTip_TanCucm
188.67,-93.7777333333,-300.4444,-124.444466666,-150.666533333,-147.1112,1.5554999998,-168.444466667,-169.333533333,-25.7778000001,-168.8889,-353.555566667
189.05,-41.1110666667,-172.5,-75.5554666667,-80.5554666667,-88.0554000001,13.0555666666,-84.4444666666,-95.0000666667,-14.7222666666,-95.1389999999,-216.250066667
189.43,-24.6296,-120.185133334,-43.1482666667,-54.0740666667,-58.3332666667,-3.42593333332,-47.9630000001,-55.3703333335,-13.3332666667,-63.4259999999,-141.574166667
189.81,7.87886666668,-68.6362666667,-9.84853333335,-12.2728,-27.8786666667,13.9393666667,-9.39386666668,-20.606,4.69700000001,-38.3333999999,-103.409066667
190.19,38.6111333333,-36.5276666666,15.1388,5.00000000002,-4.30559999998,32.5695666667,19.5832666667,11.5278,25.9721333333,-23.9584999999,-76.5277666667
190.57,49.1304666667,-33.4782,19.4203333333,4.92746666665,-2.02900000002,37.0290333333,26.8116666667,21.4491333333,26.6667333334,-22.3911000001,-76.5942666667
190.95,54.2856666667,-32.6984,14.7618666667,7.77773333333,-12.3809333333,36.9048,29.5237999999,24.1270000001,31.4286666667,-31.2698333334,-80.3968666667
191.33,56.7346000001,-18.5035333333,21.4964,15.5103333333,-7.75506666665,41.7687666666,35.1019333333,28.4353999999,28.8435333333,-24.1496666667,-60.3400333333
191.71,65.3622666667,-8.26086666667,23.3333333333,23.0434666667,3.62320000001,59.0579999999,52.1738666667,42.6087999999,36.8116666667,-18.4057333333,-55.6520666667
192.09,82.8333333335,-7.5,23.3333333333,31.6666666667,7.66666666668,70.1666666665,70.1666666667,58.3333333332,41.3333333333,-21.2500000001,-51.5
192.47,73.6666666665,-16.6666666667,6.99999999998,30.5,-0.66666666664,67.0833333332,65.4999999999,49.3333333334,41.1666666667,-23.4999999999,-60.6666666667
192.85,74.6874666667,17.3958,27.7083333333,52.4999333333,33.1250666667,74.1666666667,71.4581333334,59.8958666667,52.6040666667,11.0417,-14.6352333333
193.23,74.6079333334,29.7056666667,38.1372,60.2942666667,44.0194,77.7940999999,75.6862,64.9018666667,56.6668,17.7942333333,-7.30396666666
193.61,79.0867333332,41.0959333333,45.2054,64.6574666666,50.8676,86.5297666667,79.9999333334,68.3104666667,59.8172666667,24.2466,-3.1507
193.99,61.111,28.4028,34.3750666667,47.0139333333,38.8193333334,66.1111333333,58.1250666666,51.5276666667,44.5139333333,23.3333333333,-0.9376
194.37,55.0292666667,25.6141333333,32.3976666667,39.9416,36.959,58.4502666666,52.1052666666,45.4387333333,37.7778,24.006,1.579
194.75,53.5150666667,24.6667333333,31.5757333333,38.8485333333,39.9393333333,57.1819666667,52.1211999999,46.9090666667,35.8786666666,21.2728,1.18203333333
195.13,52.8612,27.5516,33.5693333333,37.5222,43.5399333333,59.2330666667,53.3923333334,50.3245333333,31.7993333333,22.0942666667,3.89366666667
195.51,50.3922666667,29.9019333333,35.0491333333,36.1765333333,43.5782666667,55.6618333333,51.1763999999,50.2451333333,32.5,25.8825333333,10.4900333333
195.89,57.0666666667,38.7998666667,44.4888666666,44.7556,51.7778,62.7778666667,58.9332000001,58.8888,41.9111333333,36.0222,21.3332
196.27,62.8071333333,46.7105333333,53.4648666667,51.3598,59.386,68.9913,66.1403333333,65.9648666667,50.3070666667,43.2237,26.5568666667
196.65,66.8789333333,52.2717333333,59.5752666667,55.7114,62.5901333333,73.0786333333,70.9131333333,71.4650666667,52.1444666667,46.4968666667,31.5287666667
197.03,66.6207333333,51.1264,61.0114666667,54.7586666667,62.115,75.7011333333,71.5400666666,76.5978666666,54.5747333333,46.0461333333,35.0116333333
197.40,70.2128666666,53.5698666667,64.87,59.4799333333,66.6194666667,80.7800999999,75.6501333333,84.0188666668,58.3924666667,50.5676333333,39.8817666667
197.78,67.4704000001,50.8746666667,64.2080666667,60.2364,65.8156,76.714,75.8865999999,86.2883333334,56.5484,49.6926666667,39.5980666667
198.16,73.9107333334,59.1600666667,74.2782666667,69.6586666667,76.3254666667,86.2468333333,86.6142666666,99.685,63.8844666667,54.3832,44.6454333333
198.54,70.0839999999,57.8712,74.9580666667,70.1960666667,75.7423333333,82.2690333333,85.0980000001,99.6079333334,62.9131333333,54.0616666667,44.6780333333
198.92,69.9713333333,58.1196666667,72.9913333334,68.9458666667,70.1994,78.8604,83.5327333332,95.7265333333,63.8176666667,52.9344,39.7436
199.30,65.3436000001,54.0458666667,68.7022666667,65.4452,64.9364,69.5674666667,77.8116666667,88.0915333333,62.0355333333,47.3790333333,38.4476666667
199.68,69.1934666667,61.0752666667,71.0752666667,71.8278666666,70.2151333333,72.3923666667,85.5377333333,92.1506,66.7204,50.914,41.0484666667
