wavelength,Back_TanMexf,Belly_TanMexf,Breast_TanMexf,Crissum_TanMexf,Crown_TanMexf,DorTail_TanMexf,Patch10_TanMexf,Patch11_TanMexf,Rump_TanMexf,Throat_TanMexf,WingTip_TanMexf
646.16,5.71286666667,64.2303333333,17.6606,56.9204666667,4.06013333333,6.00133333333,6.7868,16.6876,21.7953333333,13.0138,7.55546666667
646.49,5.75046666667,64.2924666667,17.651,56.9262,4.0634,6.01246666667,6.80733333333,16.6732666667,21.7801333333,13.0565333333,7.55306666667
646.82,5.88846666667,64.3646,17.7989333333,56.9345333333,4.17106666667,6.12833333333,6.89886666667,16.7787333334,21.9024666667,13.1344,7.6618
647.15,5.93966666667,64.412,17.8374,57.0203333334,4.27106666667,6.20673333333,6.9432,16.8166666667,21.9390666667,13.1834,7.73066666667
647.48,5.94993333333,64.3999333334,17.8647333333,57.058,4.31333333333,6.2338,6.9424,16.7592666667,21.9256,13.1780666667,7.76213333333
647.81,5.977,64.369,17.8180666667,57.0455333333,4.34473333333,6.22566666667,6.97213333333,16.7214666667,21.9014666667,13.1728666667,7.7596
648.14,6.07133333333,64.4065333333,17.8846,57.1106,4.4166,6.29326666667,7.08106666667,16.7621333333,21.9648,13.2673333334,7.84246666667
648.47,6.18913333333,64.3370666667,17.9995333333,57.0608,4.5144,6.3992,7.23666666667,16.8467333334,22.0518666667,13.3672666667,7.9762
648.80,6.269,64.5058,18.0868666666,57.1382666667,4.57333333333,6.48793333333,7.30946666667,16.9618,22.1370666667,13.4914666667,8.05013333333
649.13,6.38206666667,64.5443333333,18.1588666667,57.1958,4.64946666667,6.6258,7.4144,17.0492666667,22.2038,13.5884,8.14993333333
649.46,6.40266666667,64.5416666667,18.1560666667,57.2002666667,4.66553333333,6.64073333333,7.42313333333,17.0225333333,22.1643333333,13.5660666667,8.14593333333
649.79,6.37893333333,64.6086666667,18.1408,57.2712666667,4.6598,6.62366666667,7.4232,17.017,22.1434666667,13.5763333333,8.14226666667
650.11,6.38053333333,64.4936666667,18.1057333333,57.1957333333,4.665,6.6444,7.43326666667,17.0073333333,22.1284666666,13.5323333333,8.1578
650.44,6.35273333333,64.7077333333,18.1402,57.3894666667,4.621,6.64313333334,7.453,17.0104,22.1382666667,13.5882666667,8.19086666668
650.77,6.27106666667,64.6918666667,18.0293333333,57.3322,4.52253333333,6.5724,7.38073333333,16.9227333333,22.0574,13.4902666667,8.09420000001
651.10,6.3214,64.7890666667,18.0842666666,57.3881333333,4.5698,6.59866666667,7.3912,17.0278666667,22.1400666667,13.5356,8.15613333333
651.43,6.38586666667,64.9357333334,18.1899333333,57.4895333333,4.62033333333,6.65006666666,7.4398,17.0987333333,22.2149333333,13.6142,8.27233333334
651.76,6.36013333334,65.0092,18.1393333333,57.5274,4.60946666667,6.64713333333,7.4258,17.0892666667,22.1675333333,13.5504666667,8.28393333333
652.09,6.38966666667,65.0846,18.1396666667,57.6382666667,4.63046666667,6.64573333333,7.39586666667,17.0610666667,22.1450666667,13.5609333333,8.29153333335
652.42,6.24866666667,64.9062666667,17.9997333333,57.5525333333,4.49006666667,6.45246666667,7.24013333333,16.869,22.0188,13.3884,8.14486666666
652.75,6.23806666667,64.8960666667,17.9508,57.5069333333,4.49326666667,6.41713333333,7.20146666667,16.7775333333,21.9689333333,13.3418,8.16439999999
653.08,6.3576,64.9608666667,18.0907333333,57.5818,4.6092,6.528,7.34013333333,16.9040666667,22.0834666667,13.4567333333,8.32873333333
653.41,6.37226666667,64.9015333333,18.0672,57.4752,4.61013333333,6.5704,7.35306666667,16.828,22.0608666667,13.4550666667,8.3826
653.74,6.32186666666,65.092,18.0726,57.5770666667,4.53953333333,6.53533333333,7.26266666667,16.7846,22.0564,13.4380666667,8.35893333333
654.06,6.22846666667,64.7685333333,17.9048666667,57.2473333333,4.45086666667,6.4304,7.08246666667,16.6177333333,21.8638,13.2505333333,8.22506666666
654.39,6.33053333333,64.7659333333,18.0102666667,57.2542,4.56526666667,6.5562,7.1162,16.6885333333,21.9103333333,13.3724666667,8.33546666668
654.72,6.34186666667,64.7736666667,17.9669333334,57.2724,4.5604,6.5922,7.1044,16.6839333333,21.8424666667,13.3920666667,8.32939999999
