wavelength,Back_HemFlam,Belly_HemFlam,Breast_HemFlam,Crissum_HemFlam,Crown_HemFlam,DorTail_HemFlam,Patch10_HemFlam,Rump_HemFlam,Throat_HemFlam,WingTip_HemFlam
421.16,3.80453333333,45.6623666666,27.6797333333,6.903,2.79966666667,5.71693333333,31.2885333333,4.09566666667,3.9856,5.38693333333
421.51,3.8138,45.6972333333,27.7080666667,6.87353333333,2.806,5.73053333333,31.3085333333,4.08466666667,3.97386666667,5.38593333334
421.87,3.82906666667,45.7200333333,27.7313333334,6.83726666666,2.81,5.73286666667,31.3204666667,4.06326666667,3.96653333333,5.39613333334
422.23,3.8294,45.7056333333,27.742,6.80973333334,2.81833333333,5.72933333333,31.3214,4.04893333333,3.9562,5.39633333333
422.58,3.833,45.7344666667,27.7692666667,6.76966666666,2.82106666667,5.73773333333,31.3256,4.0256,3.94326666666,5.39133333333
422.94,3.84233333333,45.7656333333,27.7972666667,6.73026666667,2.82726666667,5.7412,31.3596,4.00366666667,3.93146666667,5.3914
423.30,3.852,45.7831666667,27.8043333333,6.7006,2.82686666667,5.744,31.3898,3.989,3.92386666667,5.3934
423.66,3.87073333333,45.7939,27.8175333333,6.67386666667,2.84046666667,5.75406666667,31.4036666667,3.98413333333,3.92,5.39933333333
424.01,3.8784,45.7829,27.8264666666,6.64613333333,2.84713333333,5.75726666667,31.3974,3.96446666667,3.9154,5.40426666667
424.37,3.86973333333,45.8139,27.8427333333,6.61126666666,2.85293333333,5.76553333333,31.4206666667,3.95153333333,3.89853333333,5.40773333333
424.73,3.8774,45.8819666667,27.8976666667,6.5958,2.85333333333,5.76733333333,31.4839333333,3.9404,3.89633333333,5.41126666667
425.08,3.89873333333,45.9060666667,27.9268,6.59133333333,2.8688,5.781,31.5316,3.9424,3.90873333333,5.424
425.44,3.899,45.9295666667,27.9490666667,6.56813333333,2.87453333333,5.773,31.5626,3.92466666667,3.90193333333,5.42573333334
425.80,3.9,45.9123,27.9474666667,6.5414,2.8806,5.77106666667,31.5670666667,3.91866666667,3.8942,5.42093333333
426.16,3.92033333333,45.996,27.9959333333,6.53333333334,2.9006,5.79326666667,31.6227333334,3.92566666667,3.9136,5.43993333333
426.51,3.92426666667,45.9929,28.0010666667,6.51546666667,2.90626666667,5.78433333333,31.6566666667,3.92186666667,3.9084,5.43193333333
426.87,3.92293333333,46.0272666667,28.0309333333,6.50313333333,2.89926666667,5.77586666667,31.6874,3.91606666667,3.8992,5.43106666667
427.23,3.92226666667,46.0368,28.0502666667,6.49146666667,2.90413333333,5.77166666667,31.6982666667,3.91073333333,3.90273333334,5.4332
427.58,3.90066666666,46.0406666667,28.031,6.46533333334,2.87686666667,5.75026666667,31.69,3.877,3.87086666667,5.40606666667
427.94,3.8926,46.0847666667,28.0445333333,6.44793333333,2.86486666667,5.73613333333,31.7178666667,3.8682,3.84753333333,5.38846666667
428.30,3.92133333333,46.158,28.0838,6.45873333333,2.87033333333,5.75393333333,31.7770666667,3.8716,3.86206666666,5.39626666667
428.65,3.89913333333,46.1400666667,28.0793333333,6.43539999999,2.85166666667,5.7418,31.7587333333,3.85926666667,3.83593333333,5.37393333333
429.01,3.87646666667,46.1168,28.0426666667,6.40373333333,2.822,5.718,31.7077333333,3.83,3.8048,5.35646666667
429.37,3.8612,46.148,28.0500666667,6.38999999999,2.80333333333,5.71346666667,31.7147333333,3.81906666667,3.78413333333,5.3372
429.72,3.84313333333,46.2191,28.0706666667,6.3886,2.7838,5.71,31.7425333333,3.81153333333,3.7778,5.33186666667
430.08,3.83586666667,46.2347666667,28.071,6.38986666667,2.773,5.70733333333,31.7586,3.80353333333,3.75153333333,5.3264
430.44,3.85486666667,46.3244666667,28.1274666667,6.43080000001,2.7962,5.74506666667,31.8087333333,3.82546666667,3.77246666667,5.35933333334
430.79,3.87053333333,46.3809333333,28.1455333333,6.46366666667,2.815,5.76906666667,31.8316,3.84146666667,3.78993333333,5.39006666667
431.15,3.87793333333,46.5286,28.2316666667,6.47886666667,2.8338,5.78746666667,31.8982666667,3.8542,3.80346666667,5.42193333333
431.50,3.88066666667,46.6068,28.2818,6.49446666666,2.83906666667,5.79666666667,31.9368,3.86566666667,3.8068,5.4286
431.86,3.86553333333,46.6551333333,28.2942666666,6.50306666666,2.83786666667,5.79713333333,31.9520666667,3.86593333333,3.807,5.4314
432.22,3.8538,46.6291,28.2728,6.49939999999,2.82433333333,5.7718,31.9181333333,3.85433333334,3.7914,5.41606666667
432.57,3.87746666667,46.7134,28.3093333333,6.53993333333,2.84886666667,5.78733333333,31.9593333333,3.88066666667,3.81746666667,5.42533333333
432.93,3.8768,46.7939333333,28.3454666667,6.55006666667,2.84626666667,5.77673333333,31.9786666667,3.891,3.8178,5.41486666667
433.29,3.88286666667,46.8160333333,28.3394666667,6.57320000001,2.848,5.78106666667,31.9648,3.89046666667,3.82493333333,5.42506666667
433.64,3.88753333333,46.8392333333,28.3454,6.58493333333,2.85126666667,5.77086666667,31.9585333333,3.89153333333,3.8184,5.42886666667
434.00,3.86753333333,46.9123333333,28.3675333333,6.56940000001,2.82913333333,5.74073333333,31.9632,3.87306666667,3.8016,5.40613333333
434.35,3.84106666667,46.9380666667,28.3503333333,6.56626666667,2.79993333333,5.69826666667,31.9604,3.84266666667,3.77653333333,5.38066666667
434.71,3.81946666667,46.9851666667,28.3494666667,6.55420000001,2.7794,5.6694,31.9583333333,3.8214,3.76333333333,5.35326666667
435.07,3.79893333333,46.9904666667,28.3115333333,6.55526666667,2.7524,5.6438,31.9364,3.80333333333,3.75133333333,5.31966666667
435.42,3.80053333333,47.0745666667,28.3332666667,6.5728,2.75193333333,5.64073333333,31.9665333333,3.80653333333,3.75653333333,5.3204
435.78,3.82993333333,47.1502333333,28.3755333333,6.60840000001,2.76033333333,5.655,32.0002,3.82586666666,3.78226666667,5.33626666667
436.13,3.83186666667,47.2839666667,28.422,6.64286666666,2.77053333333,5.65686666666,32.0361333333,3.838,3.80986666667,5.34826666667
436.49,3.8288,47.3645666667,28.4363333333,6.64219999999,2.75093333333,5.64873333333,32.0578666667,3.82173333333,3.79733333333,5.35053333334
436.84,3.85633333333,47.4941333333,28.5166666666,6.70479999999,2.78426666667,5.69013333333,32.1421333333,3.85013333333,3.841,5.38006666667
437.20,3.8616,47.6140333333,28.5608,6.72266666667,2.78773333333,5.69166666667,32.1875333333,3.86453333333,3.86,5.38953333333
437.56,3.85893333333,47.7374333333,28.6058,6.75266666667,2.7922,5.70253333333,32.2402,3.87233333333,3.87973333333,5.3884
437.91,3.87573333333,47.8046666667,28.6345333333,6.79920000001,2.813,5.72833333333,32.2623333333,3.90173333333,3.91066666667,5.40973333333
438.27,3.87406666667,47.8380333333,28.6306,6.80559999999,2.8168,5.74246666667,32.2408666667,3.90953333333,3.92653333333,5.40886666667
438.62,3.89093333333,47.9578333333,28.6982,6.83599999999,2.82386666667,5.76206666666,32.2942666667,3.92633333333,3.94193333333,5.4236
438.98,3.89486666667,47.9953,28.7156,6.85033333333,2.83013333333,5.76806666667,32.2966,3.9332,3.939,5.4248
439.33,3.89926666667,48.0429666667,28.7342,6.86433333334,2.8412,5.77146666667,32.3006,3.93173333333,3.9492,5.43106666667
439.69,3.8734,48.0911666667,28.7296666667,6.85213333334,2.83153333333,5.74613333333,32.2881333333,3.90746666667,3.91926666667,5.4118
