wavelength,Back_TanNivf,Belly_TanNivf,Breast_TanNivf,Crissum_TanNivf,Crown_TanNivf,DorTail_TanNivf,Patch10_TanNivf,Patch11_TanNivf,Patch12_TanNivf,Rump_TanNivf,Throat_TanNivf,WingTip_TanNivf
807.44,13.3984444444,42.5873888889,29.5246666666,40.4993333333,24.3731111111,15.0666666667,12.8946666667,18.4241111111,15.0246666667,29.5981111111,17.207,19.8406666667
807.74,13.6223888889,42.9987777778,29.7033333333,40.5295555555,24.1428888889,15.1208888889,13.4536666667,18.9616666667,15.184,29.7455555556,17.6427777778,20.2596666667
808.05,13.8457222222,43.1173888889,29.7548888889,40.9088888889,24.468,14.7967777778,13.4965555556,19.0738888889,15.2696666667,29.1208888889,17.3113333333,20.0085555556
808.35,12.9983333333,42.7749444445,29.2574444444,40.9491111111,23.9977777778,13.9138888889,12.2277777778,18.5815555556,13.9808888889,28.9112222222,16.6833333333,19.2627777778
808.66,12.2007222222,42.5107222222,28.622,40.5658888889,23.1348888889,13.427,11.7727777778,18.184,13.0847777778,28.4736666667,16.3243333333,19.3246666666
808.97,11.7073333333,42.2745555555,28.507,40.4514444444,22.6042222222,13.1366666667,11.8866666667,17.9282222222,12.7431111111,28.5186666666,16.0994444444,19.2128888889
809.27,10.2545555556,41.3821666667,27.7954444445,39.9272222222,21.5183333333,11.9674444444,11.2401111111,17.5291111111,11.7798888889,27.4433333333,15.4052222222,18.6906666667
809.58,9.70144444444,41.0421666667,27.7895555556,39.9951111111,21.6631111111,11.5275555556,10.7185555556,17.4518888889,11.2418888889,27.1947777778,14.9298888889,18.665
809.88,8.91472222223,40.7611111111,27.5575555555,39.5864444444,21.2921111111,10.9153333333,10.1444444444,17.3396666666,10.9521111111,26.7988888889,14.1581111111,17.8782222222
810.19,8.50455555556,40.0512777778,26.5784444444,38.7297777778,20.8884444445,10.8052222222,9.91188888889,16.9114444444,10.4257777778,25.9913333333,13.6808888889,17.4008888889
810.49,9.61394444446,41.104,27.5797777778,39.7424444444,21.8141111111,12.163,10.9873333333,17.8296666667,11.0245555555,26.7507777778,14.489,18.4235555555
810.80,9.93916666666,41.2946666667,27.5918888889,40.1535555555,22.0362222222,12.773,11.3467777778,18.3904444444,11.2103333333,27.4677777778,14.571,18.9732222222
811.10,10.2173888889,41.2103888889,27.2873333334,40.5957777778,22.4084444444,13.3581111111,11.9554444444,18.6221111111,11.6202222222,27.6474444444,14.4632222222,19.0688888889
811.41,11.9222777778,41.8830555556,28.6985555555,41.2122222222,23.8808888889,15.3678888889,13.77,20.5878888889,13.5503333333,29.2231111111,16.6605555555,21.0148888889
811.71,12.0121111111,42.4186666667,28.3991111111,41.3371111111,23.3533333333,15.4861111111,14.0442222222,20.6812222222,14.0691111111,29.1324444444,16.5175555555,21.3152222222
812.02,11.3039444445,42.4470555556,27.7198888889,41.5287777778,23.4167777778,15.0931111111,13.0378888889,20.3595555556,13.6801111111,29.0044444444,15.748,20.7195555556
812.32,11.6627222222,43.4724444445,28.6445555555,42.2642222222,24.166,16.4304444444,13.1206666666,21.1584444444,14.0268888889,29.7215555556,16.207,21.2371111111
812.63,13.7069444445,45.1332222222,30.1548888889,43.4775555555,26.076,18.9247777778,15.1501111111,22.8975555556,15.6934444444,31.638,17.4943333333,22.6723333334
812.93,14.3943333334,45.7192777778,30.6513333333,44.4178888889,26.2914444444,19.4743333333,16.1051111111,23.1602222222,16.1844444444,32.1442222222,18.4172222222,23.1735555556
813.24,14.8576111111,44.9658888889,30.694,43.5816666667,26.2906666666,19.7245555555,16.5186666667,23.3937777778,16.2094444445,31.7753333333,19.248,23.7284444445
813.54,16.3931666667,45.4245,31.8567777778,43.668,27.9114444445,21.0642222222,17.9458888889,24.1057777778,17.6148888889,32.8371111111,20.644,24.9586666666
