wavelength,Back_SalFulm,Belly_SalFulm,Breast_SalFulm,Crissum_SalFulm,Crown_SalFulm,DorTail_SalFulm,Rump_SalFulm,Throat_SalFulm,WingTip_SalFulm
244.55,7.36319999999,3.65507536231,3.03476666667,3.66733333333,3.75273333333,10.4405666667,5.31626666667,3.75280000001,13.7313333333
244.92,6.62666666667,3.87420289855,2.53333333334,3.54666666667,3.57333333333,10.08,5.32000000001,3.22666666667,12.82
245.30,4.21180000001,1.99086376811,-0.238966666668,1.61493333333,1.38253333333,7.3902,3.11366666666,0.826800000001,10.8010333333
245.67,5.32399999999,2.49639710145,1.27843333333,2.6386,2.77866666667,7.75826666667,4.37819999999,1.261,11.5761666667
246.05,6.11633333333,3.86507826087,2.87633333333,3.7902,4.14333333333,9.52753333334,5.98120000001,2.9076,12.7777
246.42,6.1662,3.82932753623,4.0036,3.90933333333,4.20213333333,9.54670000001,6.31726666667,3.49406666667,12.8753666667
246.79,6.344,4.67748115942,5.07426666667,4.99353333334,4.637,10.6922333333,6.7176,4.87903333333,13.4180333333
247.17,6.78313333333,5.58918550725,5.5361,5.2758,4.5764,11.3246666667,6.60446666667,5.20193333333,13.8849666667
247.54,7.07033333334,6.13424637681,6.39503333333,5.9546,5.3744,12.6651666667,6.79879999999,6.04973333333,14.8422
247.92,8.5088,7.74294782609,8.35253333334,7.51473333334,6.85446666667,13.9692,7.77906666667,7.54606666667,16.3120666667
248.29,8.17619999999,7.48565797102,8.07383333333,7.17226666667,6.33873333333,13.8696,7.54793333333,7.27443333333,16.3182333334
248.67,6.5754,6.13936811594,6.46316666667,5.98586666667,4.67373333333,12.7228,6.4842,6.0947,15.2771666667
249.04,5.86753333333,5.03117971014,5.47516666667,5.0974,3.83733333334,12.1706666667,5.64426666666,5.414,14.6615666667
249.42,6.66666666667,5.66547246377,6.44313333333,5.5164,4.82786666667,12.9926666667,6.57866666666,6.2967,15.0549333333
249.79,6.79746666666,6.59246086957,6.86653333333,6.0284,5.26713333333,13.4100666667,6.9896,6.95116666667,15.3556666667
250.17,6.95333333333,7.1752057971,6.86336666667,5.85586666667,5.34,13.8002333333,6.69946666667,7.07203333333,15.1883
250.54,7.50446666666,8.29770144928,7.1891,6.44226666666,6.41613333333,15.1252666667,7.02940000001,7.74173333333,16.0018
250.92,8.27073333334,8.6439884058,7.14156666667,6.47853333333,6.828,15.1076333333,7.51793333333,7.63879999999,16.3442
251.29,8.21293333333,8.50768115943,6.92116666666,6.574,7.5184,14.5417,7.51846666667,7.27316666667,16.4768333333
251.66,8.52993333333,8.81821159421,6.86793333333,6.62926666667,7.32213333334,14.4803666667,7.89326666667,7.14893333334,16.0861666667
252.04,8.62073333333,8.34179710146,6.19726666667,6.70493333333,7.203,14.4348666667,7.87346666667,7.15046666667,15.6178666667
252.41,10.1040666667,9.39471594203,7.69883333333,8.41866666667,8.77846666667,15.7718333333,8.95846666668,8.81153333334,16.6761333333
252.79,12.8882666667,11.9639391304,10.6537333333,11.4974666667,11.6643333333,18.229,11.6827333333,11.0106,18.8319
253.16,13.732,13.6418376812,11.8589666667,12.7584666667,12.7955333333,19.3925666667,12.8696666667,12.1094333333,19.6848333333
253.54,14.4018666667,14.2514086956,12.5957,13.7400666667,13.4657333333,20.2457666667,13.6453333333,12.7187,20.6809
253.91,13.9651333333,13.274942029,12.0745,13.2863333333,12.8996,19.8726333333,12.9844666667,11.8341,19.6227
254.28,13.8431333333,12.5466086957,11.7461,13.0448,12.6215333333,18.9995666667,12.9292,11.5152333333,19.1196666667
254.66,13.8788666667,13.178115942,11.8304333333,13.4424666667,12.7184,18.7302,13.3629333333,11.8552,19.0128666667
255.03,12.8318,12.4014492754,11.5829333333,12.7901333333,11.4525333333,17.9728666667,12.5392,11.4681333333,17.8056666667
255.41,12.4028666667,11.8726898551,11.6530333333,12.4464666667,10.7608666667,17.7724666667,12.2058666667,11.7842666667,16.8036
255.78,12.4172666667,12.060742029,11.4625,12.3178666667,10.7505333333,17.6767666667,11.799,11.341,16.3024666667
256.15,11.9281333333,11.5743449275,10.6045666667,11.1764666667,10.1852,16.6504,11.5686666667,10.5718,15.0490333333
256.53,11.7516,11.8106028986,10.6847333333,10.4776666667,10.1910666667,16.1997666667,11.7302,10.8652,14.4532333333
256.90,8.75659999999,8.08501159419,7.9572,6.50999999999,7.06373333334,12.9049666667,8.42206666666,8.26533333333,11.2854
