wavelength,Back_CamPaum,Belly_CamPaum,Breast_CamPaum,Crissum_CamPaum,Crown_CamPaum,DorTail_CamPaum,Rump_CamPaum,Throat_CamPaum,WingTip_CamPaum
803.76,26.5610333333,48.7793333334,28.4142,43.1121333333,19.5032,22.4955333333,28.863,18.8568666667,26.3046666667
804.07,26.4375,48.8443333333,27.7007333333,42.8771333333,19.4829333333,22.4664333333,28.4489333333,18.8017333333,25.7724333333
804.38,26.8415888889,48.5850666667,27.6918,42.4162666667,19.5083333333,22.6438666667,28.5311333333,19.0287333333,25.6865333333
804.68,25.8712555556,47.0622666667,26.4268666667,40.9234666667,18.3574,21.196,26.8464666667,17.6678,23.9387666667
804.99,24.7544666667,46.4287333333,25.1905333333,39.7256,16.9442,20.3627333333,25.6296666667,16.0657333333,22.7691666667
805.30,25.2844444445,47.081,25.8687333333,40.5256666667,17.1676,21.5492,26.1966666667,16.3760666667,23.5373
805.60,24.4923333333,46.5854666667,25.011,40.2125333333,16.4698,21.1902333333,25.6546,15.4888666667,22.8554333333
805.91,24.7206888889,46.7417333333,24.703,40.3500666667,16.7292666667,21.6480333333,25.8975333333,15.6912,23.1646666667
806.21,24.6702777778,46.7891333333,24.2918,40.7422,16.102,21.5423666667,25.7438,15.3341333334,22.6491666667
806.52,24.1491,46.0109333333,23.9273333333,39.9804,15.3976,20.8536,24.9010666667,14.8392,21.9443
806.83,24.2994333333,46.3268,24.1569333333,40.1961333333,15.634,21.2025666667,24.4248666666,15.3334,21.6668666667
807.13,24.9653111111,46.9509333333,24.7506666667,40.8126666667,16.1611333333,21.4668666667,24.7109333333,16.0223333333,21.9790333333
807.44,23.8437111111,46.0568666667,23.4416666667,39.9051333333,14.7766,19.9051,23.6925333333,14.3021333333,20.6098333333
807.74,23.4136888889,45.5058,23.5097333333,39.4500666667,14.5620666667,19.9049,23.7202,14.3855333333,20.8077333333
808.05,24.3254111111,46.9688666667,24.4488666667,40.3844666666,15.3175333333,20.9611666667,25.067,15.3654,21.8846
808.35,24.7441333333,46.5495333333,24.7176,40.3375333333,15.606,21.0433,24.9932666667,15.9090666667,22.0284333333
808.66,24.3788222222,45.893,24.2072666667,39.4888666667,15.3161333333,20.1865,24.2625333333,15.5439333333,21.4784
808.97,24.6232333333,45.9491333333,24.6603333333,39.4985333333,15.3116666667,20.331,24.333,16.1338,21.9156666667
809.27,24.6075555556,45.6532,25.1844,39.3725333333,15.6842666667,20.8583666667,24.1434,16.5323333333,21.9684
809.58,25.0263888889,45.859,26.2902666667,39.9246666667,16.5434666667,21.7075666666,24.8323333333,17.2415333333,22.8541333333
809.88,24.6419888889,45.8836,25.8978,39.4922,15.7107333333,21.1783666667,24.2328,16.4515333334,22.328
810.19,24.0302888889,45.2894,25.3035333333,38.7574666667,15.4704,20.6459333333,24.1603333333,15.7471333333,22.3359
810.49,23.1976555556,44.8380666667,24.2476666667,38.1642666667,14.5140666667,20.3025333333,23.2757333333,14.6797333333,21.4039666667
810.80,24.9156555556,46.2038666667,26.3533333333,39.188,16.0754666667,22.2114,24.3162666667,16.1110666667,22.7457
811.10,24.4139555555,46.038,25.3728666667,38.6914,15.1536,21.3085,22.9532,15.0219333333,21.2719333333
811.41,23.7467,45.3922,24.065,38.2050666667,13.65,20.5092,21.3951333333,14.0874666667,20.1583
811.71,23.0957,45.2485333333,23.4530666667,38.3274666667,13.0327333333,19.6224666667,20.5933333333,13.7728,19.2445666667
812.02,21.6870555556,44.1341333333,21.9645333333,37.2071333333,11.0769333333,18.2092333333,18.8718,12.5997333333,17.2545666667
812.32,20.0987,42.6683333333,19.6676,35.8070666667,8.93753333332,16.4640666667,16.8451333333,10.3324666667,14.5906
812.63,17.0591222222,40.9918,16.4987333333,33.4799333333,4.433,13.0315666667,13.7472,6.85646666667,11.0479
812.93,16.0624444445,40.5227333333,14.597,32.0611333333,3.40746666667,11.7736333333,12.1481333333,5.52506666667,9.36833333333
813.24,14.8584555556,38.8802,12.9834666667,31.0936,2.17846666667,11.0849,10.5862666667,4.55806666666,8.15839999999
813.54,15.7875,39.7798666667,13.6592,32.5582666667,2.00786666667,12.1005,10.9556666667,5.10793333333,8.64816666667
813.85,16.9348888889,40.1827333333,15.4916666667,33.7513333333,3.53346666667,13.6554,11.8972666667,7.31946666665,9.84326666665
814.15,16.3393111111,39.5133333333,14.9501333333,33.7506,2.9466,13.3811333333,11.7862,7.31853333335,9.6612
814.46,16.3124222222,39.7364666667,15.0021333333,34.2203333333,2.52973333333,13.7373666667,11.8314,7.56253333333,10.2504666667
814.76,17.4355666667,40.3192,16.4381333333,35.1788666667,4.61406666667,15.1056,13.3419333333,8.78833333334,11.7379
815.07,18.4348222222,41.226,17.4542666667,35.564,5.50873333333,16.3601666667,14.7808666667,9.53593333335,13.0439333333
815.37,18.5118222222,41.8449333333,17.6674666667,36.0225333333,6.0834,16.6755,14.8564666667,9.62566666666,13.4507666667
815.68,18.5020777778,41.8720666667,17.8908666667,35.5358666667,6.96313333333,16.9970333333,15.4512,10.8597333333,14.1296333333
