wavelength,Back_HemVerf,Belly_HemVerf,Breast_HemVerf,Crissum_HemVerf,Crown_HemVerf,DorTail_HemVerf,Rump_HemVerf,Throat_HemVerf,WingTip_HemVerf
402.16,9.49366666666,29.8981666667,20.14175,14.1435833333,9.89450000002,7.23325,10.41375,6.25016666666,8.20825
402.52,9.47774999999,29.9588333334,20.1559166667,14.1308333333,9.90199999999,7.19766666667,10.4110833333,6.27466666667,8.19858333333
402.88,9.42491666666,29.9619166667,20.1133333333,14.0564166666,9.83950000002,7.11825,10.33755,6.2315,8.11666666667
403.24,9.49108333333,30.0798333333,20.2528333333,14.17625,9.91741666666,7.15333333334,10.4153416667,6.30633333333,8.18575
403.60,9.57375000002,30.2005833333,20.3400833333,14.2745,10.00075,7.22158333333,10.480875,6.41016666667,8.29408333333
403.95,9.56775000001,30.2306666666,20.3435833334,14.3045833333,9.99791666668,7.21408333334,10.519925,6.42841666667,8.278
404.31,9.54791666666,30.277,20.3413333333,14.3205833333,9.96158333333,7.19558333334,10.4632333333,6.40916666667,8.25716666667
404.67,9.583,30.3276666666,20.3953333333,14.3653333333,10.0193333333,7.22616666667,10.4977,6.447,8.29091666667
405.03,9.59183333333,30.3945833333,20.44025,14.4174166667,10.0311666667,7.24475,10.50285,6.4735,8.27916666667
405.39,9.59291666666,30.42475,20.5195,14.4470833333,10.0360833333,7.24466666667,10.4923916667,6.48341666667,8.30691666667
405.75,9.56358333333,30.4305,20.5186666666,14.4695833333,10.01325,7.19425,10.4859083333,6.44983333333,8.23133333333
406.11,9.52375000002,30.36325,20.48575,14.442,10.00425,7.15808333333,10.4616583333,6.40691666667,8.177
406.47,9.51533333332,30.4065833333,20.5508333333,14.4809166666,10.0155833333,7.15033333333,10.4463416667,6.37691666667,8.17441666667
406.83,9.49116666665,30.4476666667,20.57775,14.4668333333,10.0351666667,7.151,10.4584666667,6.36191666667,8.17158333334
407.19,9.47174999999,30.4720833333,20.5498333333,14.44175,10.0231666667,7.13616666667,10.4274166667,6.33233333333,8.15525
407.55,9.42691666667,30.4816666667,20.5425833334,14.39775,9.96575,7.05416666667,10.36115,6.23241666667,8.0875
407.90,9.41358333333,30.47225,20.5759166667,14.37875,9.94483333334,7.025,10.33635,6.1865,8.05566666667
408.26,9.40999999998,30.486,20.5911666667,14.35825,9.93408333333,7.00183333333,10.3307583333,6.17191666667,8.04691666667
408.62,9.35808333335,30.5091666666,20.5754166667,14.33825,9.89633333332,6.92333333334,10.26755,6.11183333333,7.99058333333
408.98,9.34225,30.5498333333,20.6240833334,14.3554166667,9.91375,6.90541666667,10.2704666667,6.08266666667,8.02358333333
409.34,9.38491666666,30.637,20.6780833333,14.4213333333,9.98483333334,6.94608333333,10.3244416667,6.09833333333,8.04808333333
409.70,9.411,30.682,20.7245833334,14.43625,10.0160833333,6.97141666667,10.328975,6.09708333334,8.08525
410.06,9.51499999999,30.8900833333,20.8736666666,14.5599166667,10.0974166667,7.077,10.4281,6.19491666667,8.18216666667
410.42,9.55908333333,30.9171666667,20.8944166667,14.5949166667,10.1235833333,7.09891666666,10.4612,6.21908333333,8.20191666667
410.77,9.65466666665,31.0139166667,20.9738333333,14.71875,10.2146666667,7.17358333333,10.52615,6.31025,8.29491666667
411.13,9.69916666668,31.11575,21.0613333333,14.7878333333,10.2888333334,7.21725,10.5634583333,6.33933333333,8.36658333334
411.49,9.68308333332,31.2120833333,21.1108333333,14.81975,10.3149166667,7.24583333333,10.5810416667,6.34825,8.34075
411.85,9.73058333333,31.353,21.2255833333,14.9100833333,10.4443333333,7.33408333333,10.6676916667,6.44716666667,8.44416666667
412.21,9.72258333332,31.41275,21.2735833333,14.95,10.4695833333,7.36525,10.6947333333,6.44966666667,8.43875
412.57,9.74533333331,31.4910833333,21.2956666667,14.9850833333,10.4768333333,7.37116666667,10.7119166666,6.45625,8.42525
412.92,9.76841666668,31.5523333333,21.2950833334,14.997,10.50075,7.36625,10.7353166667,6.47016666666,8.40775
413.28,9.69125,31.59475,21.2595,14.943,10.4434166667,7.29241666667,10.68525,6.42166666667,8.35025
413.64,9.71975000001,31.7001666667,21.336,15.0170833333,10.5155,7.333,10.740025,6.47008333333,8.37808333333
414.00,9.62108333333,31.63525,21.2363333333,14.9269166667,10.4634166667,7.23366666667,10.6291416667,6.364,8.27358333333
