wavelength,Back_TanGyrf,Belly_TanGyrf,Breast_TanGyrf,Crissum_TanGyrf,Crown_TanGyrf,DorTail_TanGyrf,Patch10_TanGyrf,Patch11_TanGyrf,Patch12_TanGyrf,Patch13_TanGyrf,Rump_TanGyrf,Throat_TanGyrf,WingTip_TanGyrf
625.28,17.22825,26.9595833334,20.49975,24.9766666667,21.61375,7.539875,14.49,58.39475,46.8734166667,30.956875,17.7408333333,22.3308333333,11.2923333333
625.61,17.1059166667,26.8595,20.4401666667,24.8745833333,21.5655833333,7.52820833333,14.4124166666,58.26275,46.87975,31.0136666667,17.7054166666,22.2848333334,11.2854166667
625.95,17.0119166667,26.749,20.4103333333,24.8081666667,21.5451666666,7.56645833333,14.3644583334,58.15425,46.9323333333,31.1260833333,17.679,22.2719166667,11.3245833333
626.28,16.884,26.6923333333,20.3794166667,24.7644166667,21.5214166667,7.59975,14.318,58.0585833333,46.95725,31.23325,17.6606666667,22.2366666667,11.3963333334
626.61,16.8678333333,26.7180833333,20.3886666666,24.7905833333,21.5814166667,7.66595833334,14.3366666667,58.10775,47.067,31.3789583333,17.6828333333,22.303,11.4645833333
626.94,16.8645833333,26.709,20.39325,24.8138333333,21.6223333333,7.74504166667,14.36775,58.07625,47.1485,31.461,17.7188333333,22.3291666667,11.5671666667
627.28,16.8498333333,26.6965833333,20.4243333333,24.7998333333,21.65975,7.80920833333,14.412125,58.0673333333,47.2395833333,31.584,17.7444166667,22.3645833333,11.6145
627.61,16.7621666666,26.6533333334,20.3909166667,24.70225,21.6395833333,7.86854166667,14.389,57.893,47.1984166666,31.5955,17.7259166667,22.3156666666,11.6345833334
627.94,16.7615833333,26.6315833334,20.4081666667,24.635,21.6398333333,7.91608333333,14.3964583333,57.8745833333,47.2699166666,31.71375,17.7773333334,22.3125,11.6973333333
628.27,16.7695,26.637,20.4033333333,24.6323333333,21.7116666667,8.00583333333,14.3967083334,57.8415833334,47.3010833333,31.8359166667,17.8075,22.3476666666,11.7864166667
628.61,16.63375,26.46375,20.2514166667,24.4735833333,21.5886666666,7.923625,14.2824166667,57.66475,47.2251666667,31.842375,17.66375,22.2185,11.76675
628.94,16.4750833333,26.3085833333,20.1595833333,24.3924166666,21.4985833333,7.876875,14.1762916667,57.501,47.1651666666,31.8177916666,17.5735,22.10625,11.7243333333
629.27,16.4335,26.2544166667,20.15375,24.3784166667,21.5015833333,7.908,14.1756666667,57.4988333333,47.2261666667,31.8832916667,17.5256666667,22.0695,11.7700833333
629.60,16.3403333333,26.1754166667,20.0535,24.2863333333,21.46075,7.86741666667,14.1004166667,57.31475,47.1449166666,31.8593333333,17.4453333333,21.9886666667,11.7639166666
629.94,16.2968333333,26.079,19.9846666666,24.1993333333,21.4529166667,7.859,14.04425,57.1951666667,47.1636666667,31.87575,17.38,21.9230833333,11.7510833333
630.27,16.1903333333,25.9975,19.9173333333,24.0921666667,21.3610833333,7.78645833333,13.9679583333,57.0465833333,47.1408333334,31.9424583333,17.3085833333,21.8243333333,11.7296666667
630.60,16.049,25.7995833334,19.8034166667,23.9176666667,21.26625,7.71025,13.86375,56.8538333333,47.0543333333,31.9925,17.21175,21.6875,11.6583333333
