wavelength,Back_IncLaem,Belly_IncLaem,Breast_IncLaem,Crissum_IncLaem,Crown_IncLaem,DorTail_IncLaem,Patch10_IncLaem,Patch11_IncLaem,Rump_IncLaem,Throat_IncLaem,WingTip_IncLaem
832.65,37.2624166667,75.8931666667,37.7276666667,60.294,18.6431666667,14.26975,55.961,59.0339166667,26.2903333333,13.2948333333,24.9476666667
832.95,36.7105,75.2990833333,37.769,59.9164166667,18.4770833333,13.7773333333,55.5556666667,58.6408333334,25.8419166667,12.9621666667,24.8705
833.25,36.6325,75.5269166667,38.0706666667,59.8993333334,18.47325,13.5974166667,55.62475,58.3964166667,25.7420833333,12.96675,24.9436666667
833.55,37.11375,75.4669166666,38.4223333333,59.8415833334,19.0116666667,14.0733333333,55.8145,58.66325,26.1289166667,13.48175,25.289
833.85,37.0474166667,75.4560833333,38.5673333333,60.049,19.03475,13.9626666667,55.872,58.3670833333,25.8796666666,13.4185833333,25.2975
834.16,36.4095833333,75.06675,38.0665,59.623,18.40475,13.3806666667,55.4636666667,57.9168333333,25.316,12.7993333333,24.5729166667
834.46,35.9168333333,74.604,37.592,59.4095833333,17.8741666667,12.8648333333,55.1710833333,57.4675833333,24.8231666666,12.2188333334,24.083
834.76,34.9096666667,73.80225,36.6603333333,58.88025,16.8241666667,11.6388333333,54.3860833333,56.9421666667,24.2360833333,11.1675833333,23.0040833333
835.06,34.6629166667,73.4940833334,36.1834166667,58.4951666667,16.5201666667,11.1051666667,54.0903333333,56.6250833333,24.02725,11.0888333333,22.397
835.36,34.77025,73.06875,36.459,58.1295,16.597,11.5849166667,54.0719166666,56.089,24.3093333333,11.4186666666,22.2025833333
835.66,34.6533333333,72.7110833334,36.2916666667,57.94425,16.1796666667,11.4251666667,53.6495,55.566,23.9315,10.8988333333,21.7390833333
835.96,34.8263333333,72.97025,36.1938333333,57.9239166667,15.602,11.18975,53.7161666667,55.48175,23.5938333333,10.4185833333,21.4368333334
836.26,35.0951666667,73.0226666666,35.7684166667,58.1538333333,15.6944166667,11.4343333333,54.0721666667,55.6184166666,23.7804166667,10.3081666667,21.3738333333
836.57,35.573,73.22575,35.6145833333,58.317,15.7813333333,11.33575,54.4415,56.1438333333,23.8020833334,10.161,21.4524166666
836.87,34.9618333334,72.8141666667,35.0588333333,58.0413333333,14.9524166667,10.64025,53.9265833334,55.4123333333,22.8066666667,9.09016666668,20.96525
837.17,34.481,72.9565833333,34.3188333333,57.1773333333,13.8399166667,9.86474999999,53.8110833333,55.3894166666,22.2605833333,7.8085,19.9771666667
837.47,35.5531666667,74.3651666666,35.3578333333,58.0245,14.4884166667,10.6974166667,54.388,56.7180833333,22.9761666667,8.26508333334,20.85575
837.77,35.8746666667,75.3581666666,35.717,58.02925,14.5784166667,10.99225,54.74325,56.8465,23.6265833333,7.975,20.8365833333
838.07,37.7226666666,76.08925,37.4648333333,58.7881666667,17.3513333333,12.8920833333,55.98125,57.3929166666,25.7244166667,10.1404166667,22.9521666667
838.37,37.6348333333,75.418,37.74675,58.5868333333,17.78125,13.1054166667,55.4074166667,57.1486666667,25.4448333334,10.2045833333,22.9914166667
838.67,38.2995,75.067,38.10725,59.14,18.9711666667,13.7846666667,56.0029166667,57.795,26.18425,11.0046666667,23.7585833333
838.97,38.2643333333,74.3795,37.8049166667,58.3369166666,18.6628333334,14.0343333333,55.6861666667,57.4621666667,26.7356666667,11.4145833333,23.943
839.27,38.631,74.5808333334,37.856,58.65025,18.483,14.3810833333,55.6166666667,57.7244166667,27.3159166667,11.7370833333,23.6146666666
839.57,39.1516666667,75.4890833333,38.61575,59.3453333333,18.9336666667,14.7143333333,56.2903333333,58.2849166666,27.7716666666,12.2981666667,24.1763333333
839.87,39.1335,75.5146666667,39.01075,59.9026666667,18.9854166667,15.0519166667,56.0415833333,57.9744166667,27.6871666667,12.7365833333,23.8925833333
840.17,39.2619166667,75.80125,39.373,60.2478333334,18.961,15.1458333333,56.685,58.2681666667,28.3555,13.0350833333,23.9769166667
840.47,39.544,75.29325,39.43975,60.2563333333,19.4601666667,15.4973333333,56.3700833333,57.95725,28.4966666667,14.046,24.3835
840.77,39.3129166667,73.9646666667,39.2469166667,59.7474166667,19.3083333333,15.2026666667,56.49275,56.9104166667,28.399,14.192,24.0768333333
841.07,39.5459166667,72.6116666667,39.16425,59.8233333333,18.8119166667,14.9885833333,56.78225,56.59375,27.9718333333,14.31775,24.3295833333
