wavelength,Back_ParGulf,Belly_ParGulf,Breast_ParGulf,Crissum_ParGulf,Crown_ParGulf,DorTail_ParGulf,Rump_ParGulf,Throat_ParGulf,WingTip_ParGulf
262.13,7.1182,9.11863333333,5.53116666667,7.51173333333,3.1606,10.7006,5.47806666667,4.824,10.4349
262.51,6.8027,9.00876666667,5.5036,7.49333333333,2.88073333333,10.3202666667,5.02413333333,4.6877,9.93923333333
262.88,7.44736666667,9.40423333333,6.28506666667,7.9557,3.56693333333,10.9541333333,5.73606666667,5.32893333333,10.5704666667
263.25,7.69146666667,9.60003333333,6.40353333333,7.98243333333,3.68853333333,10.813,5.85373333333,5.68246666667,10.9328666667
263.63,7.77543333333,9.47136666667,6.48876666667,8.52883333333,3.85973333333,10.62,5.88546666667,5.9485,11.2188
264.00,7.67853333333,9.61143333333,6.47503333333,8.1353,3.84053333333,10.2446666667,5.56653333333,5.99546666667,11.5064
264.37,7.81526666667,9.69913333333,6.76626666667,8.3464,4.3746,10.3558,5.4526,6.31076666667,11.6851
264.75,7.34426666667,9.29350000001,6.39083333333,8.04056666667,4.09773333333,9.68753333333,5.37953333333,5.91556666667,11.119
265.12,7.1031,8.92056666666,6.21696666667,7.69836666667,3.84126666667,9.3492,5.0742,5.39963333333,11.0345
265.49,6.40353333333,8.00783333333,5.3177,6.97396666667,3.026,8.80213333333,4.30206666667,4.62746666667,10.4765333333
265.87,6.84523333333,8.401,5.60316666667,7.32463333333,3.26446666667,9.28339999999,4.73846666667,4.52693333333,10.8288
266.24,7.2042,8.63659999999,5.8974,7.74423333333,3.35313333333,9.19133333334,4.88173333333,4.60556666667,11.1637666667
266.61,7.1491,8.50459999999,5.48956666667,7.08393333333,3.10193333333,8.9774,4.7564,4.3343,11.0156333333
266.98,7.04856666667,8.57603333334,5.66016666667,6.88586666667,2.909,8.85426666666,4.49786666667,4.15593333333,11.0489333333
267.36,7.13443333333,8.92533333333,6.05063333333,7.06816666667,3.48626666667,9.40893333333,4.86886666667,4.47183333333,11.2433333333
267.73,7.30486666667,9.27293333333,6.44066666667,7.17643333333,3.8786,10.0975333333,5.09306666667,4.6698,11.2832666667
268.10,7.01373333333,9.2687,6.47676666667,7.09016666667,3.68033333333,9.98920000001,5.0992,4.23253333333,10.9780333333
268.48,6.90723333333,9.40826666666,6.52783333333,6.7036,3.3248,10.0996,5.26666666667,4.2004,10.8754666667
268.85,6.85056666667,9.4732,6.60886666667,6.62826666667,3.1514,10.443,5.20226666667,4.59426666667,10.7063333333
269.22,7.24376666667,9.95393333333,7.12893333333,6.79836666667,3.42113333333,10.7150666667,5.66293333333,5.0188,11.0810333333
269.59,7.63266666667,10.2888,7.39276666667,7.2321,3.90066666667,10.9538,6.01586666667,5.45046666667,11.2243
269.97,7.7661,10.1417,7.4123,6.96586666667,4.11026666667,11.0086666667,5.98653333333,5.60303333333,11.2978333333
270.34,7.79573333333,10.1727333333,7.57496666667,7.02193333333,4.24746666667,11.2941333333,6.00613333333,5.86783333333,11.1752
270.71,8.1141,10.2873666667,7.9926,7.5709,4.83606666667,11.7789333333,6.30946666667,6.11416666667,11.5984666667
271.09,8.36156666667,10.5614666667,7.84603333334,7.97486666667,4.9824,12.1397333333,6.64186666667,6.29946666667,11.5024333333
271.46,8.23556666667,10.2589666667,7.51206666667,7.7212,4.75306666667,12.0094666667,6.32373333333,6.1146,11.2723333333
271.83,8.1965,10.0302,7.25943333334,7.6743,4.67513333333,11.8052666667,6.2704,6.03856666667,11.3131666667
272.20,8.57746666667,10.0345,7.33533333333,7.83846666667,4.91973333333,12.0092,6.36513333333,6.08653333333,11.5502666667
272.58,8.4101,9.79666666667,7.1214,8.114,4.8768,11.6362,6.2536,6.01336666667,11.3832
272.95,8.33733333333,9.33773333333,6.79923333333,7.85373333333,4.63053333333,11.1314,5.98706666667,5.38383333333,11.2907666667
273.32,8.03606666667,8.68636666666,6.26596666667,7.616,4.37666666667,10.776,5.68386666667,5.13983333333,10.8572
273.69,7.9455,8.63249999999,6.38276666667,7.70673333333,4.24773333333,10.5014666667,5.61513333333,5.2927,10.8787333333
274.06,7.98093333333,8.7693,6.38646666667,8.0516,4.36246666667,10.5014666667,5.87353333333,5.55893333333,10.8553666667
274.44,7.86006666667,8.47766666666,5.98553333333,7.8618,4.1664,10.2454,5.7286,5.20266666667,10.9179333333
274.81,7.70206666667,8.35676666667,5.7623,7.62113333333,3.9656,10.0465333333,5.76053333333,5.15763333333,10.7477
