wavelength,Back_SpoPlum,Belly_SpoPlum,Breast_SpoPlum,Crissum_SpoPlum,Crown_SpoPlum,DorTail_SpoPlum,Patch10_SpoPlum,Rump_SpoPlum,Throat_SpoPlum,WingTip_SpoPlum
184.87,230.064886667,159.629666667,163.888933333,162.592533333,183.888833333,219.0742,120.555533333,195.493888889,124.8148,204.074033333
185.25,284.186666667,180.0,185.6,189.333333333,217.6,253.866666667,113.333333333,229.511111111,146.666666667,239.6
185.63,227.144266666,137.777866667,169.333333333,159.555466667,187.666766667,209.5556,87.4444333333,186.222266667,131.3334,199.888933333
186.01,182.18618,119.535,139.844933333,128.992133333,149.612366667,157.209333333,91.4728333333,152.299688889,115.193866667,166.666533333
186.39,203.38883,134.444466667,159.206466667,139.0476,164.047566667,170.476133333,105.952433333,174.232888889,132.5396,187.539533333
186.77,209.81398,141.705466667,168.527133333,148.527133333,171.705366667,169.1474,111.5503,172.041466667,133.798333333,193.721
187.15,316.2821,231.025533333,249.230733333,219.4872,263.589733333,246.666866667,160.3847,259.145333333,193.5898,303.076933334
187.53,347.682683333,250.476266667,281.904866667,246.3492,294.6032,271.111066667,176.507966667,294.814933333,197.777866667,334.444466667
187.91,397.03703,286.666733333,341.851866667,293.333333333,339.259233333,346.666733333,206.8518,346.419844444,218.518533333,403.703833333
188.29,282.407353334,202.469,241.975333333,215.0616,239.876533333,244.1976,157.283933333,248.806511111,174.074066667,286.296333333
188.67,473.404696667,308.095266667,376.6666,326.666533333,387.142833333,366.190533333,230.4761,381.904777778,275.7142,467.142766667
189.05,-603.5,-354.0,-438.666666667,-347.333333333,-454.666666667,-442.666666667,-245.333333333,-437.333333333,-324.666666667,-590.0
189.43,-1625.75,-1081.66666667,-1286.66666667,-881.666666666,-1249.16666666,-1248.33333333,-774.166666666,-1234.44444444,-858.333333334,-1584.16666667
189.81,-612.166666667,-412.0,-487.333333333,-300.0,-469.666666666,-476.0,-275.0,-452.666666666,-293.333333333,-595.333333333
190.19,-218.413333334,-125.6,-169.333333333,-86.6666666668,-175.333333333,-176.8,-76.0,-164.266666667,-98.1333333333,-200.933333333
190.57,-160.78161,-82.9884666667,-118.850666667,-49.1954666665,-129.310333333,-131.034466667,-52.5287333333,-123.908044444,-45.2872666666,-130.114933333
190.95,-172.999943334,-108.148133333,-152.8394,-63.4569333335,-147.901133333,-155.308533333,-67.4073666667,-154.074066667,-58.0248666665,-146.5433
191.33,-224.933333333,-122.333333333,-213.333333333,-95.0,-178.666666667,-210.666666667,-82.9999999999,-226.111111111,-75.6666666666,-173.833333334
191.71,-174.469246667,-103.703666667,-174.321133333,-82.7159999999,-136.666566667,-161.975266667,-76.0493666666,-171.275866667,-62.4690666667,-133.333466667
192.09,-139.5,-88.3333333333,-132.083333333,-72.9166666666,-102.1875,-130.0,-52.4999999999,-145.138888889,-49.1666666667,-89.8958333333
192.47,-59.0893133334,-39.1666666666,-63.8095999999,-31.9047333334,-45.1786,-63.3332666667,-21.4285,-74.4444222221,-18.9285333333,-42.1428
192.85,-35.5079766667,-23.9154,-47.7249333333,-18.6242,-31.3227333333,-60.2116666667,-9.5766,-56.7900000001,-9.20620000001,-29.6823666667
193.23,-19.68736,-17.2915333333,-43.4372666667,-14.8958,-22.2393333333,-51.0414,3.22926666666,-47.1525777777,-1.87493333335,-17.3957
193.61,-23.4300066666,-21.828,-52.3655333333,-28.6022666667,-28.6559666667,-64.7311333333,-1.18279999999,-53.0465777778,-13.6561333334,-13.1182333333
193.99,-23.1387633334,-23.5555333333,-53.2222666666,-27.4444,-28.1111333333,-62.2222666667,-6.61100000001,-58.9629333333,-12.2223333333,-7.00003333334
194.37,-0.357643333326,-6.06066666667,-40.6060666667,-13.3334,-7.3334,-45.0908,11.2121666667,-41.8990222222,6.66653333332,14.5453666667
194.75,17.82739,5.5952,-26.6666,-5.357,2.26196666667,-32.9763333333,25.9524666666,-22.2617777778,14.1667333333,31.3690333333
195.13,42.83331,24.3588666667,-7.43600000002,11.282,21.6667333333,-19.8718,43.6538,0.42740000008,32.8204666667,56.6024333333
195.51,44.14385,11.8182666667,-21.6666666667,9.24266666667,16.7425333333,-35.7576,31.8939333333,-4.34337777781,32.7272666666,65.8332666666
195.89,44.4687066667,24.6874666667,0.8332,22.1875333333,29.3226333333,-8.2292,38.8541333333,13.2638,30.5207333333,60.1042333333
196.27,48.4460933333,27.4177333333,4.9766,28.5445333333,29.5775,2.81686666666,36.8545333334,19.8121777778,26.0094,62.9106999999
196.65,54.0951833333,38.7619333333,6.85713333334,36.7618666667,35.7143333333,14.6668666667,43.9045999999,30.5078888889,35.5238666667,68.3334333334
