wavelength,Back_LanFulf,Belly_LanFulf,Breast_LanFulf,Crissum_LanFulf,Crown_LanFulf,DorTail_LanFulf,Patch10_LanFulf,Rump_LanFulf,Throat_LanFulf,WingTip_LanFulf
800.70,13.5066666667,38.86,25.6588888889,35.0434444445,8.04622222222,23.7587777778,13.6224444444,21.8424444445,31.8297777778,15.6382222222
801.00,13.734,38.8433333333,25.3826666667,35.0044444444,8.19033333333,23.5624444444,13.6426666667,22.1313333333,31.7532222222,15.7275555556
801.31,13.2793333333,38.8254444445,24.9388888889,34.8011111111,8.22577777778,23.0912222222,13.4565555555,22.0452222222,31.8231111111,15.3295555556
801.62,13.5641111111,39.2137777778,24.9316666667,35.4531111111,8.36755555555,23.188,13.47,22.6238888889,31.8204444445,15.5468888889
801.92,14.2598888889,40.0342222222,25.6027777778,36.3191111111,9.66966666668,24.2814444445,13.9852222222,23.5092222222,32.6298888889,16.6623333333
802.23,14.6044444444,40.8301111111,26.0615555555,36.8265555556,9.69299999999,24.8594444445,14.3967777778,24.1415555555,33.2726666666,17.3367777778
802.54,14.4848888889,40.3134444444,26.0091111111,36.1477777778,9.69955555557,24.4771111111,14.4848888889,23.9522222222,32.6276666667,17.2818888889
802.84,14.2806666667,40.5993333333,26.1625555556,35.9226666667,10.0805555556,24.4912222222,14.6965555556,24.1447777778,32.9176666667,17.1907777778
803.15,13.8006666667,41.067,26.2344444444,35.9787777778,9.92077777779,24.2856666667,14.7177777778,24.1357777778,33.1128888889,16.8694444445
803.46,13.8934444444,40.7407777778,26.0302222222,35.4981111111,10.2068888889,24.0566666667,15.1103333333,24.3783333333,33.1246666667,17.0666666666
803.76,14.325,41.2821111111,26.407,35.8683333334,11.2917777778,24.2416666667,15.8458888889,24.886,33.6684444445,17.8481111111
804.07,13.3351111111,40.632,25.2447777778,35.2653333333,10.6044444444,23.4244444445,15.0351111111,23.8965555556,32.6465555556,17.1817777778
804.38,13.4833333333,41.235,25.6584444444,35.4788888889,11.0587777778,23.949,15.0532222222,23.984,33.124,17.6
804.68,14.0154444444,41.8976666667,26.4521111111,35.8103333333,11.3116666667,24.8473333333,15.4804444444,23.9752222222,33.4203333334,18.1407777778
804.99,13.9934444445,41.8321111111,26.4541111111,35.1794444444,11.3026666667,25.0522222222,15.5522222222,23.781,33.5771111111,17.8423333333
805.30,13.3845555555,41.4308888889,25.9142222222,34.7961111111,10.177,24.4338888889,14.9527777778,23.403,32.8752222222,16.8207777778
805.60,13.3385555555,40.5244444444,25.2827777778,34.447,10.0937777778,24.0287777778,14.6804444445,23.222,32.4125555555,16.3816666667
805.91,13.1992222222,40.8671111111,25.262,34.7784444444,10.0626666667,24.3015555556,14.7151111111,23.1826666667,32.8398888889,16.1513333333
806.21,13.3422222222,41.1377777778,25.7155555555,35.4222222222,10.0266666667,24.5688888889,14.7911111111,23.5111111111,33.0488888889,16.4622222222
806.52,13.6365555555,41.0242222222,25.6424444444,35.5396666667,10.1718888889,24.6942222222,15.1957777778,23.3474444445,33.2447777778,16.7463333333
806.83,12.9196666667,40.5585555556,25.3827777778,35.5268888889,9.53544444444,24.5054444445,14.6745555556,22.5894444445,32.9214444445,16.2234444445
807.13,12.079,39.7152222222,24.5137777778,34.639,8.34488888889,24.0664444445,13.4026666667,21.6197777778,31.8632222222,15.028
807.44,12.8606666667,40.2491111111,25.474,35.2935555555,9.279,25.0162222222,14.253,22.4327777778,32.5637777778,15.9201111111
