wavelength,Back_SalAurm,Belly_SalAurm,Breast_SalAurm,Crissum_SalAurm,Crown_SalAurm,DorTail_SalAurm,Patch10_SalAurm,Patch11_SalAurm,Patch12_SalAurm,Rump_SalAurm,Throat_SalAurm,WingTip_SalAurm
233.28,-10.4255333333,0.248199999998,-10.1774,-5.28373333335,-11.3473333333,-12.2307272727,-9.32626666667,-14.4325333333,4.37953333333,-12.4468666667,-5.31899999999,-9.32223703704
233.66,-14.9529333334,-3.76653333333,-14.6517333333,-8.96419999999,-16.9868,-16.8054212121,-13.0320666667,-18.6438666667,-0.3954,-16.7607333333,-10.6968666667,-15.2795333333
234.03,-14.577,-5.11233333334,-12.5733333333,-9.3264,-18.0310666667,-15.0431212121,-10.6389333333,-17.3403333333,-1.17436666667,-16.3730666667,-11.468,-14.1316740741
234.41,-25.6752,-14.4615333333,-21.9144,-18.4617333333,-26.2223333333,-22.7956121212,-19.4870666667,-26.1198,-10.6666,-25.6410666667,-20.2051333333,-22.2868592592
234.78,-30.7852,-20.6282,-25.8639333333,-22.0592666667,-29.7730666667,-25.6402030303,-22.0592666667,-27.8534,-12.1291,-27.9582666667,-23.4904666667,-26.7597333333
235.16,-32.941,-22.5669333333,-28.984,-23.9572,-32.4420666667,-26.7687333333,-22.7450666667,-29.9108666667,-11.9963,-29.4474,-25.3830666667,-28.5047333333
235.54,-23.1560666667,-18.1320666667,-23.6069333333,-17.9710666667,-25.6682666667,-19.2153242424,-15.3623333333,-22.6088666667,-3.59096666667,-22.5444,-19.8068,-20.7192296297
235.91,-22.1495333333,-18.5981333333,-24.1121333333,-18.3800666667,-26.4485333334,-19.2565666667,-15.8878666667,-22.9282,-3.1309,-21.8382,-19.7196666667,-21.1492666667
236.29,-20.0300666667,-15.4654666667,-22.9729333333,-16.7567333333,-23.3034,-16.5273666667,-14.3844,-20.9609333333,0.195333333333,-18.3182666667,-17.9279333333,-17.5475703704
236.66,-15.9636,-12.2132666667,-18.4894666667,-12.1614666667,-17.2916,-11.2724515151,-9.55726666668,-15.755,2.73426666667,-12.8385333333,-13.8280666667,-12.4016740741
237.04,-18.3582,-13.2089333334,-19.4526666667,-12.2886,-17.4128666667,-11.9107727273,-8.6568,-17.3384666667,0.248733333332,-13.6816,-15.3731333333,-12.484837037
237.41,-17.7940666667,-11.7402666667,-18.2843333333,-11.3234666667,-14.2892,-10.6526757576,-6.66646666667,-15.0246,1.50733333333,-13.603,-13.8727333333,-10.6864
237.79,-12.1012666667,-5.2586,-12.0572,-6.05059999999,-8.07486666667,-4.43949999999,-2.0462,-8.07466666666,7.07383333333,-7.26073333333,-7.52473333333,-4.1779111111
238.17,-8.39673333335,-0.886066666666,-9.21946666666,-3.43880000001,-4.19826666667,-2.23159393939,0.0001333333354,-4.51480000001,10.3373333333,-4.32486666667,-4.95786666667,-1.1907925926
238.54,-4.98999999999,1.13773333333,-5.90813333333,-1.23746666666,-3.79246666667,-0.51173030303,2.09593333333,-3.09366666667,13.2435,-1.7564,-2.33533333333,1.2220962963
238.92,0.226799999999,5.7242,-1.60553333333,2.33866666666,1.40006894966e-12,3.88544242424,5.1134,0.279199999999,16.4398,1.7278,1.69286666667,4.52391851852
239.29,1.98153333334,6.72806666667,0.276333333333,3.1644,1.78166666666,5.36811818182,6.11373333334,1.5976,16.2597333333,3.16453333333,3.50226666667,5.36945185185
239.67,2.69753333333,7.70086666667,1.80286666667,4.08113333333,3.1586,6.08102121213,6.61086666667,2.58573333333,16.4571333333,4.26286666667,5.11533333333,5.65253333333
240.04,2.80053333334,7.39786666666,1.72253333333,3.35799999999,3.27126666667,5.41679393939,6.48066666667,2.35446666667,16.2701333333,3.92806666667,5.27879999999,5.10398518519
240.42,2.272,5.728,1.14133333334,2.336,2.34666666667,4.13624242424,5.25866666667,0.928,14.544,2.67733333333,4.288,3.57333333333
240.79,1.34886666666,4.1048,0.155333333333,1.29073333333,1.32933333333,2.68699393939,3.84273333333,-0.756733333334,13.6923,1.26153333333,3.49346666667,2.55427407407
241.17,2.78193333334,4.58653333333,1.44526666667,2.21386666667,2.147,4.09384242424,4.311,0.451,15.2422333333,1.97146666667,4.65333333333,3.62762962963
241.54,4.05726666667,5.49806666667,2.52853333333,3.53540000001,2.84446666667,5.27767878788,5.27726666667,1.49933333333,16.1927,2.99153333334,5.56413333333,4.8674
241.92,4.16593333334,4.888,2.4808,3.28986666667,2.7816,4.91862121212,5.08853333334,1.3908,15.9713333333,2.8552,5.52993333333,4.79667407407
