wavelength,Back_NemPilf,Belly_NemPilf,Breast_NemPilf,Crissum_NemPilf,Crown_NemPilf,DorTail_NemPilf,Patch10_NemPilf,Rump_NemPilf,Throat_NemPilf,WingTip_NemPilf
578.26,20.0461333333,58.8593333333,47.2331333333,44.9707333333,18.2946666667,17.4063333333,20.8865333333,21.808,46.5864,11.2553333333
578.60,20.0163333333,58.8367333333,47.2526,44.9566,18.2921333333,17.367,20.8592,21.7783333333,46.6144666667,11.2623333333
578.94,19.9511333333,58.8906666667,47.2550666667,45.0103333333,18.2108666667,17.329,20.8206666667,21.7505333333,46.6342,11.2444666667
579.28,19.9722,58.9694,47.3611333333,45.0963333333,18.2477333333,17.3622666667,20.8004,21.7855333333,46.7302666667,11.3001333333
579.61,19.8979333333,58.8912,47.3297333333,45.0644666667,18.1644,17.3274666667,20.7193333333,21.7494666667,46.6625333333,11.2449333333
579.95,19.8926666667,58.9350666667,47.3713333333,45.1172666667,18.1618666667,17.3356,20.674,21.7086666667,46.6927333333,11.2413333333
580.29,19.8056666667,58.9193333333,47.3770666666,45.1361333333,18.0960666667,17.272,20.5884666667,21.6480666667,46.6924,11.1655333333
580.63,19.8572,59.0630666667,47.5047333333,45.2374,18.1562,17.3496,20.6336666667,21.7004,46.8106666667,11.2446666667
580.97,19.8030666667,59.0980666667,47.5218666667,45.2791333333,18.088,17.3261333333,20.5572,21.6554666667,46.8042,11.1965333333
581.31,19.8781333334,59.1413333333,47.5542666667,45.3487333333,18.1796,17.4418666667,20.6320666666,21.7514666667,46.8918,11.3037333333
581.65,19.8034666667,58.9909333333,47.4792666667,45.2604,18.143,17.3707333333,20.5592666666,21.6754666667,46.7728666667,11.2544666667
581.98,19.7321333333,58.8616,47.3832,45.1934666667,18.1290666667,17.3480666667,20.5300666667,21.6382,46.7047333334,11.2528666667
582.32,19.7562666667,58.8890666667,47.4106666667,45.2546,18.1184,17.4259333333,20.4967333333,21.6785333333,46.7064666667,11.2781333333
582.66,19.8298666667,58.9044666667,47.5077333333,45.2845333333,18.2254666667,17.5394666666,20.5402666667,21.7754,46.7572666667,11.4081333333
583.00,19.8479333333,58.953,47.5429333333,45.2912666667,18.2044,17.5449333333,20.5318666667,21.7632,46.7918,11.4037333333
583.34,19.9040666667,59.0857333333,47.6421333333,45.3866,18.25,17.611,20.552,21.7802,46.8884,11.4832
583.68,19.9076,59.0904666667,47.6318666667,45.3668666667,18.2251333333,17.6180666667,20.5578,21.7992666667,46.8730666667,11.5043333333
584.01,20.0236666667,59.1781333333,47.7016,45.475,18.3698666667,17.7066,20.6805333333,21.9127333333,46.9574666667,11.6428
584.35,19.9996,59.2018,47.7273333333,45.5097333333,18.3586666667,17.6779333333,20.656,21.8952,46.9589333333,11.6007333333
584.69,20.063,59.2166666667,47.8112666667,45.5221333333,18.4694,17.7648,20.7549333333,21.9841333333,47.0216,11.7333333334
585.03,19.8903333333,59.0916666667,47.6962,45.3832666667,18.2981333333,17.5765333333,20.5607333333,21.7982666667,46.8701333333,11.5488666667
585.37,19.9382,59.1508666667,47.7512,45.4477333333,18.3235333333,17.6427333333,20.597,21.8581333333,46.8987333333,11.6260666667
585.70,20.0217333334,59.2698666666,47.8728,45.5614666667,18.3834,17.6886666667,20.6217333333,21.9343333333,46.9992666666,11.6812666667
586.04,20.0669333333,59.3857333333,47.9572,45.6274,18.4137333333,17.7054,20.6723333333,22.0012666667,47.1068666667,11.734
586.38,20.0596,59.422,47.9787333333,45.6426666666,18.3790666667,17.6812666667,20.6648,21.9833333333,47.1578666667,11.7148
586.72,20.0322,59.427,48.0089333333,45.6596666667,18.3618666667,17.6919333333,20.6104,22.0056,47.1466666667,11.7215333333
587.06,19.9459333333,59.3286666667,47.9814,45.5846666667,18.2786666667,17.6093333333,20.5132666667,21.9238666667,47.048,11.6576
587.39,19.8564,59.2686,47.9347333333,45.5115333333,18.2156666666,17.5494666666,20.4331333333,21.8782,46.9805333333,11.6092
587.73,19.8332666667,59.3149333333,48.0333333333,45.5255333333,18.1650666667,17.5536,20.4128,21.8635333333,47.0257333333,11.6114666667
588.07,19.8115333333,59.2156666667,48.0146666667,45.4436666667,18.1268,17.5610666667,20.3774666667,21.8574666667,46.9849333333,11.6626666667
588.41,19.7432,59.1094666667,47.9622666667,45.363,18.0562666667,17.5033333333,20.2633333333,21.8128,46.8727333333,11.6044
588.74,19.8078,59.1348,48.0849333333,45.4036,18.1136666667,17.5966,20.3166666667,21.9027333333,46.925,11.7001333333
589.08,19.7514666667,59.1899333333,48.1114,45.4114,18.0594,17.5322666667,20.2442666667,21.8453333333,46.9576666667,11.6534
589.42,19.7826666667,59.2248666667,48.2530666667,45.4826666667,18.1028,17.597,20.2920666667,21.9128,47.001,11.7562666667
589.76,19.7183333334,59.1925333333,48.2827333333,45.4739333333,18.078,17.5425333333,20.2434,21.8064666667,47.0004,11.7307333333
590.09,19.6965333333,59.1778666667,48.2966666667,45.4652,18.0950666667,17.5029333333,20.2158,21.7867333333,46.9914666667,11.7090666667
590.43,19.7025333333,59.1259333333,48.275,45.438,18.0474,17.4739333333,20.2388666667,21.7564,46.9484,11.6945333333
590.77,19.7241333333,59.1618666667,48.3221333333,45.4496,18.0738666667,17.4885333333,20.2641333333,21.798,46.9986,11.7207333333
591.11,19.7766,59.1839333333,48.3957333333,45.5040666667,18.1418,17.5267333333,20.2898,21.8652666667,47.0368,11.8173333333
591.44,19.7229333333,59.1152666667,48.3107333333,45.4226666667,18.0938666667,17.4820666667,20.2458666667,21.8346,46.9626666667,11.8105333333
591.78,19.8058666667,59.2827333333,48.4508,45.5847333333,18.1710666667,17.5440666667,20.2950666667,21.8996666667,47.041,11.9066666667
592.12,19.8186666666,59.316,48.5531333333,45.6660666667,18.1740666667,17.54,20.3133333334,21.9093333333,47.1086666667,11.9489333333
592.46,19.8166666667,59.3874,48.5676666667,45.7305333333,18.1672,17.576,20.3273333333,21.9254,47.1601333333,11.9941333333
592.79,19.8933333333,59.4868666667,48.666,45.7802,18.2374666667,17.6573333333,20.3824,21.9957333333,47.2656,12.0610666667
593.13,19.8820666667,59.497,48.661,45.7838666667,18.1974,17.6442,20.3394666667,21.9514,47.2682666667,12.0206666667
593.47,19.8476,59.4814666667,48.6026666667,45.7327333333,18.1021333333,17.6202,20.2724,21.9399333333,47.197,11.9874
593.80,19.8456666667,59.4739333333,48.6461333333,45.7420666667,18.025,17.6112,20.2162,21.9295333333,47.1808,11.9826
594.14,19.7898,59.4305333333,48.6498,45.7228,18.0003333333,17.5751333333,20.1438,21.9014,47.1873333334,11.9843333334
594.48,19.7393333333,59.4133333333,48.6436,45.7372,17.9476,17.5336,20.0981333333,21.8572666667,47.1611333333,11.9821333333
594.81,19.7299333333,59.4665333333,48.7182,45.7493333333,17.9254666667,17.5303333334,20.0866666667,21.8452,47.1876,11.9692666667
595.15,19.7798666667,59.5632666667,48.8134,45.8230666667,17.9396,17.5357333334,20.059,21.8522666667,47.2569333333,11.9828666667
595.49,19.6679333333,59.5288666667,48.7694,45.7391333333,17.8209333333,17.4426,19.9653333333,21.7857333333,47.2471333333,11.8843333333
595.82,19.6513333333,59.5570666667,48.8010666667,45.7434666667,17.7819333333,17.4038666667,19.9084,21.758,47.2456,11.8653333333
